sequence,update_id,memory_id,version,operation,backend,event_persisted_at,backend_committed_at,rawerk_committed_at,checkpoint_committed_at,first_searchable,first_searchable_at,processing_attempt,status,is_duplicate
25,p53a_evt_000025,p53a_000025,25,insert_memory,cassandra,1692.993,1722.927,1736.118,1736.873,True,1751.34,1,ok,False
26,p53a_evt_000026,p53a_000026,26,update_relation,cassandra,1751.355,1785.575,1797.008,1797.47,True,1813.86,1,ok,False
27,p53a_evt_000027,p53a_000027,27,update_relation,cassandra,1813.879,1846.502,1860.771,1861.565,True,1874.84,1,ok,False
28,p53a_evt_000028,p53a_000028,28,update_relation,cassandra,1874.857,1905.945,1920.285,1920.786,True,1936.372,1,ok,False
29,p53a_evt_000029,p53a_000029,29,insert_memory,cassandra,1936.435,1973.971,1982.717,1983.253,True,2010.7,1,ok,False
30,p53a_evt_000030,p53a_000030,30,replace_relation,cassandra,2010.714,2031.476,2044.446,2044.959,True,2061.344,1,ok,False
31,p53a_evt_000031,p53a_000031,31,insert_memory,cassandra,2061.356,2095.963,2106.711,2107.305,True,2121.081,1,ok,False
32,p53a_evt_000032,p53a_000032,32,replace_relation,cassandra,2121.095,2154.47,2161.45,2161.942,True,2185.96,1,ok,False
33,p53a_evt_000033,p53a_000033,33,update_relation,cassandra,2185.977,2211.845,2224.066,2224.566,True,2240.821,1,ok,False
34,p53a_evt_000034,p53a_000034,34,insert_memory,cassandra,2240.832,2275.992,2285.853,2286.473,True,2301.08,1,ok,False
35,p53a_evt_000035,p53a_000035,35,insert_memory,cassandra,2301.092,2337.876,2348.0,2348.472,True,2378.656,1,ok,False
36,p53a_evt_000036,p53a_000036,36,update_relation,cassandra,2378.675,2408.275,2420.999,2422.172,True,2437.664,1,ok,False
37,p53a_evt_000037,p53a_000037,37,update_relation,cassandra,2437.683,2468.975,2483.522,2484.635,True,2500.728,1,ok,False
38,p53a_evt_000038,p53a_000038,38,update_relation,cassandra,2500.744,2531.863,2545.615,2546.543,True,2563.732,1,ok,False
39,p53a_evt_000039,p53a_000039,39,update_relation,cassandra,2563.744,2594.42,2607.217,2607.878,True,2623.946,1,ok,False
40,p53a_evt_000040,p53a_000040,40,update_relation,cassandra,2623.959,2659.278,2669.292,2669.937,True,2698.771,1,ok,False
41,p53a_evt_000041,p53a_000041,41,insert_memory,cassandra,2698.799,2734.358,2746.703,2747.248,True,2763.442,1,ok,False
42,p53a_evt_000042,p53a_000042,42,insert_memory,cassandra,2763.456,2796.461,2808.276,2808.745,True,2825.453,1,ok,False
43,p53a_evt_000043,p53a_000043,43,update_relation,cassandra,2825.525,2856.808,2868.943,2869.792,True,2884.573,1,ok,False
44,p53a_evt_000044,p53a_000044,44,update_relation,cassandra,2884.59,2916.245,2930.66,2931.221,True,2946.251,1,ok,False
45,p53a_evt_000045,p53a_000045,45,insert_memory,cassandra,2946.264,2979.211,2991.838,2992.639,True,3015.122,1,ok,False
46,p53a_evt_000046,p53a_000046,46,insert_memory,cassandra,3015.148,3040.899,3052.848,3053.837,True,3070.0,1,ok,False
47,p53a_evt_000047,p53a_000047,47,replace_relation,cassandra,3070.019,3103.239,3114.943,3115.437,True,3132.208,1,ok,False
48,p53a_evt_000048,p53a_000048,48,update_relation,cassandra,3132.22,3167.11,3178.672,3179.499,True,3226.755,1,ok,False
49,p53a_evt_000049,p53a_000049,49,insert_memory,cassandra,3226.766,3254.365,3268.818,3269.997,True,3284.838,1,ok,False
50,p53a_evt_000050,p53a_000050,50,update_relation,cassandra,3284.854,3321.351,3330.102,3331.051,True,3358.153,1,ok,False
51,p53a_evt_000051,p53a_000051,51,update_relation,cassandra,3358.164,3394.954,3408.448,3409.136,True,3423.991,1,ok,False
52,p53a_evt_000052,p53a_000052,52,replace_relation,cassandra,3424.009,3456.825,3469.866,3470.43,True,3486.089,1,ok,False
53,p53a_evt_000053,p53a_000053,53,insert_memory,cassandra,3486.107,3519.343,3530.528,3531.413,True,3547.216,1,ok,False
54,p53a_evt_000054,p53a_000054,54,insert_memory,cassandra,3547.235,3580.291,3593.94,3594.435,True,3609.825,1,ok,False
55,p53a_evt_000055,p53a_000055,55,insert_memory,cassandra,3609.836,3642.55,3654.343,3655.274,True,3681.146,1,ok,False
56,p53a_evt_000056,p53a_000056,56,insert_memory,cassandra,3681.166,3701.028,3711.012,3711.482,True,3726.877,1,ok,False
57,p53a_evt_000057,p53a_000057,57,update_relation,cassandra,3726.887,3759.631,3774.209,3775.18,True,3790.123,1,ok,False
58,p53a_evt_000058,p53a_000058,58,insert_memory,cassandra,3790.137,3821.241,3834.567,3835.859,True,3852.957,1,ok,False
59,p53a_evt_000059,p53a_000059,59,insert_memory,cassandra,3852.97,3883.481,3895.186,3895.777,True,3912.16,1,ok,False
60,p53a_evt_000060,p53a_000060,60,replace_relation,cassandra,3912.173,3946.749,3959.126,3959.597,True,3985.518,1,ok,False
61,p53a_evt_000061,p53a_000061,61,replace_relation,cassandra,3985.535,4009.223,4020.8,4021.278,True,4047.48,1,ok,False
62,p53a_evt_000062,p53a_000062,62,insert_memory,cassandra,4047.493,4067.802,4082.615,4083.121,True,4099.666,1,ok,False
63,p53a_evt_000063,p53a_000063,63,update_relation,cassandra,4099.676,4130.882,4143.216,4143.706,True,4164.168,1,ok,False
64,p53a_evt_000064,p53a_000064,64,insert_memory,cassandra,4164.178,4192.504,4206.458,4206.94,True,4229.016,1,ok,False
65,p53a_evt_000065,p53a_000065,65,insert_memory,cassandra,4229.048,4254.874,4269.373,4269.846,True,4285.518,1,ok,False
66,p53a_evt_000066,p53a_000066,66,insert_memory,cassandra,4285.575,4315.526,4332.017,4333.11,True,4348.108,1,ok,False
67,p53a_evt_000067,p53a_000067,67,insert_memory,cassandra,4348.124,4380.393,4394.99,4395.484,True,4412.166,1,ok,False
68,p53a_evt_000068,p53a_000068,68,update_relation,cassandra,4412.18,4444.954,4457.127,4457.638,True,4479.844,1,ok,False
69,p53a_evt_000069,p53a_000069,69,insert_memory,cassandra,4479.861,4505.639,4519.681,4520.428,True,4535.861,1,ok,False
70,p53a_evt_000070,p53a_000070,70,insert_memory,cassandra,4535.874,4568.416,4581.905,4582.405,True,4600.77,1,ok,False
71,p53a_evt_000071,p53a_000071,71,insert_memory,cassandra,4600.797,4630.762,4643.794,4644.564,True,4677.458,1,ok,False
72,p53a_evt_000072,p53a_000072,72,update_relation,cassandra,4677.472,4707.771,4722.212,4722.844,True,4737.56,1,ok,False
73,p53a_evt_000073,p53a_000073,73,insert_memory,cassandra,4737.589,4770.442,4783.56,4784.782,True,4800.543,1,ok,False
74,p53a_evt_000074,p53a_000074,74,insert_memory,cassandra,4800.556,4830.207,4843.718,4844.191,True,4861.804,1,ok,False
75,p53a_evt_000075,p53a_000075,75,update_relation,cassandra,4861.817,4893.336,4905.944,4906.547,True,4927.851,1,ok,False
76,p53a_evt_000076,p53a_000076,76,insert_memory,cassandra,4927.864,4955.444,4968.428,4968.948,True,4984.066,1,ok,False
77,p53a_evt_000077,p53a_000077,77,insert_memory,cassandra,4984.078,5015.898,5029.668,5030.135,True,5047.329,1,ok,False
78,p53a_evt_000078,p53a_000078,78,update_relation,cassandra,5047.355,5077.835,5091.866,5092.367,True,5107.524,1,ok,False
79,p53a_evt_000079,p53a_000079,79,update_relation,cassandra,5107.541,5139.838,5153.614,5154.065,True,5168.857,1,ok,False
80,p53a_evt_000080,p53a_000080,80,replace_relation,cassandra,5168.868,5200.039,5214.789,5215.299,True,5231.632,1,ok,False
81,p53a_evt_000081,p53a_000081,81,insert_memory,cassandra,5231.65,5260.489,5273.385,5273.95,True,5292.125,1,ok,False
82,p53a_evt_000082,p53a_000082,82,replace_relation,cassandra,5292.137,5320.284,5334.912,5335.431,True,5349.901,1,ok,False
83,p53a_evt_000083,p53a_000083,83,insert_memory,cassandra,5349.914,5382.706,5395.534,5396.504,True,5411.164,1,ok,False
84,p53a_evt_000084,p53a_000084,84,replace_relation,cassandra,5411.18,5443.94,5456.599,5457.102,True,5475.995,1,ok,False
85,p53a_evt_000085,p53a_000085,85,insert_memory,cassandra,5476.012,5503.852,5517.579,5518.074,True,5533.522,1,ok,False
86,p53a_evt_000086,p53a_000086,86,replace_relation,cassandra,5533.536,5564.723,5578.429,5579.489,True,5598.053,1,ok,False
87,p53a_evt_000087,p53a_000087,87,insert_memory,cassandra,5598.065,5628.551,5640.511,5641.099,True,5661.212,1,ok,False
88,p53a_evt_000088,p53a_000088,88,insert_memory,cassandra,5661.224,5687.858,5701.961,5702.549,True,5719.1,1,ok,False
89,p53a_evt_000089,p53a_000089,89,insert_memory,cassandra,5719.128,5750.847,5765.041,5765.839,True,5779.823,1,ok,False
90,p53a_evt_000090,p53a_000090,90,update_relation,cassandra,5779.842,5813.248,5826.284,5826.831,True,5845.862,1,ok,False
91,p53a_evt_000091,p53a_000091,91,update_relation,cassandra,5845.881,5875.772,5888.325,5888.913,True,5908.875,1,ok,False
92,p53a_evt_000092,p53a_000092,92,insert_memory,cassandra,5908.887,5937.831,5949.226,5949.701,True,5969.304,1,ok,False
93,p53a_evt_000093,p53a_000093,93,insert_memory,cassandra,5969.337,5996.811,6010.657,6011.115,True,6026.362,1,ok,False
94,p53a_evt_000094,p53a_000094,94,update_relation,cassandra,6026.375,6058.541,6072.251,6073.106,True,6088.547,1,ok,False
95,p53a_evt_000095,p53a_000095,95,insert_memory,cassandra,6088.564,6118.769,6133.85,6134.642,True,6149.391,1,ok,False
96,p53a_evt_000096,p53a_000096,96,replace_relation,cassandra,6149.416,6182.008,6195.948,6196.45,True,6211.89,1,ok,False
97,p53a_evt_000097,p53a_000097,97,insert_memory,cassandra,6211.907,6242.48,6257.268,6258.299,True,6272.878,1,ok,False
98,p53a_evt_000098,p53a_000098,98,insert_memory,cassandra,6272.982,6303.161,6317.241,6317.709,True,6333.103,1,ok,False
99,p53a_evt_000099,p53a_000099,99,insert_memory,cassandra,6333.115,6363.33,6377.318,6378.34,True,6392.727,1,ok,False
100,p53a_evt_000100,p53a_000100,100,insert_memory,cassandra,6392.744,6424.558,6439.337,6440.731,True,6454.942,1,ok,False
101,p53a_evt_000101,p53a_000101,101,insert_memory,cassandra,6454.956,6486.903,6501.562,6502.413,True,6516.495,1,ok,False
102,p53a_evt_000102,p53a_000102,102,insert_memory,cassandra,6516.508,6549.359,6561.488,6562.04,True,6581.953,1,ok,False
103,p53a_evt_000103,p53a_000103,103,replace_relation,cassandra,6581.97,6608.537,6623.623,6624.493,True,6639.702,1,ok,False
104,p53a_evt_000104,p53a_000104,104,insert_memory,cassandra,6639.743,6672.197,6686.664,6688.015,True,6703.398,1,ok,False
105,p53a_evt_000105,p53a_000105,105,update_relation,cassandra,6703.414,6733.576,6748.844,6749.324,True,6763.937,1,ok,False
106,p53a_evt_000106,p53a_000106,106,insert_memory,cassandra,6763.971,6800.415,6810.422,6811.236,True,6827.307,1,ok,False
107,p53a_evt_000107,p53a_000107,107,insert_memory,cassandra,6827.324,6860.671,6873.053,6873.602,True,6891.67,1,ok,False
108,p53a_evt_000108,p53a_000108,108,insert_memory,cassandra,6891.685,6917.594,6931.793,6932.346,True,6947.421,1,ok,False
109,p53a_evt_000109,p53a_000109,109,update_relation,cassandra,6947.442,6980.845,6992.992,6993.847,True,7015.029,1,ok,False
110,p53a_evt_000110,p53a_000110,110,replace_relation,cassandra,7015.044,7040.738,7056.23,7057.101,True,7072.628,1,ok,False
111,p53a_evt_000111,p53a_000111,111,insert_memory,cassandra,7072.642,7104.571,7118.329,7119.392,True,7138.455,1,ok,False
112,p53a_evt_000112,p53a_000112,112,insert_memory,cassandra,7138.474,7165.544,7179.523,7180.396,True,7196.708,1,ok,False
113,p53a_evt_000113,p53a_000113,113,insert_memory,cassandra,7196.726,7228.019,7241.089,7241.754,True,7256.462,1,ok,False
114,p53a_evt_000114,p53a_000114,114,update_relation,cassandra,7256.479,7288.696,7302.879,7303.326,True,7319.072,1,ok,False
115,p53a_evt_000115,p53a_000115,115,update_relation,cassandra,7319.087,7351.215,7365.343,7365.799,True,7387.23,1,ok,False
116,p53a_evt_000116,p53a_000116,116,insert_memory,cassandra,7387.249,7411.273,7425.771,7426.286,True,7441.04,1,ok,False
117,p53a_evt_000117,p53a_000117,117,replace_relation,cassandra,7441.052,7471.239,7485.032,7486.079,True,7499.153,1,ok,False
118,p53a_evt_000118,p53a_000118,118,insert_memory,cassandra,7499.169,7530.598,7544.916,7545.85,True,7565.548,1,ok,False
119,p53a_evt_000119,p53a_000119,119,insert_memory,cassandra,7565.56,7590.95,7605.99,7606.549,True,7621.656,1,ok,False
120,p53a_evt_000120,p53a_000120,120,update_relation,cassandra,7621.668,7655.421,7668.689,7669.595,True,7689.264,1,ok,False
121,p53a_evt_000121,p53a_000121,121,update_relation,cassandra,7689.278,7713.9,7729.497,7730.219,True,7744.529,1,ok,False
122,p53a_evt_000122,p53a_000122,122,insert_memory,cassandra,7744.558,7781.801,7790.63,7792.065,True,7812.679,1,ok,False
123,p53a_evt_000123,p53a_000123,123,insert_memory,cassandra,7812.708,7836.262,7852.437,7853.522,True,7868.596,1,ok,False
124,p53a_evt_000124,p53a_000124,124,insert_memory,cassandra,7868.635,7899.486,7913.756,7914.61,True,7932.852,1,ok,False
125,p53a_evt_000125,p53a_000125,125,insert_memory,cassandra,7932.872,7961.436,7973.308,7973.861,True,7995.629,1,ok,False
126,p53a_evt_000126,p53a_000126,126,update_relation,cassandra,7995.667,8020.738,8035.366,8036.405,True,8050.589,1,ok,False
127,p53a_evt_000127,p53a_000127,127,update_relation,cassandra,8050.602,8081.573,8098.035,8098.946,True,8112.716,1,ok,False
128,p53a_evt_000128,p53a_000128,128,replace_relation,cassandra,8112.749,8143.945,8158.381,8159.271,True,8178.794,1,ok,False
129,p53a_evt_000129,p53a_000129,129,replace_relation,cassandra,8178.809,8203.417,8217.778,8218.542,True,8239.043,1,ok,False
130,p53a_evt_000130,p53a_000130,130,update_relation,cassandra,8239.056,8265.49,8279.426,8280.516,True,8295.117,1,ok,False
131,p53a_evt_000131,p53a_000131,131,insert_memory,cassandra,8295.156,8327.774,8340.631,8341.303,True,8362.605,1,ok,False
132,p53a_evt_000132,p53a_000132,132,insert_memory,cassandra,8362.635,8387.755,8402.216,8403.291,True,8415.403,1,ok,False
133,p53a_evt_000133,p53a_000133,133,insert_memory,cassandra,8415.418,8449.787,8462.187,8463.069,True,8481.341,1,ok,False
134,p53a_evt_000134,p53a_000134,134,update_relation,cassandra,8481.358,8511.428,8523.757,8524.551,True,8544.134,1,ok,False
135,p53a_evt_000135,p53a_000135,135,insert_memory,cassandra,8544.152,8571.053,8586.068,8586.627,True,8601.778,1,ok,False
136,p53a_evt_000136,p53a_000136,136,insert_memory,cassandra,8601.792,8635.455,8647.89,8648.426,True,8663.213,1,ok,False
137,p53a_evt_000137,p53a_000137,137,insert_memory,cassandra,8663.224,8694.613,8709.285,8709.899,True,8726.446,1,ok,False
138,p53a_evt_000138,p53a_000138,138,insert_memory,cassandra,8726.46,8757.324,8777.445,8780.529,True,8789.858,1,ok,False
139,p53a_evt_000139,p53a_000139,139,update_relation,cassandra,8789.887,8817.786,8831.9,8832.416,True,8848.185,1,ok,False
140,p53a_evt_000140,p53a_000140,140,insert_memory,cassandra,8848.198,8879.555,8893.389,8894.071,True,8909.975,1,ok,False
141,p53a_evt_000141,p53a_000141,141,insert_memory,cassandra,8909.988,8941.131,8955.768,8956.376,True,8972.446,1,ok,False
142,p53a_evt_000142,p53a_000142,142,insert_memory,cassandra,8972.466,9002.939,9017.108,9017.825,True,9035.8,1,ok,False
143,p53a_evt_000143,p53a_000143,143,insert_memory,cassandra,9035.813,9064.326,9077.686,9078.268,True,9096.972,1,ok,False
144,p53a_evt_000144,p53a_000144,144,insert_memory,cassandra,9096.99,9124.024,9138.409,9138.888,True,9164.155,1,ok,False
145,p53a_evt_000145,p53a_000145,145,update_relation,cassandra,9164.173,9186.605,9200.721,9201.543,True,9217.433,1,ok,False
146,p53a_evt_000146,p53a_000146,146,update_relation,cassandra,9217.446,9248.907,9263.652,9264.525,True,9279.172,1,ok,False
147,p53a_evt_000147,p53a_000147,147,insert_memory,cassandra,9279.184,9312.197,9325.44,9325.904,True,9341.32,1,ok,False
148,p53a_evt_000148,p53a_000148,148,insert_memory,cassandra,9341.337,9376.08,9386.899,9387.761,True,9412.41,1,ok,False
149,p53a_evt_000149,p53a_000149,149,insert_memory,cassandra,9412.429,9435.828,9446.774,9447.337,True,9469.483,1,ok,False
150,p53a_evt_000150,p53a_000150,150,insert_memory,cassandra,9469.526,9493.744,9507.824,9508.854,True,9524.105,1,ok,False
151,p53a_evt_000151,p53a_000151,151,replace_relation,cassandra,9524.122,9557.248,9569.533,9570.028,True,9585.535,1,ok,False
152,p53a_evt_000152,p53a_000152,152,insert_memory,cassandra,9585.552,9618.715,9632.032,9632.47,True,9651.029,1,ok,False
153,p53a_evt_000153,p53a_000153,153,update_relation,cassandra,9651.041,9681.651,9694.043,9694.703,True,9724.156,1,ok,False
154,p53a_evt_000154,p53a_000154,154,insert_memory,cassandra,9724.168,9756.858,9771.798,9772.429,True,9788.106,1,ok,False
155,p53a_evt_000155,p53a_000155,155,insert_memory,cassandra,9788.12,9820.574,9833.739,9834.361,True,9856.387,1,ok,False
156,p53a_evt_000156,p53a_000156,156,insert_memory,cassandra,9856.399,9881.631,9895.435,9895.89,True,9910.72,1,ok,False
157,p53a_evt_000157,p53a_000157,157,insert_memory,cassandra,9910.733,9943.841,9958.695,9959.154,True,9972.527,1,ok,False
158,p53a_evt_000158,p53a_000158,158,insert_memory,cassandra,9972.539,10005.536,10017.756,10018.287,True,10039.2,1,ok,False
159,p53a_evt_000159,p53a_000159,159,insert_memory,cassandra,10039.213,10065.427,10080.001,10080.538,True,10095.2,1,ok,False
160,p53a_evt_000160,p53a_000160,160,insert_memory,cassandra,10095.213,10127.565,10141.2,10141.763,True,10157.153,1,ok,False
161,p53a_evt_000161,p53a_000161,161,insert_memory,cassandra,10157.163,10188.694,10198.268,10198.762,True,10219.396,1,ok,False
162,p53a_evt_000162,p53a_000162,162,insert_memory,cassandra,10219.412,10246.486,10259.173,10260.041,True,10287.373,1,ok,False
163,p53a_evt_000163,p53a_000163,163,replace_relation,cassandra,10287.383,10306.979,10321.163,10321.739,True,10337.254,1,ok,False
164,p53a_evt_000164,p53a_000164,164,insert_memory,cassandra,10337.268,10369.291,10383.92,10384.427,True,10399.896,1,ok,False
165,p53a_evt_000165,p53a_000165,165,update_relation,cassandra,10399.916,10433.863,10445.782,10446.618,True,10463.313,1,ok,False
166,p53a_evt_000166,p53a_000166,166,replace_relation,cassandra,10463.331,10491.708,10506.837,10507.673,True,10523.863,1,ok,False
167,p53a_evt_000167,p53a_000167,167,update_relation,cassandra,10523.884,10551.962,10564.507,10565.086,True,10583.011,1,ok,False
168,p53a_evt_000168,p53a_000168,168,update_relation,cassandra,10583.029,10609.802,10624.817,10625.985,True,10640.889,1,ok,False
169,p53a_evt_000169,p53a_000169,169,insert_memory,cassandra,10640.906,10672.657,10685.993,10686.846,True,10709.058,1,ok,False
170,p53a_evt_000170,p53a_000170,170,insert_memory,cassandra,10709.077,10733.052,10747.211,10748.185,True,10763.111,1,ok,False
171,p53a_evt_000171,p53a_000171,171,insert_memory,cassandra,10763.123,10794.986,10809.375,10809.946,True,10826.291,1,ok,False
172,p53a_evt_000172,p53a_000172,172,update_relation,cassandra,10826.317,10858.2,10872.071,10872.619,True,10893.217,1,ok,False
173,p53a_evt_000173,p53a_000173,173,update_relation,cassandra,10893.239,10918.569,10933.73,10934.332,True,10949.417,1,ok,False
174,p53a_evt_000174,p53a_000174,174,insert_memory,cassandra,10949.429,10983.601,10995.714,10996.271,True,11015.416,1,ok,False
175,p53a_evt_000175,p53a_000175,175,update_relation,cassandra,11015.436,11041.543,11056.817,11058.024,True,11072.147,1,ok,False
176,p53a_evt_000176,p53a_000176,176,insert_memory,cassandra,11072.163,11106.052,11118.26,11119.215,True,11136.354,1,ok,False
177,p53a_evt_000177,p53a_000177,177,replace_relation,cassandra,11136.368,11166.693,11181.069,11182.046,True,11199.935,1,ok,False
178,p53a_evt_000178,p53a_000178,178,insert_memory,cassandra,11199.963,11227.345,11241.025,11241.535,True,11257.922,1,ok,False
179,p53a_evt_000179,p53a_000179,179,insert_memory,cassandra,11257.933,11289.3,11302.984,11303.665,True,11318.74,1,ok,False
180,p53a_evt_000180,p53a_000180,180,replace_relation,cassandra,11318.758,11348.244,11362.072,11362.942,True,11378.218,1,ok,False
181,p53a_evt_000181,p53a_000181,181,update_relation,cassandra,11378.241,11410.105,11424.067,11424.577,True,11440.612,1,ok,False
182,p53a_evt_000182,p53a_000182,182,insert_memory,cassandra,11440.626,11474.384,11486.566,11487.199,True,11506.859,1,ok,False
183,p53a_evt_000183,p53a_000183,183,update_relation,cassandra,11506.882,11531.609,11547.362,11547.82,True,11565.539,1,ok,False
184,p53a_evt_000184,p53a_000184,184,insert_memory,cassandra,11565.574,11596.232,11609.238,11610.107,True,11624.091,1,ok,False
185,p53a_evt_000185,p53a_000185,185,insert_memory,cassandra,11624.103,11656.183,11670.682,11671.313,True,11687.134,1,ok,False
186,p53a_evt_000186,p53a_000186,186,insert_memory,cassandra,11687.148,11719.343,11730.735,11731.528,True,11750.279,1,ok,False
187,p53a_evt_000187,p53a_000187,187,insert_memory,cassandra,11750.309,11777.601,11791.742,11792.844,True,11808.804,1,ok,False
188,p53a_evt_000188,p53a_000188,188,insert_memory,cassandra,11808.816,11841.423,11854.26,11855.12,True,11871.827,1,ok,False
189,p53a_evt_000189,p53a_000189,189,insert_memory,cassandra,11871.845,11901.192,11916.085,11916.892,True,11931.861,1,ok,False
190,p53a_evt_000190,p53a_000190,190,insert_memory,cassandra,11931.872,11963.356,11976.16,11976.643,True,11997.288,1,ok,False
191,p53a_evt_000191,p53a_000191,191,insert_memory,cassandra,11997.303,12023.229,12037.522,12038.069,True,12054.303,1,ok,False
192,p53a_evt_000192,p53a_000192,192,insert_memory,cassandra,12054.329,12085.819,12100.808,12101.682,True,12116.715,1,ok,False
193,p53a_evt_000193,p53a_000193,193,update_relation,cassandra,12116.734,12145.409,12161.137,12162.003,True,12178.314,1,ok,False
194,p53a_evt_000194,p53a_000194,194,replace_relation,cassandra,12178.331,12208.88,12222.4,12222.985,True,12239.875,1,ok,False
195,p53a_evt_000195,p53a_000195,195,update_relation,cassandra,12239.899,12269.792,12283.106,12283.598,True,12302.237,1,ok,False
196,p53a_evt_000196,p53a_000196,196,insert_memory,cassandra,12302.249,12331.57,12345.488,12346.088,True,12360.637,1,ok,False
197,p53a_evt_000197,p53a_000197,197,insert_memory,cassandra,12360.654,12390.33,12405.418,12406.147,True,12423.039,1,ok,False
198,p53a_evt_000198,p53a_000198,198,insert_memory,cassandra,12423.053,12452.753,12467.251,12468.348,True,12489.754,1,ok,False
199,p53a_evt_000199,p53a_000199,199,insert_memory,cassandra,12489.768,12514.222,12530.793,12531.312,True,12548.892,1,ok,False
200,p53a_evt_000200,p53a_000200,200,insert_memory,cassandra,12548.906,12579.233,12590.14,12590.613,True,12604.296,1,ok,False
201,p53a_evt_000201,p53a_000201,201,insert_memory,cassandra,12618.58,12648.758,12662.844,12663.746,True,12678.522,1,ok,False
202,p53a_evt_000202,p53a_000202,202,insert_memory,cassandra,12678.552,12709.221,12723.804,12724.329,True,12739.757,1,ok,False
203,p53a_evt_000203,p53a_000203,203,insert_memory,cassandra,12739.775,12774.238,12786.037,12786.528,True,12801.357,1,ok,False
204,p53a_evt_000204,p53a_000204,204,update_relation,cassandra,12801.37,12833.28,12847.905,12848.67,True,12864.384,1,ok,False
205,p53a_evt_000205,p53a_000205,205,insert_memory,cassandra,12864.397,12897.808,12910.197,12910.74,True,12927.47,1,ok,False
206,p53a_evt_000206,p53a_000206,206,update_relation,cassandra,12927.486,12959.249,12971.718,12972.512,True,12990.044,1,ok,False
207,p53a_evt_000207,p53a_000207,207,insert_memory,cassandra,12990.116,13021.17,13033.348,13034.08,True,13053.258,1,ok,False
208,p53a_evt_000208,p53a_000208,208,update_relation,cassandra,13053.271,13080.433,13093.328,13093.791,True,13110.144,1,ok,False
209,p53a_evt_000209,p53a_000209,209,insert_memory,cassandra,13110.157,13141.07,13155.171,13155.952,True,13173.453,1,ok,False
210,p53a_evt_000210,p53a_000210,210,insert_memory,cassandra,13173.468,13203.989,13217.035,13217.55,True,13234.819,1,ok,False
