axis,scale_label,actual_edges,graph_id,graph_type,mode,system,clients,hop,write_ratio,n,read_QPS,write_QPS,mean_ms,p50_ms,p95_ms,p99_ms,write_mean_ms,write_p95_ms,write_p99_ms,cache_enabled,cache_hit_rate,effective_latency_ms,correctness_status,source_summary_file,notes
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,1,2,0,5,40.488,,24.703,22.312,39.125,49.993,,,,False,0,24.703,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,8,2,0,5,506.217,,15.805,12.63,35.508,51.059,,,,False,0,15.805,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,32,2,0,5,615.996,,51.992,46.009,89.082,110.06,,,,False,0,51.992,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,64,2,0,5,601.057,,106.601,99.838,153.507,182.304,,,,False,0,106.601,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,1,2,0,5,74.709,,13.387,8.575,35.808,92.339,,,,False,0,13.387,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,8,2,0,5,481.173,,16.628,12.426,35.245,111.478,,,,False,0,16.628,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,32,2,0,5,484.619,,66.188,47.698,161.047,446.717,,,,False,0,66.188,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,64,2,0,5,470.137,,136.859,97.749,352.194,918.456,,,,False,0,136.859,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_naive,1,2,0,5,16.977,,59.002,47.366,90.056,330.213,,,,False,0,59.002,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_naive,8,2,0,5,467.524,,17.134,12.398,44.48,107.91,,,,False,0,17.134,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_naive,32,2,0,5,739.375,,43.357,32.803,89.501,263.703,,,,False,0,43.357,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_naive,64,2,0,5,598.176,,107.4,82.943,215.517,617.022,,,,False,0,107.4,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,1,2,0,5,31.244,,32.026,31.194,43.65,52.38,,,,False,0,32.026,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,8,2,0,5,515.057,,15.537,12.273,33.085,49.669,,,,False,0,15.537,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,32,2,0,5,574.137,,55.853,49.676,96.029,118.729,,,,False,0,55.853,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,64,2,0,5,516.903,,124.093,117.743,173.125,189.16,,,,False,0,124.093,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,1,2,0,5,124.777,,8.015,5.412,25.269,49.721,,,,False,0,8.015,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,8,2,0,5,485.904,,16.468,12.356,35.189,109.453,,,,False,0,16.468,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,32,2,0,5,455.361,,70.42,50.869,175.478,478.623,,,,False,0,70.42,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
concurrency,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,64,2,0,5,327.218,,197.324,162.261,488.2,1474.321,,,,False,0,197.324,PASS,reports/sysaxis_1m_concurrency_final/final_concurrency_summary_cold_warm.csv,
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,8,1,0,5,1406.498,,5.687,3.939,15.812,24.016,,,,False,0,5.687,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=1
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,8,2,0,5,520.775,,15.362,12.132,32.69,51.849,,,,False,0,15.362,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=2
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,8,3,0,5,274.977,,29.104,24.903,57.895,79.355,,,,False,0,29.104,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=3
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra_opt,8,4,0,5,137.931,,58.018,49.059,112.954,150.911,,,,False,0,58.018,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=4
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,8,1,0,5,1747.753,,4.576,4.249,7.042,9.475,,,,False,0,4.576,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=1
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,8,2,0,5,482.439,,16.586,12.797,34.178,111.759,,,,False,0,16.586,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=2
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,8,3,0,5,217.264,,36.829,29.546,79.437,225.522,,,,False,0,36.829,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=3
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,8,4,0,5,107.599,,74.411,44.742,268.325,455.13,,,,False,0,74.411,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=4
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,8,1,0,5,1362.233,,5.871,4.146,16.106,26.794,,,,False,0,5.871,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=1
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,8,2,0,5,537.386,,14.887,11.658,32.628,49.453,,,,False,0,14.887,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=2
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,8,3,0,5,300.663,,26.612,22.679,53.859,73.881,,,,False,0,26.612,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=3
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra_opt,8,4,0,5,152.354,,52.614,45.434,104.696,141.919,,,,False,0,52.614,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=4
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,8,1,0,5,1716.456,,4.66,4.275,7.54,11.402,,,,False,0,4.66,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=1
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,8,2,0,5,511.64,,15.636,12.273,31.484,104.52,,,,False,0,15.636,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=2
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,8,3,0,5,249.13,,32.125,26.472,66.684,203.571,,,,False,0,32.125,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=3
hop_depth,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,8,4,0,5,113.888,,70.334,43.047,252.314,424.829,,,,False,0,70.334,PASS,reports/sysaxis_1m_hop_depth_final/final_hop_depth_summary_cold_warm.csv,hop=4
scale_supporting,100K_legacy_clean,99875,sysaxis_100K_legacy_clean_20260709,legacy_synthetic_rebuilt,cold,cassandra_opt,32,2,10,5,596.709,66.198,50.305,,93.276,113.985,30.577,64.941,81.17,False,0,50.305,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Rebuilt from c1_source_100k.csv. 125 CSV source duplicates removed. Not same generator as 1M.
scale_supporting,100K_legacy_clean,99875,sysaxis_100K_legacy_clean_20260709,legacy_synthetic_rebuilt,cold,neo4j,32,2,10,5,484.353,53.175,64.928,,160.079,456.908,11.073,18.368,33.954,False,0,64.928,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Rebuilt from c1_source_100k.csv. 125 CSV source duplicates removed. Not same generator as 1M.
scale_supporting,100K_legacy_clean,99875,sysaxis_100K_legacy_clean_20260709,legacy_synthetic_rebuilt,warm,cassandra_opt,32,2,10,5,598.514,66.84,50.086,,92.264,113.814,30.665,64.603,80.85,False,0,50.086,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Rebuilt from c1_source_100k.csv. 125 CSV source duplicates removed. Not same generator as 1M.
scale_supporting,100K_legacy_clean,99875,sysaxis_100K_legacy_clean_20260709,legacy_synthetic_rebuilt,warm,neo4j,32,2,10,5,490.053,54.554,64.208,,154.232,453.188,10.746,18.193,31.805,False,0,64.208,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Rebuilt from c1_source_100k.csv. 125 CSV source duplicates removed. Not same generator as 1M.
scale_supporting,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,cassandra,32,2,10,5,424.511,47.089,71.172,,137.129,173.639,38.96,97.732,115.777,False,0,71.172,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Scale-controlled graph. Same generator as hop-depth c3_scale_1M_seed42.
scale_supporting,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,cold,neo4j,32,2,10,5,322.467,35.822,97.712,,241.882,696.702,15.857,28.204,45.952,False,0,97.712,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Scale-controlled graph. Same generator as hop-depth c3_scale_1M_seed42.
scale_supporting,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,cassandra,32,2,10,5,586.222,65.156,51.425,,86.359,105.211,28.894,57.989,66.801,False,0,51.425,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Scale-controlled graph. Same generator as hop-depth c3_scale_1M_seed42.
scale_supporting,1M_scale_controlled,1000000,c3_scale_1M_seed42,scale_controlled,warm,neo4j,32,2,10,5,427.578,47.422,73.836,,171.035,488.27,10.801,18.187,27.153,False,0,73.836,PASS_WITH_CAVEAT,reports/sysaxis_scale_sweep_final/scale_sweep_supporting_100K_to_1M_cold_warm.csv,Scale-controlled graph. Same generator as hop-depth c3_scale_1M_seed42.
