method,query_id,error
ZScore_Linear,conv-26_qa_112,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_114,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_115,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_116,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_117,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_118,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_119,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_12,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_120,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_121,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_122,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_125,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_124,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_123,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_126,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_129,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_127,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_128,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_13,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_130,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_132,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_131,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_133,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_135,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_134,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_136,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_137,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_138,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_139,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_14,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_140,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_142,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_141,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_144,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_143,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_146,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_145,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_147,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_148,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_149,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_15,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_151,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
ZScore_Linear,conv-26_qa_150,"RuntimeError('API failed: HTTP 402: {""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}')"
