query_id,category,split,legacy_gold_memory_ids,canonical_gold_memory_ids,legacy_gold_count,canonical_gold_count,changed,status
conv-26_qa_55,1,test,conv-26_session_14_D14:5;conv-26_session_8_D8:6,conv-26_session_14_D14:5;conv-26_session_8_D8:6,2,2,False,mapped
conv-26_qa_56,1,test,conv-26_session_14_D14:15;conv-26_session_4_D4:1,conv-26_session_14_D14:15;conv-26_session_4_D4:1,2,2,False,mapped
conv-26_qa_57,2,test,conv-26_session_14_D14:1,conv-26_session_14_D14:1,1,1,False,mapped
conv-26_qa_58,2,test,conv-26_session_14_D14:4,conv-26_session_14_D14:4,1,1,False,mapped
conv-26_qa_59,3,test,conv-26_session_14_D14:19;conv-26_session_12_D12:1,conv-26_session_14_D14:19;conv-26_session_12_D12:1,2,2,False,mapped
conv-26_qa_60,1,test,conv-26_session_15_D15:26;conv-26_session_2_D2:5,conv-26_session_15_D15:26;conv-26_session_2_D2:5,2,2,False,mapped
conv-26_qa_61,1,test,conv-26_session_15_D15:16;conv-26_session_11_D11:3,conv-26_session_15_D15:16;conv-26_session_11_D11:3,2,2,False,mapped
conv-26_qa_62,2,test,conv-26_session_15_D15:2,conv-26_session_15_D15:2,1,1,False,mapped
conv-26_qa_63,2,test,conv-26_session_15_D15:11,conv-26_session_15_D15:11,1,1,False,mapped
conv-26_qa_64,3,test,conv-26_session_15_D15:28,conv-26_session_15_D15:28,1,1,False,mapped
conv-26_qa_65,1,test,conv-26_session_16_D16:15;conv-26_session_11_D11:14,conv-26_session_16_D16:15;conv-26_session_11_D11:14,2,2,False,mapped
conv-26_qa_66,1,test,conv-26_session_16_D16:4;conv-26_session_10_D10:12,conv-26_session_16_D16:4;conv-26_session_10_D10:12,2,2,False,mapped
conv-26_qa_67,2,test,conv-26_session_16_D16:1,conv-26_session_16_D16:1,1,1,False,mapped
conv-26_qa_68,2,test,conv-26_session_16_D16:8,conv-26_session_16_D16:8,1,1,False,mapped
conv-26_qa_69,3,test,conv-26_session_16_D16:18;conv-26_session_13_D13:16;conv-26_session_7_D7:4,conv-26_session_16_D16:18;conv-26_session_13_D13:16;conv-26_session_7_D7:4,3,3,False,mapped
conv-26_qa_70,1,test,conv-26_session_17_D17:19;conv-26_session_15_D15:13,conv-26_session_17_D17:19;conv-26_session_15_D15:13,2,2,False,mapped
conv-26_qa_71,1,test,conv-26_session_7_D7:11;conv-26_session_17_D17:10,conv-26_session_7_D7:11;conv-26_session_17_D17:10,2,2,False,mapped
conv-26_qa_72,2,test,conv-26_session_17_D17:3,conv-26_session_17_D17:3,1,1,False,mapped
conv-26_qa_73,2,test,conv-26_session_17_D17:8,conv-26_session_17_D17:8,1,1,False,mapped
conv-26_qa_74,2,test,conv-26_session_18_D18:1,conv-26_session_18_D18:1,1,1,False,mapped
conv-26_qa_75,1,test,conv-26_session_18_D18:1;conv-26_session_18_D18:7,conv-26_session_18_D18:1;conv-26_session_18_D18:7,2,2,False,mapped
conv-26_qa_76,1,test,conv-26_session_18_D18:17,conv-26_session_18_D18:17,1,1,False,mapped
conv-26_qa_77,3,test,conv-26_session_18_D18:3;conv-26_session_18_D18:1,conv-26_session_18_D18:3;conv-26_session_18_D18:1,2,2,False,mapped
conv-26_qa_78,1,test,conv-26_session_19_D19:2;conv-26_session_7_D7:18,conv-26_session_19_D19:2;conv-26_session_7_D7:18,2,2,False,mapped
conv-26_qa_79,2,test,conv-26_session_19_D19:1,conv-26_session_19_D19:1,1,1,False,mapped
conv-26_qa_80,2,test,conv-26_session_19_D19:2,conv-26_session_19_D19:2,1,1,False,mapped
conv-26_qa_81,3,test,conv-26_session_19_D19:1;conv-26_session_19_D19:3,conv-26_session_19_D19:1;conv-26_session_19_D19:3,2,2,False,mapped
conv-26_qa_82,4,test,conv-26_session_2_D2:2,conv-26_session_2_D2:2,1,1,False,mapped
conv-26_qa_83,4,test,conv-26_session_2_D2:3,conv-26_session_2_D2:3,1,1,False,mapped
conv-26_qa_84,4,test,conv-26_session_2_D2:5,conv-26_session_2_D2:5,1,1,False,mapped
conv-26_qa_85,4,test,conv-26_session_2_D2:8,conv-26_session_2_D2:8,1,1,False,mapped
conv-26_qa_86,4,test,conv-26_session_2_D2:12,conv-26_session_2_D2:12,1,1,False,mapped
conv-26_qa_87,4,test,conv-26_session_2_D2:12,conv-26_session_2_D2:12,1,1,False,mapped
conv-26_qa_88,4,test,conv-26_session_2_D2:14,conv-26_session_2_D2:14,1,1,False,mapped
conv-26_qa_89,4,test,conv-26_session_2_D2:15,conv-26_session_2_D2:15,1,1,False,mapped
conv-26_qa_90,4,test,conv-26_session_3_D3:16,conv-26_session_3_D3:16,1,1,False,mapped
conv-26_qa_91,4,test,conv-26_session_4_D4:3,conv-26_session_4_D4:3,1,1,False,mapped
conv-26_qa_92,4,test,conv-26_session_4_D4:3,conv-26_session_4_D4:3,1,1,False,mapped
conv-26_qa_93,4,test,conv-26_session_4_D4:3,conv-26_session_4_D4:3,1,1,False,mapped
conv-26_qa_94,4,test,conv-26_session_4_D4:5,conv-26_session_4_D4:5,1,1,False,mapped
conv-26_qa_95,4,test,conv-26_session_4_D4:8,conv-26_session_4_D4:8,1,1,False,mapped
conv-26_qa_96,4,test,conv-26_session_4_D4:13,conv-26_session_4_D4:13,1,1,False,mapped
conv-26_qa_97,4,test,conv-26_session_4_D4:13,conv-26_session_4_D4:13,1,1,False,mapped
conv-26_qa_98,4,test,conv-26_session_4_D4:13,conv-26_session_4_D4:13,1,1,False,mapped
conv-26_qa_99,4,test,conv-26_session_4_D4:15,conv-26_session_4_D4:15,1,1,False,mapped
conv-26_qa_100,4,test,conv-26_session_4_D4:15,conv-26_session_4_D4:15,1,1,False,mapped
conv-26_qa_101,4,test,conv-26_session_5_D5:8,conv-26_session_5_D5:8,1,1,False,mapped
conv-26_qa_102,4,test,conv-26_session_6_D6:9,conv-26_session_6_D6:9,1,1,False,mapped
conv-26_qa_103,4,test,conv-26_session_6_D6:10,conv-26_session_6_D6:10,1,1,False,mapped
conv-26_qa_104,4,test,conv-26_session_7_D7:11,conv-26_session_7_D7:11,1,1,False,mapped
conv-26_qa_105,4,test,conv-26_session_7_D7:13,conv-26_session_7_D7:13,1,1,False,mapped
conv-26_qa_106,4,test,conv-26_session_7_D7:19,conv-26_session_7_D7:19,1,1,False,mapped
conv-26_qa_107,4,test,conv-26_session_7_D7:21,conv-26_session_7_D7:21,1,1,False,mapped
conv-26_qa_108,4,test,conv-26_session_7_D7:24,conv-26_session_7_D7:24,1,1,False,mapped
conv-26_qa_109,4,test,conv-26_session_8_D8:2,conv-26_session_8_D8:2,1,1,False,mapped
conv-26_qa_110,4,test,conv-26_session_8_D8:4,conv-26_session_8_D8:4,1,1,False,mapped
conv-26_qa_111,4,test,conv-26_session_8_D8:5,conv-26_session_8_D8:5,1,1,False,mapped
conv-26_qa_112,4,test,conv-26_session_8_D8:6,conv-26_session_8_D8:6,1,1,False,mapped
conv-26_qa_113,4,test,conv-26_session_8_D8:9,conv-26_session_8_D8:9,1,1,False,mapped
conv-26_qa_114,4,test,conv-26_session_8_D8:11,conv-26_session_8_D8:11,1,1,False,mapped
conv-26_qa_115,4,test,conv-26_session_8_D8:12,conv-26_session_8_D8:12,1,1,False,mapped
conv-26_qa_116,4,test,conv-26_session_9_D9:16,conv-26_session_9_D9:16,1,1,False,mapped
conv-26_qa_117,4,test,conv-26_session_10_D10:10,conv-26_session_10_D10:10,1,1,False,mapped
conv-26_qa_118,4,test,conv-26_session_10_D10:14,conv-26_session_10_D10:14,1,1,False,mapped
conv-26_qa_119,4,test,conv-26_session_10_D10:18,conv-26_session_10_D10:18,1,1,False,mapped
conv-26_qa_120,4,test,conv-26_session_11_D11:1,conv-26_session_11_D11:1,1,1,False,mapped
conv-26_qa_121,4,test,conv-26_session_11_D11:3,conv-26_session_11_D11:3,1,1,False,mapped
conv-26_qa_122,4,test,conv-26_session_12_D12:6,conv-26_session_12_D12:6,1,1,False,mapped
conv-26_qa_123,4,test,conv-26_session_13_D13:3,conv-26_session_13_D13:3,1,1,False,mapped
conv-26_qa_124,4,test,conv-26_session_13_D13:4,conv-26_session_13_D13:4,1,1,False,mapped
conv-26_qa_125,4,test,conv-26_session_13_D13:6,conv-26_session_13_D13:6,1,1,False,mapped
conv-26_qa_126,4,test,conv-26_session_13_D13:7,conv-26_session_13_D13:7,1,1,False,mapped
conv-26_qa_127,4,test,conv-26_session_14_D14:17,conv-26_session_14_D14:17,1,1,False,mapped
conv-26_qa_128,4,test,conv-26_session_14_D14:23,conv-26_session_14_D14:23,1,1,False,mapped
conv-26_qa_129,4,test,conv-26_session_15_D15:23,conv-26_session_15_D15:23,1,1,False,mapped
conv-26_qa_130,4,test,conv-26_session_15_D15:28,conv-26_session_15_D15:28,1,1,False,mapped
conv-26_qa_131,4,test,conv-26_session_15_D15:28,conv-26_session_15_D15:28,1,1,False,mapped
conv-26_qa_132,4,test,conv-26_session_16_D16:7,conv-26_session_16_D16:7,1,1,False,mapped
conv-26_qa_133,4,test,conv-26_session_16_D16:16,conv-26_session_16_D16:16,1,1,False,mapped
conv-26_qa_134,4,test,conv-26_session_17_D17:7,conv-26_session_17_D17:7,1,1,False,mapped
conv-26_qa_135,4,test,conv-26_session_17_D17:8,conv-26_session_17_D17:8,1,1,False,mapped
conv-26_qa_136,4,test,conv-26_session_17_D17:10,conv-26_session_17_D17:10,1,1,False,mapped
conv-26_qa_137,4,test,conv-26_session_17_D17:12,conv-26_session_17_D17:12,1,1,False,mapped
conv-26_qa_138,4,test,conv-26_session_17_D17:14,conv-26_session_17_D17:14,1,1,False,mapped
conv-26_qa_139,4,test,conv-26_session_17_D17:18,conv-26_session_17_D17:18,1,1,False,mapped
conv-26_qa_140,4,test,conv-26_session_17_D17:19,conv-26_session_17_D17:19,1,1,False,mapped
conv-26_qa_141,4,test,conv-26_session_17_D17:23,conv-26_session_17_D17:23,1,1,False,mapped
conv-26_qa_142,4,test,conv-26_session_17_D17:25,conv-26_session_17_D17:25,1,1,False,mapped
conv-26_qa_143,4,test,conv-26_session_18_D18:1,conv-26_session_18_D18:1,1,1,False,mapped
conv-26_qa_144,4,test,conv-26_session_18_D18:6;conv-26_session_18_D18:7,conv-26_session_18_D18:6;conv-26_session_18_D18:7,2,2,False,mapped
conv-26_qa_145,4,test,conv-26_session_18_D18:5,conv-26_session_18_D18:5,1,1,False,mapped
conv-26_qa_146,4,test,conv-26_session_18_D18:7,conv-26_session_18_D18:7,1,1,False,mapped
conv-26_qa_147,4,test,conv-26_session_18_D18:5,conv-26_session_18_D18:5,1,1,False,mapped
conv-26_qa_148,4,test,conv-26_session_18_D18:5,conv-26_session_18_D18:5,1,1,False,mapped
conv-26_qa_149,4,test,conv-26_session_18_D18:9,conv-26_session_18_D18:9,1,1,False,mapped
conv-26_qa_150,4,test,conv-26_session_18_D18:13,conv-26_session_18_D18:13,1,1,False,mapped
conv-26_qa_151,4,test,conv-26_session_18_D18:17,conv-26_session_18_D18:17,1,1,False,mapped
conv-30_qa_0,2,test,conv-30_session_1_D1:2,conv-30_session_1_D1:2,1,1,False,mapped
conv-30_qa_1,2,test,conv-30_session_1_D1:3,conv-30_session_1_D1:3,1,1,False,mapped
conv-30_qa_2,4,test,conv-30_session_1_D1:7;conv-30_session_1_D1:6,conv-30_session_1_D1:7;conv-30_session_1_D1:6,2,2,False,mapped
conv-30_qa_3,1,test,conv-30_session_1_D1:2;conv-30_session_1_D1:3;conv-30_session_1_D1:4;conv-30_session_2_D2:1,conv-30_session_1_D1:2;conv-30_session_1_D1:3;conv-30_session_1_D1:4;conv-30_session_2_D2:1,4,4,False,mapped
conv-30_qa_4,4,test,conv-30_session_1_D1:2;conv-30_session_1_D1:4,conv-30_session_1_D1:2;conv-30_session_1_D1:4,2,2,False,mapped
conv-30_qa_5,1,test,conv-30_session_1_D1:20;conv-30_session_2_D2:4;conv-30_session_2_D2:8,conv-30_session_1_D1:20;conv-30_session_2_D2:4;conv-30_session_2_D2:8,3,3,False,mapped
conv-30_qa_6,2,test,conv-30_session_1_D1:24,conv-30_session_1_D1:24,1,1,False,mapped
conv-30_qa_7,2,test,conv-30_session_2_D2:1,conv-30_session_2_D2:1,1,1,False,mapped
conv-30_qa_8,2,test,conv-30_session_2_D2:4,conv-30_session_2_D2:4,1,1,False,mapped
conv-30_qa_9,1,test,conv-30_session_2_D2:5;conv-30_session_15_D15:1,conv-30_session_2_D2:5;conv-30_session_15_D15:1,2,2,False,mapped
conv-30_qa_10,2,test,conv-30_session_5_D5:5,conv-30_session_5_D5:5,1,1,False,mapped
conv-30_qa_11,2,test,conv-30_session_5_D5:15,conv-30_session_5_D5:15,1,1,False,mapped
conv-30_qa_12,2,test,conv-30_session_6_D6:1,conv-30_session_6_D6:1,1,1,False,mapped
conv-30_qa_13,2,test,conv-30_session_6_D6:6,conv-30_session_6_D6:6,1,1,False,mapped
conv-30_qa_14,2,test,conv-30_session_8_D8:13,conv-30_session_8_D8:13,1,1,False,mapped
conv-30_qa_15,2,test,conv-30_session_8_D8:13,conv-30_session_8_D8:13,1,1,False,mapped
conv-30_qa_16,2,test,conv-30_session_10_D10:1,conv-30_session_10_D10:1,1,1,False,mapped
conv-30_qa_17,1,test,conv-30_session_6_D6:8;conv-30_session_1_D1:3,conv-30_session_6_D6:8;conv-30_session_1_D1:3,2,2,False,mapped
conv-30_qa_18,1,test,conv-30_session_1_D1:4;conv-30_session_6_D6:8,conv-30_session_1_D1:4;conv-30_session_6_D6:8,2,2,False,mapped
conv-30_qa_19,2,test,conv-30_session_11_D11:14,conv-30_session_11_D11:14,1,1,False,mapped
conv-30_qa_20,2,test,conv-30_session_12_D12:1,conv-30_session_12_D12:1,1,1,False,mapped
conv-30_qa_21,2,test,conv-30_session_12_D12:6,conv-30_session_12_D12:6,1,1,False,mapped
conv-30_qa_22,2,test,conv-30_session_13_D13:4,conv-30_session_13_D13:4,1,1,False,mapped
conv-30_qa_23,1,test,conv-30_session_5_D5:5;conv-30_session_16_D16:3;conv-30_session_8_D8:4;conv-30_session_13_D13:4,conv-30_session_5_D5:5;conv-30_session_16_D16:3;conv-30_session_8_D8:4;conv-30_session_13_D13:4,4,4,False,mapped
conv-30_qa_24,1,test,conv-30_session_10_D10:1;conv-30_session_16_D16:6;conv-30_session_8_D8:4,conv-30_session_10_D10:1;conv-30_session_16_D16:6;conv-30_session_8_D8:4,3,3,False,mapped
conv-30_qa_25,1,test,conv-30_session_13_D13:7;conv-30_session_8_D8:13,conv-30_session_13_D13:7;conv-30_session_8_D8:13,2,2,False,mapped
conv-30_qa_26,2,test,conv-30_session_14_D14:1,conv-30_session_14_D14:1,1,1,False,mapped
conv-30_qa_27,1,test,conv-30_session_1_D1:14;conv-30_session_14_D14:14;conv-30_session_1_D1:16;conv-30_session_1_D1:17;conv-30_session_9_D9:10,conv-30_session_1_D1:14;conv-30_session_14_D14:14;conv-30_session_1_D1:16;conv-30_session_1_D1:17;conv-30_session_9_D9:10,5,5,False,mapped
conv-30_qa_28,2,test,conv-30_session_15_D15:1,conv-30_session_15_D15:1,1,1,False,mapped
conv-30_qa_29,1,test,conv-30_session_2_D2:4;conv-30_session_15_D15:1,conv-30_session_2_D2:4;conv-30_session_15_D15:1,2,2,False,mapped
conv-30_qa_30,2,test,conv-30_session_15_D15:5,conv-30_session_15_D15:5,1,1,False,mapped
conv-30_qa_31,1,test,conv-30_session_1_D1:2;conv-30_session_15_D15:13,conv-30_session_1_D1:2;conv-30_session_15_D15:13,2,2,False,mapped
conv-30_qa_32,2,test,conv-30_session_16_D16:3,conv-30_session_16_D16:3,1,1,False,mapped
conv-30_qa_33,2,test,conv-30_session_16_D16:6,conv-30_session_16_D16:6,1,1,False,mapped
conv-30_qa_34,2,test,conv-30_session_17_D17:1,conv-30_session_17_D17:1,1,1,False,mapped
conv-30_qa_35,2,test,conv-30_session_17_D17:4,conv-30_session_17_D17:4,1,1,False,mapped
conv-30_qa_36,2,test,conv-30_session_18_D18:18,conv-30_session_18_D18:18,1,1,False,mapped
conv-30_qa_37,2,test,conv-30_session_19_D19:4,conv-30_session_19_D19:4,1,1,False,mapped
conv-30_qa_38,2,test,conv-30_session_19_D19:6,conv-30_session_19_D19:6,1,1,False,mapped
conv-30_qa_39,4,test,conv-30_session_1_D1:9,conv-30_session_1_D1:9,1,1,False,mapped
conv-30_qa_40,4,test,conv-30_session_1_D1:8,conv-30_session_1_D1:8,1,1,False,mapped
conv-30_qa_41,4,test,conv-30_session_1_D1:17,conv-30_session_1_D1:17,1,1,False,mapped
conv-30_qa_42,4,test,conv-30_session_1_D1:19,conv-30_session_1_D1:19,1,1,False,mapped
conv-30_qa_43,4,test,conv-30_session_1_D1:25,conv-30_session_1_D1:25,1,1,False,mapped
conv-30_qa_44,4,test,conv-30_session_1_D1:26,conv-30_session_1_D1:26,1,1,False,mapped
conv-30_qa_45,4,test,conv-30_session_1_D1:28,conv-30_session_1_D1:28,1,1,False,mapped
conv-30_qa_46,4,test,conv-30_session_2_D2:8,conv-30_session_2_D2:8,1,1,False,mapped
conv-30_qa_47,4,test,conv-30_session_3_D3:2,conv-30_session_3_D3:2,1,1,False,mapped
conv-30_qa_48,4,test,conv-30_session_3_D3:4,conv-30_session_3_D3:4,1,1,False,mapped
conv-30_qa_49,4,test,conv-30_session_3_D3:6;conv-30_session_3_D3:8,conv-30_session_3_D3:6;conv-30_session_3_D3:8,2,2,False,mapped
conv-30_qa_50,4,test,conv-30_session_3_D3:3,conv-30_session_3_D3:3,1,1,False,mapped
conv-30_qa_51,4,test,conv-30_session_3_D3:6,conv-30_session_3_D3:6,1,1,False,mapped
conv-30_qa_52,4,test,conv-30_session_3_D3:9,conv-30_session_3_D3:9,1,1,False,mapped
conv-30_qa_53,4,test,conv-30_session_3_D3:8,conv-30_session_3_D3:8,1,1,False,mapped
conv-30_qa_54,4,test,conv-30_session_4_D4:2,conv-30_session_4_D4:2,1,1,False,mapped
conv-30_qa_55,4,test,conv-30_session_5_D5:15,conv-30_session_5_D5:15,1,1,False,mapped
conv-30_qa_56,4,test,conv-30_session_6_D6:15;conv-30_session_6_D6:16,conv-30_session_6_D6:15;conv-30_session_6_D6:16,2,2,False,mapped
conv-30_qa_57,4,test,conv-30_session_7_D7:5,conv-30_session_7_D7:5,1,1,False,mapped
conv-30_qa_58,4,test,conv-30_session_8_D8:1,conv-30_session_8_D8:1,1,1,False,mapped
conv-30_qa_59,4,test,conv-30_session_8_D8:8,conv-30_session_8_D8:8,1,1,False,mapped
conv-30_qa_60,4,test,conv-30_session_9_D9:5,conv-30_session_9_D9:5,1,1,False,mapped
conv-30_qa_61,4,test,conv-30_session_9_D9:10,conv-30_session_9_D9:10,1,1,False,mapped
conv-30_qa_62,4,test,conv-30_session_10_D10:8,conv-30_session_10_D10:8,1,1,False,mapped
conv-30_qa_63,4,test,conv-30_session_12_D12:1,conv-30_session_12_D12:1,1,1,False,mapped
conv-30_qa_64,4,test,conv-30_session_12_D12:3,conv-30_session_12_D12:3,1,1,False,mapped
conv-30_qa_65,4,test,conv-30_session_12_D12:6,conv-30_session_12_D12:6,1,1,False,mapped
conv-30_qa_66,4,test,conv-30_session_13_D13:7,conv-30_session_13_D13:7,1,1,False,mapped
conv-30_qa_67,4,test,conv-30_session_13_D13:11,conv-30_session_13_D13:11,1,1,False,mapped
conv-30_qa_68,4,test,conv-30_session_14_D14:17,conv-30_session_14_D14:17,1,1,False,mapped
conv-30_qa_69,4,test,conv-30_session_15_D15:1,conv-30_session_15_D15:1,1,1,False,mapped
conv-30_qa_70,4,test,conv-30_session_15_D15:3,conv-30_session_15_D15:3,1,1,False,mapped
conv-30_qa_71,4,test,conv-30_session_15_D15:6,conv-30_session_15_D15:6,1,1,False,mapped
conv-30_qa_72,4,test,conv-30_session_15_D15:7,conv-30_session_15_D15:7,1,1,False,mapped
conv-30_qa_73,4,test,conv-30_session_15_D15:8,conv-30_session_15_D15:8,1,1,False,mapped
