ordinal,qa_id,category,scope_id,scope_memory_count,gold_memory_id,baseline_build_ms,sparse_update_ms,dense_update_ms,fusion_search_ms,index_plus_search_ms,fresh_hit_at_10,gold_rank,top10_ids
10,conv-26_qa_5,2,conv-26,419,conv-26_session_2_D2:1,15.9268,14.5896,1.9866,1.0365,17.6127,1,1,"[""conv-26_session_2_D2:1"", ""conv-26_session_2_D2:2"", ""conv-26_session_7_D7:24"", ""conv-26_session_10_D10:6"", ""conv-26_session_14_D14:11"", ""conv-26_session_2_D2:3"", ""conv-26_session_19_D19:11"", ""conv-26_session_4_D4:16"", ""conv-26_session_4_D4:15"", ""conv-26_session_19_D19:6""]"
11,conv-30_qa_26,2,conv-30,369,conv-30_session_14_D14:1,17.5615,10.7538,1.6009,1.0878,13.442499999999999,1,1,"[""conv-30_session_14_D14:1"", ""conv-30_session_14_D14:7"", ""conv-30_session_14_D14:2"", ""conv-30_session_14_D14:3"", ""conv-30_session_17_D17:4"", ""conv-30_session_13_D13:9"", ""conv-30_session_14_D14:9"", ""conv-30_session_16_D16:4"", ""conv-30_session_1_D1:15"", ""conv-30_session_6_D6:1""]"
12,conv-41_qa_51,2,conv-41,663,conv-41_session_27_D27:4,24.5017,22.158,3.0013,2.1166,27.2759,1,2,"[""conv-41_session_12_D12:18"", ""conv-41_session_27_D27:4"", ""conv-41_session_27_D27:2"", ""conv-41_session_7_D7:3"", ""conv-41_session_20_D20:7"", ""conv-41_session_8_D8:21"", ""conv-41_session_8_D8:22"", ""conv-41_session_10_D10:10"", ""conv-41_session_32_D32:14"", ""conv-41_session_11_D11:16""]"
13,conv-42_qa_37,2,conv-42,629,conv-42_session_19_D19:1,20.2381,17.9714,3.4734,2.3661,23.8109,1,1,"[""conv-42_session_19_D19:1"", ""conv-42_session_26_D26:12"", ""conv-42_session_14_D14:8"", ""conv-42_session_10_D10:4"", ""conv-42_session_22_D22:3"", ""conv-42_session_1_D1:3"", ""conv-42_session_14_D14:9"", ""conv-42_session_19_D19:2"", ""conv-42_session_1_D1:4"", ""conv-42_session_14_D14:22""]"
14,conv-43_qa_39,2,conv-43,680,conv-43_session_14_D14:16,22.4228,19.5738,3.1814,1.4892,24.2444,1,1,"[""conv-43_session_14_D14:16"", ""conv-43_session_20_D20:37"", ""conv-43_session_20_D20:35"", ""conv-43_session_26_D26:8"", ""conv-43_session_20_D20:33"", ""conv-43_session_20_D20:40"", ""conv-43_session_17_D17:4"", ""conv-43_session_26_D26:10"", ""conv-43_session_3_D3:18"", ""conv-43_session_21_D21:3""]"
15,conv-44_qa_46,2,conv-44,675,conv-44_session_12_D12:1,22.9765,18.4745,2.9639,2.8142,24.252599999999997,0,,"[""conv-44_session_1_D1:12"", ""conv-44_session_24_D24:4"", ""conv-44_session_6_D6:3"", ""conv-44_session_15_D15:14"", ""conv-44_session_17_D17:11"", ""conv-44_session_11_D11:3"", ""conv-44_session_5_D5:5"", ""conv-44_session_2_D2:16"", ""conv-44_session_27_D27:3"", ""conv-44_session_27_D27:5""]"
16,conv-47_qa_48,2,conv-47,689,conv-47_session_23_D23:5,23.7979,19.8608,2.7703,1.2988,23.9299,1,1,"[""conv-47_session_23_D23:5"", ""conv-47_session_23_D23:1"", ""conv-47_session_23_D23:3"", ""conv-47_session_31_D31:1"", ""conv-47_session_15_D15:2"", ""conv-47_session_12_D12:2"", ""conv-47_session_17_D17:27"", ""conv-47_session_12_D12:1"", ""conv-47_session_29_D29:8"", ""conv-47_session_25_D25:6""]"
17,conv-48_qa_37,2,conv-48,681,conv-48_session_8_D8:8,20.498,18.0193,3.607,3.0075,24.6338,1,1,"[""conv-48_session_8_D8:8"", ""conv-48_session_14_D14:4"", ""conv-48_session_2_D2:22"", ""conv-48_session_22_D22:28"", ""conv-48_session_2_D2:12"", ""conv-48_session_28_D28:25"", ""conv-48_session_22_D22:22"", ""conv-48_session_30_D30:10"", ""conv-48_session_22_D22:24"", ""conv-48_session_15_D15:26""]"
18,conv-49_qa_23,2,conv-49,509,conv-49_session_4_D4:15,17.6735,16.4944,2.2617,1.6226,20.3787,1,1,"[""conv-49_session_4_D4:15"", ""conv-49_session_4_D4:3"", ""conv-49_session_12_D12:2"", ""conv-49_session_9_D9:1"", ""conv-49_session_17_D17:15"", ""conv-49_session_4_D4:4"", ""conv-49_session_11_D11:1"", ""conv-49_session_3_D3:13"", ""conv-49_session_17_D17:14"", ""conv-49_session_12_D12:4""]"
19,conv-50_qa_10,2,conv-50,568,conv-50_session_6_D6:3,20.9108,18.9713,2.6491,1.4351,23.0555,1,1,"[""conv-50_session_6_D6:3"", ""conv-50_session_14_D14:5"", ""conv-50_session_6_D6:15"", ""conv-50_session_24_D24:11"", ""conv-50_session_9_D9:14"", ""conv-50_session_14_D14:6"", ""conv-50_session_7_D7:1"", ""conv-50_session_24_D24:18"", ""conv-50_session_11_D11:4"", ""conv-50_session_24_D24:12""]"
20,conv-50_qa_9,2,conv-50,568,conv-50_session_6_D6:3,22.0829,20.0828,2.7353,2.4245,25.242599999999996,1,1,"[""conv-50_session_6_D6:3"", ""conv-50_session_6_D6:4"", ""conv-50_session_6_D6:5"", ""conv-50_session_24_D24:4"", ""conv-50_session_16_D16:17"", ""conv-50_session_2_D2:13"", ""conv-50_session_11_D11:8"", ""conv-50_session_2_D2:17"", ""conv-50_session_30_D30:20"", ""conv-50_session_6_D6:7""]"
21,conv-42_qa_87,3,conv-42,629,conv-42_session_29_D29:6,21.4566,19.4359,2.8535,2.3678,24.6572,0,,"[""conv-42_session_17_D17:3"", ""conv-42_session_17_D17:5"", ""conv-42_session_7_D7:13"", ""conv-42_session_22_D22:22"", ""conv-42_session_17_D17:4"", ""conv-42_session_11_D11:4"", ""conv-42_session_11_D11:6"", ""conv-42_session_11_D11:20"", ""conv-42_session_3_D3:13"", ""conv-42_session_8_D8:13""]"
22,conv-47_qa_35,3,conv-47,689,conv-47_session_17_D17:22,20.803,18.7281,3.0743,2.2153,24.0177,1,3,"[""conv-47_session_16_D16:10"", ""conv-47_session_16_D16:11"", ""conv-47_session_17_D17:22"", ""conv-47_session_6_D6:12"", ""conv-47_session_6_D6:18"", ""conv-47_session_6_D6:14"", ""conv-47_session_31_D31:1"", ""conv-47_session_31_D31:11"", ""conv-47_session_6_D6:15"", ""conv-47_session_16_D16:9""]"
23,conv-50_qa_37,3,conv-50,568,conv-50_session_18_D18:7,21.169,20.3598,2.975,1.708,25.0428,0,,"[""conv-50_session_14_D14:4"", ""conv-50_session_3_D3:9"", ""conv-50_session_25_D25:28"", ""conv-50_session_25_D25:27"", ""conv-50_session_12_D12:11"", ""conv-50_session_2_D2:8"", ""conv-50_session_16_D16:15"", ""conv-50_session_7_D7:11"", ""conv-50_session_20_D20:9"", ""conv-50_session_24_D24:5""]"
24,conv-26_qa_127,4,conv-26,419,conv-26_session_14_D14:17,17.2564,14.9907,2.1402,2.7335,19.8644,1,7,"[""conv-26_session_14_D14:19"", ""conv-26_session_14_D14:18"", ""conv-26_session_14_D14:3"", ""conv-26_session_10_D10:15"", ""conv-26_session_12_D12:6"", ""conv-26_session_12_D12:12"", ""conv-26_session_14_D14:17"", ""conv-26_session_9_D9:16"", ""conv-26_session_14_D14:13"", ""conv-26_session_17_D17:21""]"
25,conv-26_qa_87,4,conv-26,419,conv-26_session_2_D2:12,15.1581,13.5896,1.994,0.9911,16.5747,1,1,"[""conv-26_session_2_D2:12"", ""conv-26_session_19_D19:1"", ""conv-26_session_19_D19:3"", ""conv-26_session_2_D2:8"", ""conv-26_session_13_D13:1"", ""conv-26_session_13_D13:16"", ""conv-26_session_2_D2:10"", ""conv-26_session_17_D17:3"", ""conv-26_session_2_D2:13"", ""conv-26_session_17_D17:7""]"
26,conv-30_qa_54,4,conv-30,369,conv-30_session_4_D4:2,12.4772,11.5825,1.825,1.4458,14.853299999999999,1,1,"[""conv-30_session_4_D4:2"", ""conv-30_session_4_D4:1"", ""conv-30_session_7_D7:4"", ""conv-30_session_10_D10:3"", ""conv-30_session_7_D7:3"", ""conv-30_session_2_D2:1"", ""conv-30_session_8_D8:21"", ""conv-30_session_16_D16:1"", ""conv-30_session_8_D8:10"", ""conv-30_session_2_D2:2""]"
27,conv-41_qa_103,4,conv-41,663,conv-41_session_17_D17:1,24.4701,21.6373,3.2553,2.5383,27.4309,1,1,"[""conv-41_session_17_D17:1"", ""conv-41_session_17_D17:2"", ""conv-41_session_18_D18:1"", ""conv-41_session_17_D17:10"", ""conv-41_session_30_D30:4"", ""conv-41_session_31_D31:5"", ""conv-41_session_31_D31:3"", ""conv-41_session_17_D17:4"", ""conv-41_session_22_D22:21"", ""conv-41_session_31_D31:8""]"
28,conv-41_qa_133,4,conv-41,663,conv-41_session_27_D27:9,24.4993,22.5344,3.3315,2.516,28.3819,1,1,"[""conv-41_session_27_D27:9"", ""conv-41_session_4_D4:16"", ""conv-41_session_5_D5:4"", ""conv-41_session_13_D13:7"", ""conv-41_session_12_D12:17"", ""conv-41_session_8_D8:8"", ""conv-41_session_31_D31:20"", ""conv-41_session_5_D5:5"", ""conv-41_session_5_D5:6"", ""conv-41_session_23_D23:1""]"
29,conv-41_qa_76,4,conv-41,663,conv-41_session_7_D7:4,24.1903,22.6557,3.1777,2.381,28.2144,1,5,"[""conv-41_session_14_D14:1"", ""conv-41_session_7_D7:3"", ""conv-41_session_7_D7:2"", ""conv-41_session_6_D6:4"", ""conv-41_session_7_D7:4"", ""conv-41_session_1_D1:6"", ""conv-41_session_1_D1:8"", ""conv-41_session_15_D15:3"", ""conv-41_session_6_D6:12"", ""conv-41_session_1_D1:13""]"
30,conv-42_qa_107,4,conv-42,629,conv-42_session_5_D5:6,19.2874,16.9639,2.8727,2.3671,22.203699999999998,1,1,"[""conv-42_session_5_D5:6"", ""conv-42_session_25_D25:27"", ""conv-42_session_24_D24:9"", ""conv-42_session_26_D26:10"", ""conv-42_session_25_D25:15"", ""conv-42_session_2_D2:14"", ""conv-42_session_28_D28:25"", ""conv-42_session_29_D29:10"", ""conv-42_session_29_D29:6"", ""conv-42_session_13_D13:7""]"
31,conv-42_qa_137,4,conv-42,629,conv-42_session_17_D17:4,20.2877,17.8207,2.8233,2.2096,22.8536,1,5,"[""conv-42_session_17_D17:3"", ""conv-42_session_29_D29:1"", ""conv-42_session_4_D4:14"", ""conv-42_session_5_D5:15"", ""conv-42_session_17_D17:4"", ""conv-42_session_17_D17:2"", ""conv-42_session_11_D11:3"", ""conv-42_session_19_D19:10"", ""conv-42_session_1_D1:6"", ""conv-42_session_2_D2:25""]"
32,conv-42_qa_167,4,conv-42,629,conv-42_session_23_D23:26,20.6901,19.2222,2.7949,2.1457,24.1628,1,3,"[""conv-42_session_23_D23:25"", ""conv-42_session_23_D23:27"", ""conv-42_session_23_D23:26"", ""conv-42_session_23_D23:22"", ""conv-42_session_23_D23:24"", ""conv-42_session_27_D27:26"", ""conv-42_session_27_D27:20"", ""conv-42_session_15_D15:6"", ""conv-42_session_23_D23:23"", ""conv-42_session_16_D16:13""]"
33,conv-42_qa_197,4,conv-42,629,conv-42_session_29_D29:8,21.4968,18.5268,3.2197,2.6177,24.3642,1,9,"[""conv-42_session_29_D29:7"", ""conv-42_session_26_D26:10"", ""conv-42_session_24_D24:9"", ""conv-42_session_25_D25:27"", ""conv-42_session_5_D5:6"", ""conv-42_session_2_D2:14"", ""conv-42_session_29_D29:6"", ""conv-42_session_28_D28:25"", ""conv-42_session_29_D29:8"", ""conv-42_session_29_D29:10""]"
34,conv-43_qa_117,4,conv-43,680,conv-43_session_13_D13:6,23.7517,22.2749,3.152,2.5686,27.9955,1,3,"[""conv-43_session_11_D11:17"", ""conv-43_session_15_D15:18"", ""conv-43_session_13_D13:6"", ""conv-43_session_19_D19:12"", ""conv-43_session_5_D5:8"", ""conv-43_session_25_D25:14"", ""conv-43_session_25_D25:15"", ""conv-43_session_16_D16:4"", ""conv-43_session_14_D14:3"", ""conv-43_session_21_D21:16""]"
35,conv-43_qa_147,4,conv-43,680,conv-43_session_21_D21:11,22.7449,20.22,2.9686,2.3596,25.548199999999998,1,1,"[""conv-43_session_21_D21:11"", ""conv-43_session_8_D8:13"", ""conv-43_session_21_D21:10"", ""conv-43_session_21_D21:9"", ""conv-43_session_8_D8:12"", ""conv-43_session_21_D21:12"", ""conv-43_session_21_D21:3"", ""conv-43_session_27_D27:13"", ""conv-43_session_12_D12:25"", ""conv-43_session_1_D1:8""]"
36,conv-43_qa_177,4,conv-43,680,conv-43_session_29_D29:12,24.0616,20.4368,2.9817,2.258,25.6765,1,4,"[""conv-43_session_11_D11:7"", ""conv-43_session_29_D29:11"", ""conv-43_session_11_D11:8"", ""conv-43_session_29_D29:12"", ""conv-43_session_9_D9:7"", ""conv-43_session_9_D9:8"", ""conv-43_session_28_D28:2"", ""conv-43_session_11_D11:9"", ""conv-43_session_11_D11:11"", ""conv-43_session_9_D9:9""]"
37,conv-44_qa_100,4,conv-44,675,conv-44_session_22_D22:1,22.2764,21.032,3.4339,2.351,26.8169,1,1,"[""conv-44_session_22_D22:1"", ""conv-44_session_6_D6:14"", ""conv-44_session_8_D8:9"", ""conv-44_session_3_D3:6"", ""conv-44_session_19_D19:2"", ""conv-44_session_26_D26:1"", ""conv-44_session_10_D10:1"", ""conv-44_session_23_D23:24"", ""conv-44_session_20_D20:4"", ""conv-44_session_17_D17:8""]"
38,conv-44_qa_68,4,conv-44,675,conv-44_session_6_D6:2,21.9643,18.7196,3.4564,2.2639,24.439899999999998,1,3,"[""conv-44_session_6_D6:3"", ""conv-44_session_6_D6:4"", ""conv-44_session_6_D6:2"", ""conv-44_session_6_D6:12"", ""conv-44_session_15_D15:15"", ""conv-44_session_12_D12:10"", ""conv-44_session_19_D19:4"", ""conv-44_session_17_D17:8"", ""conv-44_session_12_D12:12"", ""conv-44_session_9_D9:11""]"
39,conv-44_qa_98,4,conv-44,675,conv-44_session_20_D20:35,22.5478,20.2749,3.5247,2.5493,26.348899999999997,1,1,"[""conv-44_session_20_D20:35"", ""conv-44_session_20_D20:33"", ""conv-44_session_20_D20:27"", ""conv-44_session_8_D8:27"", ""conv-44_session_20_D20:9"", ""conv-44_session_20_D20:31"", ""conv-44_session_17_D17:7"", ""conv-44_session_14_D14:13"", ""conv-44_session_5_D5:4"", ""conv-44_session_20_D20:25""]"
40,conv-47_qa_128,4,conv-47,689,conv-47_session_24_D24:8,25.378,21.0658,3.8394,2.0087,26.9139,0,,"[""conv-47_session_24_D24:6"", ""conv-47_session_24_D24:12"", ""conv-47_session_3_D3:10"", ""conv-47_session_15_D15:5"", ""conv-47_session_24_D24:5"", ""conv-47_session_26_D26:2"", ""conv-47_session_24_D24:4"", ""conv-47_session_26_D26:9"", ""conv-47_session_2_D2:9"", ""conv-47_session_24_D24:7""]"
41,conv-47_qa_75,4,conv-47,689,conv-47_session_4_D4:16,26.2541,21.0228,3.9878,2.4172,27.4278,0,,"[""conv-47_session_4_D4:2"", ""conv-47_session_16_D16:2"", ""conv-47_session_16_D16:1"", ""conv-47_session_4_D4:3"", ""conv-47_session_18_D18:8"", ""conv-47_session_20_D20:8"", ""conv-47_session_3_D3:18"", ""conv-47_session_4_D4:4"", ""conv-47_session_29_D29:2"", ""conv-47_session_29_D29:4""]"
42,conv-48_qa_105,4,conv-48,681,conv-48_session_4_D4:3,23.7002,19.7254,4.1628,2.3847,26.2729,1,1,"[""conv-48_session_4_D4:3"", ""conv-48_session_14_D14:10"", ""conv-48_session_13_D13:3"", ""conv-48_session_15_D15:8"", ""conv-48_session_21_D21:4"", ""conv-48_session_5_D5:3"", ""conv-48_session_10_D10:24"", ""conv-48_session_1_D1:12"", ""conv-48_session_13_D13:4"", ""conv-48_session_9_D9:4""]"
43,conv-48_qa_135,4,conv-48,681,conv-48_session_14_D14:6,23.7471,19.625,3.5697,2.4779,25.672600000000003,1,1,"[""conv-48_session_14_D14:6"", ""conv-48_session_8_D8:8"", ""conv-48_session_23_D23:5"", ""conv-48_session_2_D2:14"", ""conv-48_session_28_D28:4"", ""conv-48_session_20_D20:3"", ""conv-48_session_15_D15:22"", ""conv-48_session_19_D19:15"", ""conv-48_session_28_D28:25"", ""conv-48_session_12_D12:8""]"
44,conv-48_qa_163,4,conv-48,681,conv-48_session_22_D22:25,22.3267,19.6499,3.9937,2.3075,25.9511,1,1,"[""conv-48_session_22_D22:25"", ""conv-48_session_22_D22:24"", ""conv-48_session_22_D22:19"", ""conv-48_session_15_D15:25"", ""conv-48_session_22_D22:29"", ""conv-48_session_22_D22:27"", ""conv-48_session_22_D22:23"", ""conv-48_session_22_D22:28"", ""conv-48_session_14_D14:5"", ""conv-48_session_28_D28:29""]"
45,conv-48_qa_42,4,conv-48,681,conv-48_session_11_D11:8,23.6717,19.9541,3.5434,1.6775,25.175,1,1,"[""conv-48_session_11_D11:8"", ""conv-48_session_11_D11:11"", ""conv-48_session_11_D11:4"", ""conv-48_session_11_D11:7"", ""conv-48_session_11_D11:9"", ""conv-48_session_11_D11:10"", ""conv-48_session_20_D20:12"", ""conv-48_session_7_D7:4"", ""conv-48_session_11_D11:6"", ""conv-48_session_20_D20:18""]"
46,conv-49_qa_107,4,conv-49,509,conv-49_session_8_D8:18,19.3171,16.7437,2.3631,1.6394,20.746199999999998,1,1,"[""conv-49_session_8_D8:18"", ""conv-49_session_8_D8:20"", ""conv-49_session_8_D8:19"", ""conv-49_session_11_D11:6"", ""conv-49_session_8_D8:22"", ""conv-49_session_11_D11:7"", ""conv-49_session_8_D8:14"", ""conv-49_session_1_D1:15"", ""conv-49_session_1_D1:17"", ""conv-49_session_8_D8:21""]"
47,conv-49_qa_137,4,conv-49,509,conv-49_session_20_D20:17,21.8045,18.4443,2.4513,2.4557,23.3513,1,1,"[""conv-49_session_20_D20:17"", ""conv-49_session_21_D21:17"", ""conv-49_session_21_D21:12"", ""conv-49_session_11_D11:11"", ""conv-49_session_21_D21:18"", ""conv-49_session_11_D11:6"", ""conv-49_session_20_D20:15"", ""conv-49_session_8_D8:20"", ""conv-49_session_8_D8:14"", ""conv-49_session_11_D11:7""]"
48,conv-49_qa_94,4,conv-49,509,conv-49_session_4_D4:8,20.1535,17.8848,2.538,2.3979,22.8207,1,1,"[""conv-49_session_4_D4:8"", ""conv-49_session_3_D3:5"", ""conv-49_session_9_D9:7"", ""conv-49_session_4_D4:7"", ""conv-49_session_10_D10:4"", ""conv-49_session_13_D13:6"", ""conv-49_session_4_D4:10"", ""conv-49_session_3_D3:4"", ""conv-49_session_1_D1:12"", ""conv-49_session_10_D10:10""]"
49,conv-50_qa_124,4,conv-50,568,conv-50_session_23_D23:11,23.8513,22.485,2.8674,1.7808,27.1332,1,6,"[""conv-50_session_23_D23:6"", ""conv-50_session_2_D2:8"", ""conv-50_session_26_D26:9"", ""conv-50_session_15_D15:8"", ""conv-50_session_25_D25:27"", ""conv-50_session_23_D23:11"", ""conv-50_session_28_D28:31"", ""conv-50_session_16_D16:17"", ""conv-50_session_16_D16:16"", ""conv-50_session_15_D15:6""]"
