qa_id,conv,n_dense,n_bm25,legacy_top10,current_top10,same_set,same_order,legacy_gold_rank,current_gold_rank,same_gold_rank,legacy_hit1,current_hit1
conv-26_qa_107,conv-26,10,10,conv-26_session_7_D7:23;conv-26_session_7_D7:21;conv-26_session_7_D7:22;conv-26_session_7_D7:20;conv-26_session_5_D5:5;conv-26_session_2_D2:1;conv-26_session_2_D2:5;conv-26_session_7_D7:19;conv-26_session_4_D4:15;conv-26_session_8_D8:28,conv-26_session_7_D7:23;conv-26_session_7_D7:21;conv-26_session_7_D7:22;conv-26_session_7_D7:20;conv-26_session_5_D5:5;conv-26_session_2_D2:1;conv-26_session_2_D2:5;conv-26_session_7_D7:19;conv-26_session_4_D4:15;conv-26_session_8_D8:28,1,1,2,2,1,0,0
conv-26_qa_108,conv-26,10,10,conv-26_session_7_D7:23;conv-26_session_7_D7:22;conv-26_session_7_D7:20;conv-26_session_7_D7:21;conv-26_session_10_D10:1;conv-26_session_2_D2:1;conv-26_session_8_D8:24;conv-26_session_17_D17:22;conv-26_session_2_D2:5;conv-26_session_2_D2:2,conv-26_session_7_D7:23;conv-26_session_7_D7:22;conv-26_session_7_D7:20;conv-26_session_7_D7:21;conv-26_session_10_D10:1;conv-26_session_2_D2:1;conv-26_session_8_D8:24;conv-26_session_17_D17:22;conv-26_session_2_D2:5;conv-26_session_2_D2:2,1,1,99,99,1,0,0
conv-26_qa_109,conv-26,10,10,conv-26_session_8_D8:2;conv-26_session_8_D8:5;conv-26_session_18_D18:6;conv-26_session_8_D8:4;conv-26_session_14_D14:28;conv-26_session_14_D14:4;conv-26_session_5_D5:6;conv-26_session_8_D8:20;conv-26_session_14_D14:3;conv-26_session_5_D5:10,conv-26_session_8_D8:2;conv-26_session_8_D8:5;conv-26_session_18_D18:6;conv-26_session_8_D8:4;conv-26_session_14_D14:28;conv-26_session_14_D14:4;conv-26_session_5_D5:6;conv-26_session_8_D8:20;conv-26_session_14_D14:3;conv-26_session_5_D5:10,1,1,1,1,1,1,1
conv-26_qa_11,conv-26,10,10,conv-26_session_8_D8:22;conv-26_session_3_D3:16;conv-26_session_15_D15:21;conv-26_session_8_D8:29;conv-26_session_3_D3:13;conv-26_session_4_D4:5;conv-26_session_17_D17:2;conv-26_session_3_D3:1;conv-26_session_6_D6:2;conv-26_session_17_D17:10,conv-26_session_8_D8:22;conv-26_session_3_D3:16;conv-26_session_15_D15:21;conv-26_session_8_D8:29;conv-26_session_3_D3:13;conv-26_session_4_D4:5;conv-26_session_17_D17:2;conv-26_session_3_D3:1;conv-26_session_6_D6:2;conv-26_session_17_D17:10,1,1,5,5,1,0,0
conv-26_qa_110,conv-26,10,10,conv-26_session_8_D8:4;conv-26_session_5_D5:10;conv-26_session_18_D18:6;conv-26_session_2_D2:16;conv-26_session_8_D8:2;conv-26_session_5_D5:6;conv-26_session_8_D8:20;conv-26_session_14_D14:28;conv-26_session_14_D14:4;conv-26_session_16_D16:8,conv-26_session_8_D8:4;conv-26_session_5_D5:10;conv-26_session_18_D18:6;conv-26_session_2_D2:16;conv-26_session_8_D8:2;conv-26_session_5_D5:6;conv-26_session_8_D8:20;conv-26_session_14_D14:28;conv-26_session_14_D14:4;conv-26_session_16_D16:8,1,1,1,1,1,1,1
conv-26_qa_111,conv-26,10,10,conv-26_session_8_D8:2;conv-26_session_16_D16:8;conv-26_session_8_D8:5;conv-26_session_14_D14:4;conv-26_session_5_D5:4;conv-26_session_5_D5:5;conv-26_session_5_D5:6;conv-26_session_12_D12:3;conv-26_session_5_D5:10;conv-26_session_12_D12:2,conv-26_session_8_D8:2;conv-26_session_16_D16:8;conv-26_session_8_D8:5;conv-26_session_14_D14:4;conv-26_session_5_D5:4;conv-26_session_5_D5:5;conv-26_session_5_D5:6;conv-26_session_12_D12:3;conv-26_session_5_D5:10;conv-26_session_12_D12:2,1,1,3,3,1,0,0
conv-26_qa_112,conv-26,10,10,conv-26_session_8_D8:6;conv-26_session_14_D14:31;conv-26_session_18_D18:6;conv-26_session_16_D16:17;conv-26_session_16_D16:8;conv-26_session_12_D12:3;conv-26_session_14_D14:32;conv-26_session_8_D8:3;conv-26_session_8_D8:7;conv-26_session_17_D17:13,conv-26_session_8_D8:6;conv-26_session_14_D14:31;conv-26_session_18_D18:6;conv-26_session_16_D16:17;conv-26_session_16_D16:8;conv-26_session_12_D12:3;conv-26_session_14_D14:32;conv-26_session_8_D8:3;conv-26_session_8_D8:7;conv-26_session_17_D17:13,1,1,1,1,1,1,1
conv-26_qa_113,conv-26,10,10,conv-26_session_8_D8:9;conv-26_session_13_D13:1;conv-26_session_2_D2:13;conv-26_session_13_D13:16;conv-26_session_19_D19:2;conv-26_session_8_D8:22;conv-26_session_17_D17:3;conv-26_session_19_D19:1;conv-26_session_1_D1:4;conv-26_session_14_D14:22,conv-26_session_8_D8:9;conv-26_session_13_D13:1;conv-26_session_2_D2:13;conv-26_session_13_D13:16;conv-26_session_19_D19:2;conv-26_session_8_D8:22;conv-26_session_17_D17:3;conv-26_session_19_D19:1;conv-26_session_1_D1:4;conv-26_session_14_D14:22,1,1,1,1,1,1,1
conv-26_qa_114,conv-26,10,10,conv-26_session_8_D8:11;conv-26_session_8_D8:12;conv-26_session_13_D13:18;conv-26_session_14_D14:26;conv-26_session_12_D12:14;conv-26_session_8_D8:8;conv-26_session_12_D12:20;conv-26_session_17_D17:23;conv-26_session_14_D14:18;conv-26_session_14_D14:27,conv-26_session_8_D8:11;conv-26_session_8_D8:12;conv-26_session_13_D13:18;conv-26_session_14_D14:26;conv-26_session_12_D12:14;conv-26_session_8_D8:8;conv-26_session_12_D12:20;conv-26_session_17_D17:23;conv-26_session_14_D14:18;conv-26_session_14_D14:27,1,1,1,1,1,1,1
conv-26_qa_115,conv-26,10,10,conv-26_session_8_D8:12;conv-26_session_14_D14:26;conv-26_session_14_D14:27;conv-26_session_8_D8:8;conv-26_session_8_D8:11;conv-26_session_12_D12:6;conv-26_session_2_D2:4;conv-26_session_18_D18:4;conv-26_session_18_D18:21;conv-26_session_14_D14:29,conv-26_session_8_D8:12;conv-26_session_14_D14:26;conv-26_session_14_D14:27;conv-26_session_8_D8:8;conv-26_session_8_D8:11;conv-26_session_12_D12:6;conv-26_session_2_D2:4;conv-26_session_18_D18:4;conv-26_session_18_D18:21;conv-26_session_14_D14:29,1,1,1,1,1,1,1
conv-26_qa_116,conv-26,10,10,conv-26_session_9_D9:14;conv-26_session_9_D9:15;conv-26_session_16_D16:12;conv-26_session_14_D14:18;conv-26_session_17_D17:14;conv-26_session_12_D12:6;conv-26_session_1_D1:16;conv-26_session_14_D14:32;conv-26_session_8_D8:6;conv-26_session_9_D9:17,conv-26_session_9_D9:14;conv-26_session_9_D9:15;conv-26_session_16_D16:12;conv-26_session_14_D14:18;conv-26_session_17_D17:14;conv-26_session_12_D12:6;conv-26_session_1_D1:16;conv-26_session_14_D14:32;conv-26_session_8_D8:6;conv-26_session_9_D9:17,1,1,99,99,1,0,0
conv-26_qa_117,conv-26,10,10,conv-26_session_10_D10:10;conv-26_session_10_D10:8;conv-26_session_10_D10:11;conv-26_session_6_D6:16;conv-26_session_17_D17:22;conv-26_session_15_D15:2;conv-26_session_13_D13:2;conv-26_session_2_D2:7;conv-26_session_10_D10:12;conv-26_session_13_D13:15,conv-26_session_10_D10:10;conv-26_session_10_D10:8;conv-26_session_10_D10:11;conv-26_session_6_D6:16;conv-26_session_17_D17:22;conv-26_session_15_D15:2;conv-26_session_13_D13:2;conv-26_session_2_D2:7;conv-26_session_10_D10:12;conv-26_session_13_D13:15,1,1,1,1,1,1,1
conv-26_qa_118,conv-26,10,10,conv-26_session_10_D10:12;conv-26_session_10_D10:14;conv-26_session_8_D8:32;conv-26_session_4_D4:8;conv-26_session_8_D8:29;conv-26_session_18_D18:19;conv-26_session_4_D4:9;conv-26_session_18_D18:21;conv-26_session_6_D6:16;conv-26_session_16_D16:4,conv-26_session_10_D10:12;conv-26_session_10_D10:14;conv-26_session_8_D8:32;conv-26_session_4_D4:8;conv-26_session_8_D8:29;conv-26_session_18_D18:19;conv-26_session_4_D4:9;conv-26_session_18_D18:21;conv-26_session_6_D6:16;conv-26_session_16_D16:4,1,1,2,2,1,0,0
conv-26_qa_119,conv-26,10,10,conv-26_session_10_D10:16;conv-26_session_10_D10:14;conv-26_session_8_D8:20;conv-26_session_11_D11:5;conv-26_session_8_D8:22;conv-26_session_10_D10:18;conv-26_session_8_D8:14;conv-26_session_14_D14:3;conv-26_session_17_D17:12;conv-26_session_14_D14:22,conv-26_session_10_D10:16;conv-26_session_10_D10:14;conv-26_session_8_D8:20;conv-26_session_11_D11:5;conv-26_session_8_D8:22;conv-26_session_10_D10:18;conv-26_session_8_D8:14;conv-26_session_14_D14:3;conv-26_session_17_D17:12;conv-26_session_14_D14:22,1,1,6,6,1,0,0
conv-26_qa_12,conv-26,10,10,conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_3_D3:15;conv-26_session_17_D17:10;conv-26_session_3_D3:16;conv-26_session_15_D15:20;conv-26_session_16_D16:6;conv-26_session_4_D4:1;conv-26_session_3_D3:12;conv-26_session_6_D6:2,conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_3_D3:15;conv-26_session_17_D17:10;conv-26_session_3_D3:16;conv-26_session_15_D15:20;conv-26_session_16_D16:6;conv-26_session_4_D4:1;conv-26_session_3_D3:12;conv-26_session_6_D6:2,1,1,1,1,1,1,1
conv-26_qa_120,conv-26,10,10,conv-26_session_8_D8:14;conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_14_D14:30;conv-26_session_13_D13:8;conv-26_session_14_D14:3;conv-26_session_11_D11:16;conv-26_session_6_D6:2;conv-26_session_14_D14:21;conv-26_session_8_D8:38,conv-26_session_8_D8:14;conv-26_session_4_D4:5;conv-26_session_11_D11:1;conv-26_session_14_D14:30;conv-26_session_13_D13:8;conv-26_session_14_D14:3;conv-26_session_11_D11:16;conv-26_session_6_D6:2;conv-26_session_14_D14:21;conv-26_session_8_D8:38,1,1,3,3,1,0,0
conv-26_qa_121,conv-26,10,10,conv-26_session_11_D11:1;conv-26_session_11_D11:2;conv-26_session_15_D15:25;conv-26_session_15_D15:14;conv-26_session_4_D4:5;conv-26_session_15_D15:16;conv-26_session_11_D11:4;conv-26_session_7_D7:27;conv-26_session_8_D8:14;conv-26_session_15_D15:22,conv-26_session_11_D11:1;conv-26_session_11_D11:2;conv-26_session_15_D15:25;conv-26_session_15_D15:14;conv-26_session_4_D4:5;conv-26_session_15_D15:16;conv-26_session_11_D11:4;conv-26_session_7_D7:27;conv-26_session_8_D8:14;conv-26_session_15_D15:22,1,1,99,99,1,0,0
conv-26_qa_122,conv-26,10,10,conv-26_session_12_D12:5;conv-26_session_1_D1:15;conv-26_session_12_D12:6;conv-26_session_12_D12:3;conv-26_session_5_D5:10;conv-26_session_12_D12:2;conv-26_session_16_D16:8;conv-26_session_5_D5:6;conv-26_session_7_D7:12;conv-26_session_16_D16:9,conv-26_session_12_D12:5;conv-26_session_1_D1:15;conv-26_session_12_D12:6;conv-26_session_12_D12:3;conv-26_session_5_D5:10;conv-26_session_12_D12:2;conv-26_session_16_D16:8;conv-26_session_5_D5:6;conv-26_session_7_D7:12;conv-26_session_16_D16:9,1,1,3,3,1,0,0
conv-26_qa_123,conv-26,10,10,conv-26_session_7_D7:15;conv-26_session_13_D13:2;conv-26_session_17_D17:22;conv-26_session_7_D7:17;conv-26_session_7_D7:13;conv-26_session_11_D11:13;conv-26_session_13_D13:3;conv-26_session_13_D13:15;conv-26_session_7_D7:16;conv-26_session_13_D13:18,conv-26_session_7_D7:15;conv-26_session_13_D13:2;conv-26_session_17_D17:22;conv-26_session_7_D7:17;conv-26_session_7_D7:13;conv-26_session_11_D11:13;conv-26_session_13_D13:3;conv-26_session_13_D13:15;conv-26_session_7_D7:16;conv-26_session_13_D13:18,1,1,7,7,1,0,0
conv-26_qa_124,conv-26,10,10,conv-26_session_13_D13:2;conv-26_session_7_D7:17;conv-26_session_13_D13:3;conv-26_session_7_D7:14;conv-26_session_7_D7:16;conv-26_session_17_D17:22;conv-26_session_7_D7:18;conv-26_session_7_D7:15;conv-26_session_13_D13:15;conv-26_session_11_D11:13,conv-26_session_13_D13:2;conv-26_session_7_D7:17;conv-26_session_13_D13:3;conv-26_session_7_D7:14;conv-26_session_7_D7:16;conv-26_session_17_D17:22;conv-26_session_7_D7:18;conv-26_session_7_D7:15;conv-26_session_13_D13:15;conv-26_session_11_D11:13,1,1,99,99,1,0,0
conv-26_qa_125,conv-26,10,10,conv-26_session_13_D13:6;conv-26_session_13_D13:5;conv-26_session_7_D7:18;conv-26_session_14_D14:22;conv-26_session_6_D6:6;conv-26_session_15_D15:13;conv-26_session_10_D10:15;conv-26_session_4_D4:4;conv-26_session_17_D17:9;conv-26_session_8_D8:20,conv-26_session_13_D13:6;conv-26_session_13_D13:5;conv-26_session_7_D7:18;conv-26_session_14_D14:22;conv-26_session_6_D6:6;conv-26_session_15_D15:13;conv-26_session_10_D10:15;conv-26_session_4_D4:4;conv-26_session_17_D17:9;conv-26_session_8_D8:20,1,1,1,1,1,1,1
conv-26_qa_126,conv-26,10,10,conv-26_session_13_D13:7;conv-26_session_10_D10:15;conv-26_session_10_D10:9;conv-26_session_8_D8:22;conv-26_session_10_D10:11;conv-26_session_1_D1:4;conv-26_session_14_D14:22;conv-26_session_15_D15:13;conv-26_session_8_D8:33;conv-26_session_15_D15:2,conv-26_session_13_D13:7;conv-26_session_10_D10:15;conv-26_session_10_D10:9;conv-26_session_8_D8:22;conv-26_session_10_D10:11;conv-26_session_1_D1:4;conv-26_session_14_D14:22;conv-26_session_15_D15:13;conv-26_session_8_D8:33;conv-26_session_15_D15:2,1,1,1,1,1,1,1
conv-26_qa_127,conv-26,10,10,conv-26_session_14_D14:19;conv-26_session_12_D12:12;conv-26_session_14_D14:18;conv-26_session_12_D12:6;conv-26_session_14_D14:28;conv-26_session_14_D14:17;conv-26_session_8_D8:20;conv-26_session_10_D10:15;conv-26_session_14_D14:3;conv-26_session_5_D5:7,conv-26_session_14_D14:19;conv-26_session_12_D12:12;conv-26_session_14_D14:18;conv-26_session_12_D12:6;conv-26_session_14_D14:28;conv-26_session_14_D14:17;conv-26_session_8_D8:20;conv-26_session_10_D10:15;conv-26_session_14_D14:3;conv-26_session_5_D5:7,1,1,6,6,1,0,0
conv-26_qa_128,conv-26,10,10,conv-26_session_10_D10:15;conv-26_session_15_D15:13;conv-26_session_8_D8:22;conv-26_session_14_D14:23;conv-26_session_7_D7:19;conv-26_session_1_D1:4;conv-26_session_7_D7:21;conv-26_session_14_D14:22;conv-26_session_4_D4:4;conv-26_session_12_D12:9,conv-26_session_10_D10:15;conv-26_session_15_D15:13;conv-26_session_8_D8:22;conv-26_session_14_D14:23;conv-26_session_7_D7:19;conv-26_session_1_D1:4;conv-26_session_7_D7:21;conv-26_session_14_D14:22;conv-26_session_4_D4:4;conv-26_session_12_D12:9,1,1,4,4,1,0,0
conv-26_qa_129,conv-26,10,10,conv-26_session_15_D15:24;conv-26_session_15_D15:23;conv-26_session_3_D3:10;conv-26_session_15_D15:16;conv-26_session_15_D15:19;conv-26_session_18_D18:10;conv-26_session_13_D13:18;conv-26_session_3_D3:6;conv-26_session_12_D12:14;conv-26_session_12_D12:20,conv-26_session_15_D15:24;conv-26_session_15_D15:23;conv-26_session_3_D3:10;conv-26_session_15_D15:16;conv-26_session_15_D15:19;conv-26_session_18_D18:10;conv-26_session_13_D13:18;conv-26_session_3_D3:6;conv-26_session_12_D12:14;conv-26_session_12_D12:20,1,1,2,2,1,0,0
conv-26_qa_13,conv-26,10,10,conv-26_session_1_D1:9;conv-26_session_4_D4:11;conv-26_session_7_D7:7;conv-26_session_12_D12:20;conv-26_session_4_D4:12;conv-26_session_1_D1:10;conv-26_session_1_D1:11;conv-26_session_7_D7:11;conv-26_session_16_D16:13;conv-26_session_7_D7:5,conv-26_session_1_D1:9;conv-26_session_4_D4:11;conv-26_session_7_D7:7;conv-26_session_12_D12:20;conv-26_session_4_D4:12;conv-26_session_1_D1:10;conv-26_session_1_D1:11;conv-26_session_7_D7:11;conv-26_session_16_D16:13;conv-26_session_7_D7:5,1,1,7,7,1,0,0
conv-26_qa_130,conv-26,10,10,conv-26_session_15_D15:28;conv-26_session_8_D8:39;conv-26_session_15_D15:18;conv-26_session_17_D17:22;conv-26_session_15_D15:25;conv-26_session_15_D15:26;conv-26_session_8_D8:34;conv-26_session_13_D13:2;conv-26_session_15_D15:22;conv-26_session_13_D13:15,conv-26_session_15_D15:28;conv-26_session_8_D8:39;conv-26_session_15_D15:18;conv-26_session_17_D17:22;conv-26_session_15_D15:25;conv-26_session_15_D15:26;conv-26_session_8_D8:34;conv-26_session_13_D13:2;conv-26_session_15_D15:22;conv-26_session_13_D13:15,1,1,1,1,1,1,1
conv-26_qa_131,conv-26,10,10,conv-26_session_15_D15:28;conv-26_session_15_D15:18;conv-26_session_15_D15:22;conv-26_session_15_D15:14;conv-26_session_15_D15:24;conv-26_session_15_D15:12;conv-26_session_5_D5:6;conv-26_session_15_D15:25;conv-26_session_12_D12:8;conv-26_session_15_D15:17,conv-26_session_15_D15:28;conv-26_session_15_D15:18;conv-26_session_15_D15:22;conv-26_session_15_D15:14;conv-26_session_15_D15:24;conv-26_session_15_D15:12;conv-26_session_5_D5:6;conv-26_session_15_D15:25;conv-26_session_12_D12:8;conv-26_session_15_D15:17,1,1,1,1,1,1,1
conv-26_qa_132,conv-26,10,10,conv-26_session_16_D16:6;conv-26_session_13_D13:11;conv-26_session_16_D16:8;conv-26_session_11_D11:9;conv-26_session_16_D16:9;conv-26_session_12_D12:8;conv-26_session_16_D16:7;conv-26_session_12_D12:6;conv-26_session_4_D4:1;conv-26_session_1_D1:16,conv-26_session_16_D16:6;conv-26_session_13_D13:11;conv-26_session_16_D16:8;conv-26_session_11_D11:9;conv-26_session_16_D16:9;conv-26_session_12_D12:8;conv-26_session_16_D16:7;conv-26_session_12_D12:6;conv-26_session_4_D4:1;conv-26_session_1_D1:16,1,1,7,7,1,0,0
conv-26_qa_133,conv-26,10,10,conv-26_session_16_D16:17;conv-26_session_16_D16:18;conv-26_session_16_D16:16;conv-26_session_14_D14:3;conv-26_session_15_D15:13;conv-26_session_17_D17:23;conv-26_session_14_D14:22;conv-26_session_7_D7:25;conv-26_session_2_D2:3;conv-26_session_10_D10:15,conv-26_session_16_D16:17;conv-26_session_16_D16:18;conv-26_session_16_D16:16;conv-26_session_14_D14:3;conv-26_session_15_D15:13;conv-26_session_17_D17:23;conv-26_session_14_D14:22;conv-26_session_7_D7:25;conv-26_session_2_D2:3;conv-26_session_10_D10:15,1,1,3,3,1,0,0
conv-26_qa_134,conv-26,10,10,conv-26_session_13_D13:1;conv-26_session_17_D17:1;conv-26_session_2_D2:13;conv-26_session_17_D17:6;conv-26_session_17_D17:22;conv-26_session_17_D17:3;conv-26_session_2_D2:10;conv-26_session_8_D8:28;conv-26_session_9_D9:7;conv-26_session_13_D13:2,conv-26_session_13_D13:1;conv-26_session_17_D17:1;conv-26_session_2_D2:13;conv-26_session_17_D17:6;conv-26_session_17_D17:22;conv-26_session_17_D17:3;conv-26_session_2_D2:10;conv-26_session_8_D8:28;conv-26_session_9_D9:7;conv-26_session_13_D13:2,1,1,99,99,1,0,0
conv-26_qa_135,conv-26,10,10,conv-26_session_14_D14:3;conv-26_session_19_D19:8;conv-26_session_2_D2:3;conv-26_session_9_D9:10;conv-26_session_15_D15:13;conv-26_session_2_D2:1;conv-26_session_14_D14:22;conv-26_session_19_D19:11;conv-26_session_10_D10:15;conv-26_session_15_D15:8,conv-26_session_14_D14:3;conv-26_session_19_D19:8;conv-26_session_2_D2:3;conv-26_session_9_D9:10;conv-26_session_15_D15:13;conv-26_session_2_D2:1;conv-26_session_14_D14:22;conv-26_session_19_D19:11;conv-26_session_10_D10:15;conv-26_session_15_D15:8,1,1,99,99,1,0,0
conv-26_qa_136,conv-26,10,10,conv-26_session_8_D8:2;conv-26_session_17_D17:9;conv-26_session_5_D5:5;conv-26_session_16_D16:8;conv-26_session_5_D5:6;conv-26_session_17_D17:22;conv-26_session_5_D5:10;conv-26_session_8_D8:1;conv-26_session_5_D5:4;conv-26_session_12_D12:3,conv-26_session_8_D8:2;conv-26_session_17_D17:9;conv-26_session_5_D5:5;conv-26_session_16_D16:8;conv-26_session_5_D5:6;conv-26_session_17_D17:22;conv-26_session_5_D5:10;conv-26_session_8_D8:1;conv-26_session_5_D5:4;conv-26_session_12_D12:3,1,1,99,99,1,0,0
conv-26_qa_137,conv-26,10,10,conv-26_session_1_D1:13;conv-26_session_14_D14:30;conv-26_session_14_D14:31;conv-26_session_13_D13:8;conv-26_session_9_D9:14;conv-26_session_14_D14:3;conv-26_session_9_D9:15;conv-26_session_9_D9:13;conv-26_session_16_D16:12;conv-26_session_8_D8:22,conv-26_session_1_D1:13;conv-26_session_14_D14:30;conv-26_session_14_D14:31;conv-26_session_13_D13:8;conv-26_session_9_D9:14;conv-26_session_14_D14:3;conv-26_session_9_D9:15;conv-26_session_9_D9:13;conv-26_session_16_D16:12;conv-26_session_8_D8:22,1,1,99,99,1,0,0
