query_id,ranking_mismatch,score_mismatch,first_mismatch_rank,official_memory_id,rebuilt_memory_id,max_abs_score_diff_for_same_ranked_ids
conv-26_qa_76,0,1,,conv-26_session_4_D4:8,conv-26_session_4_D4:8,0.024191945974037843
conv-26_qa_77,0,1,,conv-26_session_18_D18:1,conv-26_session_18_D18:1,0.036509366369072094
conv-26_qa_78,0,1,,conv-26_session_4_D4:4,conv-26_session_4_D4:4,0.03298046709704705
conv-26_qa_79,0,1,,conv-26_session_19_D19:1,conv-26_session_19_D19:1,0.04221929201497954
conv-26_qa_80,0,1,,conv-26_session_19_D19:2,conv-26_session_19_D19:2,0.03690964119159501
conv-26_qa_81,0,1,,conv-26_session_8_D8:29,conv-26_session_8_D8:29,0.02681885333922862
conv-26_qa_82,0,1,,conv-26_session_2_D2:2,conv-26_session_2_D2:2,0.048209501815649425
conv-26_qa_83,0,1,,conv-26_session_2_D2:1,conv-26_session_2_D2:1,0.038561708417514495
conv-26_qa_84,0,1,,conv-26_session_2_D2:4,conv-26_session_2_D2:4,0.0426096738854449
conv-26_qa_85,0,1,,conv-26_session_2_D2:7,conv-26_session_2_D2:7,0.038783482485770016
conv-26_qa_86,0,1,,conv-26_session_2_D2:12,conv-26_session_2_D2:12,0.03537142297547913
conv-26_qa_87,0,1,,conv-26_session_2_D2:12,conv-26_session_2_D2:12,0.036445271255334255
conv-26_qa_88,0,1,,conv-26_session_2_D2:13,conv-26_session_2_D2:13,0.03979863560569452
conv-26_qa_89,0,1,,conv-26_session_13_D13:1,conv-26_session_13_D13:1,0.022581644311266302
conv-26_qa_90,0,1,,conv-26_session_3_D3:15,conv-26_session_3_D3:15,0.04002238307558015
conv-26_qa_91,0,1,,conv-26_session_4_D4:3,conv-26_session_4_D4:3,0.040138877847095245
conv-26_qa_92,0,1,,conv-26_session_4_D4:3,conv-26_session_4_D4:3,0.047167156418602474
conv-26_qa_93,0,1,,conv-26_session_4_D4:3,conv-26_session_4_D4:3,0.04900819496140141
conv-26_qa_94,0,1,,conv-26_session_4_D4:5,conv-26_session_4_D4:5,0.05477318145153465
conv-26_qa_95,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.03206533127391964
conv-26_qa_96,0,1,,conv-26_session_4_D4:12,conv-26_session_4_D4:12,0.03261083432963252
conv-26_qa_97,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.02507262758296136
conv-26_qa_98,0,1,,conv-26_session_4_D4:13,conv-26_session_4_D4:13,0.04537249874858329
conv-26_qa_99,0,1,,conv-26_session_4_D4:14,conv-26_session_4_D4:14,0.037180436504043346
conv-26_qa_100,0,1,,conv-26_session_19_D19:5,conv-26_session_19_D19:5,0.024285003955883955
conv-26_qa_101,0,1,,conv-26_session_5_D5:7,conv-26_session_5_D5:7,0.044908240429226254
conv-26_qa_102,0,1,,conv-26_session_6_D6:8,conv-26_session_6_D6:8,0.04284819229160686
conv-26_qa_103,0,1,,conv-26_session_6_D6:9,conv-26_session_6_D6:9,0.04840990037305826
conv-26_qa_104,0,1,,conv-26_session_7_D7:10,conv-26_session_7_D7:10,0.027226526766080283
conv-26_qa_105,0,1,,conv-26_session_7_D7:11,conv-26_session_7_D7:11,0.0308867869537357
conv-26_qa_106,0,1,,conv-26_session_7_D7:18,conv-26_session_7_D7:18,0.04440467335653242
conv-26_qa_107,0,1,,conv-26_session_7_D7:21,conv-26_session_7_D7:21,0.03524044010210359
conv-26_qa_108,0,1,,conv-26_session_7_D7:22,conv-26_session_7_D7:22,0.029634700298551753
conv-26_qa_109,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.037751778800738656
conv-26_qa_110,0,1,,conv-26_session_8_D8:4,conv-26_session_8_D8:4,0.03575107677973044
conv-26_qa_111,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.026559062821081003
conv-26_qa_112,0,1,,conv-26_session_8_D8:6,conv-26_session_8_D8:6,0.023176528267032648
conv-26_qa_113,0,1,,conv-26_session_8_D8:9,conv-26_session_8_D8:9,0.045551361132379675
conv-26_qa_114,0,1,,conv-26_session_8_D8:11,conv-26_session_8_D8:11,0.04437200843542488
conv-26_qa_115,0,1,,conv-26_session_8_D8:12,conv-26_session_8_D8:12,0.04728644342384403
conv-26_qa_116,0,1,,conv-26_session_9_D9:14,conv-26_session_9_D9:14,0.03583162065750756
conv-26_qa_117,0,1,,conv-26_session_10_D10:10,conv-26_session_10_D10:10,0.039819345805087725
conv-26_qa_118,0,1,,conv-26_session_10_D10:12,conv-26_session_10_D10:12,0.033251451077704
conv-26_qa_119,0,1,,conv-26_session_10_D10:16,conv-26_session_10_D10:16,0.04048486742632118
conv-26_qa_120,0,1,,conv-26_session_11_D11:1,conv-26_session_11_D11:1,0.04509368225906396
conv-26_qa_121,0,1,,conv-26_session_11_D11:1,conv-26_session_11_D11:1,0.0549096485275653
conv-26_qa_122,0,1,,conv-26_session_12_D12:5,conv-26_session_12_D12:5,0.02369475671259247
conv-26_qa_123,0,1,,conv-26_session_7_D7:15,conv-26_session_7_D7:15,0.049610597420206126
conv-26_qa_124,0,1,,conv-26_session_7_D7:16,conv-26_session_7_D7:16,0.025086293257083447
conv-26_qa_125,0,1,,conv-26_session_13_D13:6,conv-26_session_13_D13:6,0.04831938532871671
conv-26_qa_126,0,1,,conv-26_session_13_D13:7,conv-26_session_13_D13:7,0.04096040536086232
conv-26_qa_127,0,1,,conv-26_session_14_D14:19,conv-26_session_14_D14:19,0.051379139819155206
conv-26_qa_128,0,1,,conv-26_session_10_D10:15,conv-26_session_10_D10:15,0.027035957493269702
conv-26_qa_129,0,1,,conv-26_session_15_D15:23,conv-26_session_15_D15:23,0.043294167313590926
conv-26_qa_130,0,1,,conv-26_session_15_D15:28,conv-26_session_15_D15:28,0.04080015072228349
conv-26_qa_131,0,1,,conv-26_session_15_D15:28,conv-26_session_15_D15:28,0.05084407709496297
conv-26_qa_132,0,1,,conv-26_session_16_D16:6,conv-26_session_16_D16:6,0.03716551683178748
conv-26_qa_133,0,1,,conv-26_session_16_D16:17,conv-26_session_16_D16:17,0.03776497891475161
conv-26_qa_134,0,1,,conv-26_session_13_D13:1,conv-26_session_13_D13:1,0.02252099683724973
conv-26_qa_135,0,1,,conv-26_session_17_D17:8,conv-26_session_17_D17:8,0.01250090425926409
conv-26_qa_136,0,1,,conv-26_session_8_D8:2,conv-26_session_8_D8:2,0.027935001190626974
conv-26_qa_137,0,1,,conv-26_session_14_D14:31,conv-26_session_14_D14:31,0.014125140335160546
conv-26_qa_138,0,1,,conv-26_session_9_D9:15,conv-26_session_9_D9:15,0.012636014713869326
conv-26_qa_139,0,1,,conv-26_session_17_D17:19,conv-26_session_17_D17:19,0.05155982831594397
conv-26_qa_140,0,1,,conv-26_session_17_D17:17,conv-26_session_17_D17:17,0.033476392108636954
conv-26_qa_141,0,1,,conv-26_session_17_D17:22,conv-26_session_17_D17:22,0.03947057450232183
conv-26_qa_142,0,1,,conv-26_session_3_D3:8,conv-26_session_3_D3:8,0.029157460901881205
conv-26_qa_143,0,1,,conv-26_session_18_D18:1,conv-26_session_18_D18:1,0.03746478790985641
conv-26_qa_144,0,1,,conv-26_session_18_D18:6,conv-26_session_18_D18:6,0.03336709924745174
conv-26_qa_145,0,1,,conv-26_session_18_D18:5,conv-26_session_18_D18:5,0.029766368695742784
conv-26_qa_146,0,1,,conv-26_session_18_D18:6,conv-26_session_18_D18:6,0.04214885995068318
conv-26_qa_147,0,1,,conv-26_session_8_D8:20,conv-26_session_8_D8:20,0.028699703335114624
conv-26_qa_148,0,1,,conv-26_session_18_D18:5,conv-26_session_18_D18:5,0.054811750721784236
conv-26_qa_149,0,1,,conv-26_session_8_D8:29,conv-26_session_8_D8:29,0.027127598588752466
conv-26_qa_150,0,1,,conv-26_session_3_D3:22,conv-26_session_3_D3:22,0.019394805954448646
conv-26_qa_151,0,1,,conv-26_session_18_D18:17,conv-26_session_18_D18:17,0.047207019079389845
conv-30_qa_0,0,1,,conv-30_session_1_D1:2,conv-30_session_1_D1:2,0.03773075973549567
conv-30_qa_1,0,1,,conv-30_session_1_D1:3,conv-30_session_1_D1:3,0.041079271157056674
conv-30_qa_2,0,1,,conv-30_session_10_D10:4,conv-30_session_10_D10:4,0.01550639770576745
conv-30_qa_3,0,1,,conv-30_session_13_D13:1,conv-30_session_13_D13:1,0.016380774760228478
conv-30_qa_4,0,1,,conv-30_session_1_D1:6,conv-30_session_1_D1:6,0.042930028218767013
conv-30_qa_5,0,1,,conv-30_session_1_D1:20,conv-30_session_1_D1:20,0.02785348103002372
conv-30_qa_6,0,1,,conv-30_session_1_D1:26,conv-30_session_1_D1:26,0.05329210591043321
conv-30_qa_7,0,1,,conv-30_session_2_D2:1,conv-30_session_2_D2:1,0.04772988483360496
conv-30_qa_8,0,1,,conv-30_session_2_D2:5,conv-30_session_2_D2:5,0.048495366830660025
conv-30_qa_9,0,1,,conv-30_session_2_D2:5,conv-30_session_2_D2:5,0.030395309192249975
conv-30_qa_10,0,1,,conv-30_session_5_D5:7,conv-30_session_5_D5:7,0.026012467081098833
conv-30_qa_11,0,1,,conv-30_session_5_D5:15,conv-30_session_5_D5:15,0.03439551283995801
conv-30_qa_12,0,1,,conv-30_session_6_D6:1,conv-30_session_6_D6:1,0.03230461538317053
conv-30_qa_13,0,1,,conv-30_session_7_D7:2,conv-30_session_7_D7:2,0.03032876245613636
conv-30_qa_14,0,1,,conv-30_session_8_D8:13,conv-30_session_8_D8:13,0.03285663667162364
conv-30_qa_15,0,1,,conv-30_session_8_D8:13,conv-30_session_8_D8:13,0.03019093462268474
conv-30_qa_16,0,1,,conv-30_session_13_D13:3,conv-30_session_13_D13:3,0.023296306340187645
conv-30_qa_17,0,1,,conv-30_session_14_D14:8,conv-30_session_14_D14:8,0.02352850960836106
conv-30_qa_18,0,1,,conv-30_session_14_D14:8,conv-30_session_14_D14:8,0.017476533900773195
conv-30_qa_19,0,1,,conv-30_session_11_D11:14,conv-30_session_11_D11:14,0.042062657856761554
conv-30_qa_20,0,1,,conv-30_session_12_D12:1,conv-30_session_12_D12:1,0.03619976803646274
conv-30_qa_21,0,1,,conv-30_session_12_D12:6,conv-30_session_12_D12:6,0.058373057570118014
conv-30_qa_22,0,1,,conv-30_session_13_D13:4,conv-30_session_13_D13:4,0.05051738501386627
conv-30_qa_23,0,1,,conv-30_session_6_D6:6,conv-30_session_6_D6:6,0.029028240756463486
conv-30_qa_24,0,1,,conv-30_session_16_D16:6,conv-30_session_16_D16:6,0.026421267299342688
conv-30_qa_25,0,1,,conv-30_session_13_D13:3,conv-30_session_13_D13:3,0.016803082083790333
conv-30_qa_26,0,1,,conv-30_session_14_D14:1,conv-30_session_14_D14:1,0.01607264529834085
conv-30_qa_27,0,1,,conv-30_session_1_D1:17,conv-30_session_1_D1:17,0.017219171454489146
conv-30_qa_28,0,1,,conv-30_session_15_D15:1,conv-30_session_15_D15:1,0.04520872280288568
conv-30_qa_29,0,1,,conv-30_session_2_D2:5,conv-30_session_2_D2:5,0.016914979588769086
conv-30_qa_30,0,1,,conv-30_session_13_D13:3,conv-30_session_13_D13:3,0.020699845815070894
conv-30_qa_31,0,1,,conv-30_session_15_D15:4,conv-30_session_15_D15:4,0.013214973693226328
conv-30_qa_32,0,1,,conv-30_session_16_D16:3,conv-30_session_16_D16:3,0.04758001363768738
conv-30_qa_33,0,1,,conv-30_session_16_D16:7,conv-30_session_16_D16:7,0.038483303530996604
conv-30_qa_34,0,1,,conv-30_session_17_D17:2,conv-30_session_17_D17:2,0.02561183560200897
conv-30_qa_35,0,1,,conv-30_session_17_D17:4,conv-30_session_17_D17:4,0.04416792402829195
conv-30_qa_36,0,1,,conv-30_session_11_D11:11,conv-30_session_11_D11:11,0.025784523486250155
conv-30_qa_37,0,1,,conv-30_session_19_D19:4,conv-30_session_19_D19:4,0.06363334206177562
conv-30_qa_38,0,1,,conv-30_session_15_D15:16,conv-30_session_15_D15:16,0.025345999848837675
conv-30_qa_39,0,1,,conv-30_session_1_D1:8,conv-30_session_1_D1:8,0.02608446073823778
conv-30_qa_40,0,1,,conv-30_session_1_D1:8,conv-30_session_1_D1:8,0.031233728217874734
conv-30_qa_41,0,1,,conv-30_session_1_D1:17,conv-30_session_1_D1:17,0.01832676103636177
conv-30_qa_42,0,1,,conv-30_session_1_D1:17,conv-30_session_1_D1:17,0.03720375802772846
conv-30_qa_43,0,1,,conv-30_session_1_D1:24,conv-30_session_1_D1:24,0.018041016972461854
conv-30_qa_44,0,1,,conv-30_session_14_D14:16,conv-30_session_14_D14:16,0.01939392043511412
conv-30_qa_45,0,1,,conv-30_session_9_D9:7,conv-30_session_9_D9:7,0.012449914480265667
conv-30_qa_46,0,1,,conv-30_session_2_D2:8,conv-30_session_2_D2:8,0.03852806572373213
conv-30_qa_47,0,1,,conv-30_session_2_D2:1,conv-30_session_2_D2:1,0.018425463516157148
conv-30_qa_48,0,1,,conv-30_session_3_D3:4,conv-30_session_3_D3:4,0.019168872910502177
conv-30_qa_49,0,1,,conv-30_session_3_D3:8,conv-30_session_3_D3:8,0.03199587959266159
conv-30_qa_50,0,1,,conv-30_session_4_D4:2,conv-30_session_4_D4:2,0.01782332227184935
conv-30_qa_51,0,1,,conv-30_session_3_D3:6,conv-30_session_3_D3:6,0.04509123286127359
conv-30_qa_52,0,1,,conv-30_session_3_D3:9,conv-30_session_3_D3:9,0.05263507879807161
conv-30_qa_53,0,1,,conv-30_session_3_D3:8,conv-30_session_3_D3:8,0.04232755631030294
conv-30_qa_54,0,1,,conv-30_session_4_D4:2,conv-30_session_4_D4:2,0.03547781162413122
conv-30_qa_55,0,1,,conv-30_session_5_D5:15,conv-30_session_5_D5:15,0.04526647601484868
conv-30_qa_56,0,1,,conv-30_session_11_D11:8,conv-30_session_11_D11:8,0.015257391291332079
conv-30_qa_57,0,1,,conv-30_session_4_D4:3,conv-30_session_4_D4:3,0.01927634069227846
conv-30_qa_58,0,1,,conv-30_session_8_D8:1,conv-30_session_8_D8:1,0.06225358900896083
conv-30_qa_59,0,1,,conv-30_session_8_D8:7,conv-30_session_8_D8:7,0.03477043297046345
conv-30_qa_60,0,1,,conv-30_session_11_D11:8,conv-30_session_11_D11:8,0.014043266337594229
conv-30_qa_61,0,1,,conv-30_session_9_D9:10,conv-30_session_9_D9:10,0.038431341083437154
conv-30_qa_62,0,1,,conv-30_session_10_D10:8,conv-30_session_10_D10:8,0.028999870343308753
conv-30_qa_63,0,1,,conv-30_session_12_D12:1,conv-30_session_12_D12:1,0.024422056862758446
conv-30_qa_64,0,1,,conv-30_session_12_D12:2,conv-30_session_12_D12:2,0.04251659901901306
conv-30_qa_65,0,1,,conv-30_session_12_D12:6,conv-30_session_12_D12:6,0.05724925369527245
conv-30_qa_66,0,1,,conv-30_session_13_D13:7,conv-30_session_13_D13:7,0.027477782757421743
conv-30_qa_67,0,1,,conv-30_session_13_D13:13,conv-30_session_13_D13:13,0.031274182749441604
conv-30_qa_68,0,1,,conv-30_session_17_D17:14,conv-30_session_17_D17:14,0.02427739774880555
conv-30_qa_69,0,1,,conv-30_session_15_D15:1,conv-30_session_15_D15:1,0.04125072899688753
conv-30_qa_70,0,1,,conv-30_session_15_D15:5,conv-30_session_15_D15:5,0.034490933259528234
conv-30_qa_71,0,1,,conv-30_session_15_D15:4,conv-30_session_15_D15:4,0.016659981087003395
conv-30_qa_72,0,1,,conv-30_session_15_D15:5,conv-30_session_15_D15:5,0.019839215565126578
conv-30_qa_73,0,1,,conv-30_session_15_D15:8,conv-30_session_15_D15:8,0.0194737295188534
conv-30_qa_74,0,1,,conv-30_session_13_D13:3,conv-30_session_13_D13:3,0.0216283619041735
conv-30_qa_75,0,1,,conv-30_session_15_D15:18,conv-30_session_15_D15:18,0.028803267928745768
conv-30_qa_76,0,1,,conv-30_session_15_D15:18,conv-30_session_15_D15:18,0.043424601754882275
conv-30_qa_77,0,1,,conv-30_session_16_D16:3,conv-30_session_16_D16:3,0.05030998488576266
conv-30_qa_78,0,1,,conv-30_session_17_D17:7,conv-30_session_17_D17:7,0.036475133165837725
conv-30_qa_80,0,1,,conv-30_session_18_D18:6,conv-30_session_18_D18:6,0.030338467920617784
conv-30_qa_81,0,1,,conv-30_session_14_D14:5,conv-30_session_14_D14:5,0.03260998140370086
conv-41_qa_0,0,1,,conv-41_session_13_D13:16,conv-41_session_13_D13:16,0.020343229415060282
conv-41_qa_1,0,1,,conv-41_session_2_D2:1,conv-41_session_2_D2:1,0.048143562641381976
conv-41_qa_2,0,1,,conv-41_session_25_D25:10,conv-41_session_25_D25:10,0.03728466510809758
conv-41_qa_3,0,1,,conv-41_session_7_D7:3,conv-41_session_7_D7:3,0.012308721216244711
conv-41_qa_4,0,1,,conv-41_session_3_D3:1,conv-41_session_3_D3:1,0.04113617647669532
conv-41_qa_5,0,1,,conv-41_session_3_D3:14,conv-41_session_3_D3:14,0.025718449584090308
conv-41_qa_6,0,1,,conv-41_session_2_D2:17,conv-41_session_2_D2:17,0.02794196896346346
conv-41_qa_7,0,1,,conv-41_session_5_D5:5,conv-41_session_5_D5:5,0.023743829935190863
conv-41_qa_8,0,1,,conv-41_session_21_D21:6,conv-41_session_21_D21:6,0.013692981751465938
conv-41_qa_9,0,1,,conv-41_session_6_D6:9,conv-41_session_6_D6:9,0.031783080949232545
conv-41_qa_10,0,1,,conv-41_session_7_D7:5,conv-41_session_7_D7:5,0.03648846011129914
conv-41_qa_11,0,1,,conv-41_session_20_D20:9,conv-41_session_20_D20:9,0.014673189784037755
conv-41_qa_12,0,1,,conv-41_session_8_D8:18,conv-41_session_8_D8:18,0.03272970566885114
conv-41_qa_13,0,1,,conv-41_session_8_D8:1,conv-41_session_8_D8:1,0.045406885373054706
conv-41_qa_14,0,1,,conv-41_session_3_D3:4,conv-41_session_3_D3:4,0.021716407204657617
conv-41_qa_15,0,1,,conv-41_session_25_D25:16,conv-41_session_25_D25:16,0.04089699779096545
conv-41_qa_16,0,1,,conv-41_session_9_D9:3,conv-41_session_9_D9:3,0.03773931930848562
conv-41_qa_17,0,1,,conv-41_session_9_D9:6,conv-41_session_9_D9:6,0.04317219502217462
conv-41_qa_18,0,1,,conv-41_session_25_D25:11,conv-41_session_25_D25:11,0.027100680983776826
conv-41_qa_19,0,1,,conv-41_session_11_D11:1,conv-41_session_11_D11:1,0.024822861108571903
conv-41_qa_20,0,1,,conv-41_session_11_D11:5,conv-41_session_11_D11:5,0.03907093488479907
conv-41_qa_21,0,1,,conv-41_session_12_D12:17,conv-41_session_12_D12:17,0.04737639788077708
conv-41_qa_22,0,1,,conv-41_session_12_D12:9,conv-41_session_12_D12:9,0.05058288582257653
conv-41_qa_23,0,1,,conv-41_session_13_D13:18,conv-41_session_13_D13:18,0.053759965189630776
conv-41_qa_24,0,1,,conv-41_session_13_D13:3,conv-41_session_13_D13:3,0.05020431594154218
conv-41_qa_25,0,1,,conv-41_session_13_D13:24,conv-41_session_13_D13:24,0.018077157381817033
conv-41_qa_26,0,1,,conv-41_session_14_D14:10,conv-41_session_14_D14:10,0.04558648976529245
conv-41_qa_27,0,1,,conv-41_session_15_D15:13,conv-41_session_15_D15:13,0.04528145482526291
conv-41_qa_28,0,1,,conv-41_session_6_D6:4,conv-41_session_6_D6:4,0.016945784524915464
conv-41_qa_29,0,1,,conv-41_session_15_D15:18,conv-41_session_15_D15:18,0.01985380027743333
conv-41_qa_30,0,1,,conv-41_session_25_D25:8,conv-41_session_25_D25:8,0.030242980187018098
conv-41_qa_31,0,1,,conv-41_session_31_D31:3,conv-41_session_31_D31:3,0.02310369111729349
conv-41_qa_32,0,1,,conv-41_session_31_D31:19,conv-41_session_31_D31:19,0.03078821719175684
