variant,query_id,category,category_label,gold_count,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Raw,conv-26_qa_33,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_34,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_35,2,Temporal,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-26_qa_36,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_37,1,Multi-Hop,2,0.5,0.0,1.0,1.0,0.5,0.38685280723454163
Raw,conv-26_qa_38,1,Multi-Hop,6,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_39,1,Multi-Hop,4,0.25,0.0,1.0,1.0,0.75,0.44229834886928765
Raw,conv-26_qa_40,1,Multi-Hop,2,0.5,0.0,1.0,1.0,1.0,0.6509209298071326
Raw,conv-26_qa_41,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_42,3,Open-Domain,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_43,1,Multi-Hop,3,0.16666666666666666,0.0,0.0,1.0,0.3333333333333333,0.16716045496620227
Raw,conv-26_qa_44,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_45,2,Temporal,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_47,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_48,1,Multi-Hop,3,0.25,0.0,1.0,1.0,0.3333333333333333,0.20210734650054757
Raw,conv-26_qa_49,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_50,3,Open-Domain,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_51,1,Multi-Hop,3,0.1,0.0,0.0,1.0,0.3333333333333333,0.13565197343244778
Raw,conv-26_qa_52,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,1.0,0.5109559939712153
Raw,conv-26_qa_53,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_54,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_55,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_56,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
Raw,conv-26_qa_57,2,Temporal,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_58,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_59,3,Open-Domain,2,1.0,1.0,1.0,1.0,0.5,0.6131471927654584
Raw,conv-26_qa_60,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_61,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_62,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_63,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_64,3,Open-Domain,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_65,1,Multi-Hop,2,0.2,0.0,1.0,1.0,1.0,0.41443699955334395
Raw,conv-26_qa_66,1,Multi-Hop,2,0.5,0.0,1.0,1.0,0.5,0.38685280723454163
Raw,conv-26_qa_67,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_68,2,Temporal,1,0.25,0.0,1.0,1.0,1.0,0.43067655807339306
Raw,conv-26_qa_69,3,Open-Domain,3,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_70,1,Multi-Hop,2,1.0,1.0,1.0,1.0,0.5,0.6131471927654584
Raw,conv-26_qa_71,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
Raw,conv-26_qa_72,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_73,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_74,2,Temporal,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_75,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_76,1,Multi-Hop,1,0.25,0.0,1.0,1.0,1.0,0.43067655807339306
Raw,conv-26_qa_77,3,Open-Domain,2,1.0,1.0,1.0,1.0,0.5,0.6131471927654584
Raw,conv-26_qa_78,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
Raw,conv-26_qa_79,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_80,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_81,3,Open-Domain,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_82,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_83,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_84,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_85,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_86,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_87,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_88,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_89,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_90,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_91,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_92,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_93,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_94,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_95,4,Single-Hop,1,0.2,0.0,1.0,1.0,1.0,0.38685280723454163
Raw,conv-26_qa_96,4,Single-Hop,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-26_qa_97,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_98,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_99,4,Single-Hop,1,0.14285714285714285,0.0,0.0,1.0,1.0,0.3333333333333333
Raw,conv-26_qa_100,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_101,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_102,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_103,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_104,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_105,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_106,4,Single-Hop,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-26_qa_107,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_108,4,Single-Hop,1,0.1,0.0,0.0,1.0,1.0,0.2890648263178879
Raw,conv-26_qa_109,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_110,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_111,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_112,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_113,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_114,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_115,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_116,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_117,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_118,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_119,4,Single-Hop,1,0.25,0.0,1.0,1.0,1.0,0.43067655807339306
Raw,conv-26_qa_120,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_121,4,Single-Hop,1,0.1,0.0,0.0,1.0,1.0,0.2890648263178879
Raw,conv-26_qa_122,4,Single-Hop,1,0.25,0.0,1.0,1.0,1.0,0.43067655807339306
Raw,conv-26_qa_123,4,Single-Hop,1,0.16666666666666666,0.0,0.0,1.0,1.0,0.3562071871080222
Raw,conv-26_qa_124,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_125,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_126,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_127,4,Single-Hop,1,0.14285714285714285,0.0,0.0,1.0,1.0,0.3333333333333333
Raw,conv-26_qa_128,4,Single-Hop,1,0.16666666666666666,0.0,0.0,1.0,1.0,0.3562071871080222
Raw,conv-26_qa_129,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_130,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_131,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_132,4,Single-Hop,1,0.2,0.0,1.0,1.0,1.0,0.38685280723454163
Raw,conv-26_qa_133,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_134,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_135,4,Single-Hop,1,0.16666666666666666,0.0,0.0,1.0,1.0,0.3562071871080222
Raw,conv-26_qa_136,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_137,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_138,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_139,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_140,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_141,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_142,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_143,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-26_qa_144,4,Single-Hop,2,1.0,1.0,1.0,1.0,1.0,0.8315546295836225
Raw,conv-26_qa_145,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_146,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-26_qa_147,4,Single-Hop,1,0.16666666666666666,0.0,0.0,1.0,1.0,0.3562071871080222
Raw,conv-26_qa_148,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-26_qa_149,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_150,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-26_qa_151,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_0,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_1,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_2,4,Single-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_3,1,Multi-Hop,4,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_4,4,Single-Hop,2,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
Raw,conv-30_qa_5,1,Multi-Hop,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.7039180890341347
Raw,conv-30_qa_6,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_7,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_8,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_9,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,0.8175295903539445
Raw,conv-30_qa_10,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_11,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_12,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_13,2,Temporal,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-30_qa_14,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_15,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_16,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_17,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_18,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_19,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_20,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_21,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_22,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_23,1,Multi-Hop,4,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_24,1,Multi-Hop,3,0.5,0.0,1.0,1.0,0.3333333333333333,0.2960819109658652
Raw,conv-30_qa_25,1,Multi-Hop,2,0.2,0.0,1.0,1.0,1.0,0.4415801103577823
Raw,conv-30_qa_26,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_27,1,Multi-Hop,5,1.0,1.0,1.0,1.0,0.2,0.3391602052736161
Raw,conv-30_qa_28,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_29,1,Multi-Hop,2,0.2,0.0,1.0,1.0,0.5,0.23719771276929622
Raw,conv-30_qa_30,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_31,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_32,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_33,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_34,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_35,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_36,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_37,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_38,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_39,4,Single-Hop,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-30_qa_40,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_41,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_42,4,Single-Hop,1,0.16666666666666666,0.0,0.0,1.0,1.0,0.3562071871080222
Raw,conv-30_qa_43,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_44,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_45,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_46,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_47,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_48,4,Single-Hop,1,0.14285714285714285,0.0,0.0,1.0,1.0,0.3333333333333333
Raw,conv-30_qa_49,4,Single-Hop,2,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_50,4,Single-Hop,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-30_qa_51,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_52,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_53,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_54,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_55,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_56,4,Single-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_57,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_58,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_59,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_60,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_61,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_62,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_63,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_64,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-30_qa_65,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_66,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_67,4,Single-Hop,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-30_qa_68,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_69,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_70,4,Single-Hop,1,0.3333333333333333,0.0,1.0,1.0,1.0,0.5
Raw,conv-30_qa_71,4,Single-Hop,1,0.1111111111111111,0.0,0.0,1.0,1.0,0.3010299956639812
Raw,conv-30_qa_72,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_73,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_74,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_75,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-30_qa_76,4,Single-Hop,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
Raw,conv-30_qa_77,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_78,4,Single-Hop,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-30_qa_80,4,Single-Hop,1,0.1,0.0,0.0,1.0,1.0,0.2890648263178879
Raw,conv-30_qa_81,4,Single-Hop,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_0,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_1,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_2,1,Multi-Hop,2,0.25,0.0,1.0,1.0,1.0,0.46845052016107697
Raw,conv-41_qa_3,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_4,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_5,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_6,1,Multi-Hop,4,0.16666666666666666,0.0,0.0,1.0,0.25,0.13905617951077562
Raw,conv-41_qa_7,1,Multi-Hop,2,0.16666666666666666,0.0,0.0,1.0,0.5,0.21840743681816419
Raw,conv-41_qa_8,3,Open-Domain,1,0.2,0.0,1.0,1.0,1.0,0.38685280723454163
Raw,conv-41_qa_9,1,Multi-Hop,2,1.0,1.0,1.0,1.0,0.5,0.6131471927654584
Raw,conv-41_qa_10,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_11,1,Multi-Hop,4,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_12,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_13,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_14,3,Open-Domain,2,0.1111111111111111,0.0,0.0,1.0,0.5,0.18457569677956817
Raw,conv-41_qa_15,1,Multi-Hop,2,0.5,0.0,1.0,1.0,1.0,0.6509209298071326
Raw,conv-41_qa_16,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_17,3,Open-Domain,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_18,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,1.0,0.5249810332008933
Raw,conv-41_qa_19,1,Multi-Hop,2,0.5,0.0,1.0,1.0,0.5,0.38685280723454163
Raw,conv-41_qa_20,2,Temporal,2,1.0,1.0,1.0,1.0,1.0,0.8315546295836225
Raw,conv-41_qa_21,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
Raw,conv-41_qa_22,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_23,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_24,2,Temporal,1,0.5,0.0,1.0,1.0,1.0,0.6309297535714575
Raw,conv-41_qa_25,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,0.8503449055347546
Raw,conv-41_qa_26,1,Multi-Hop,2,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_27,2,Temporal,1,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_28,1,Multi-Hop,4,0.3333333333333333,0.0,1.0,1.0,0.5,0.312706129752478
Raw,conv-41_qa_29,1,Multi-Hop,2,1.0,1.0,1.0,1.0,0.5,0.6131471927654584
Raw,conv-41_qa_30,1,Multi-Hop,3,0.25,0.0,1.0,1.0,0.3333333333333333,0.20210734650054757
Raw,conv-41_qa_31,2,Temporal,1,0.25,0.0,1.0,1.0,1.0,0.43067655807339306
Raw,conv-41_qa_32,1,Multi-Hop,2,0.0,0.0,0.0,0.0,0.0,0.0
Raw,conv-41_qa_33,1,Multi-Hop,3,0.3333333333333333,0.0,1.0,1.0,1.0,0.5642221110316635
Raw,conv-41_qa_34,2,Temporal,1,1.0,1.0,1.0,1.0,1.0,1.0
Raw,conv-41_qa_35,1,Multi-Hop,2,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292
Raw,conv-41_qa_36,1,Multi-Hop,2,0.5,0.0,1.0,1.0,1.0,0.6052602440527057
