qa_id,category,cell,scope_id,gold_memory_id,projection_ok,candidate_count,candidate_parity,commit_ms,rawerk_ms,sparse_index_ms,dense_index_ms,backend_fetch_ms,fusion_ms,time_to_top10_ms,fresh_hit_at_10,gold_rank,top10_ids
conv-26_qa_4,1,cassandra-materialized,conv-26,conv-26_session_1_D1:5,1,419,1,32.0792,37.723,71.5212,78.267,9.0684,2.4729,,0,,"[""conv-26_session_11_D11:12"", ""conv-26_session_13_D13:13"", ""conv-26_session_11_D11:10"", ""conv-26_session_15_D15:15"", ""conv-26_session_16_D16:13"", ""conv-26_session_10_D10:15"", ""conv-26_session_16_D16:9"", ""conv-26_session_19_D19:7"", ""conv-26_session_4_D4:2"", ""conv-26_session_17_D17:22""]"
conv-26_qa_4,1,neo4j-native,conv-26,conv-26_session_1_D1:5,1,419,1,3.3615,17.5066,69.206,76.6592,25.8146,1.2692,,0,,"[""conv-26_session_11_D11:12"", ""conv-26_session_13_D13:13"", ""conv-26_session_11_D11:10"", ""conv-26_session_15_D15:15"", ""conv-26_session_16_D16:13"", ""conv-26_session_10_D10:15"", ""conv-26_session_16_D16:9"", ""conv-26_session_19_D19:7"", ""conv-26_session_4_D4:2"", ""conv-26_session_17_D17:22""]"
conv-26_qa_4,1,neo4j-materialized,conv-26,conv-26_session_1_D1:5,1,419,1,3.3284,4.3687,63.0678,76.6693,30.9518,1.1321,,0,,"[""conv-26_session_11_D11:12"", ""conv-26_session_13_D13:13"", ""conv-26_session_11_D11:10"", ""conv-26_session_15_D15:15"", ""conv-26_session_16_D16:13"", ""conv-26_session_10_D10:15"", ""conv-26_session_16_D16:9"", ""conv-26_session_19_D19:7"", ""conv-26_session_4_D4:2"", ""conv-26_session_17_D17:22""]"
conv-26_qa_5,2,cassandra-base,conv-26,conv-26_session_2_D2:1,1,419,1,1.8569,35.2002,69.8366,75.4999,4.352,3.1122,82.9641,1,1,"[""conv-26_session_2_D2:1"", ""conv-26_session_2_D2:2"", ""conv-26_session_7_D7:24"", ""conv-26_session_10_D10:6"", ""conv-26_session_14_D14:11"", ""conv-26_session_2_D2:3"", ""conv-26_session_19_D19:11"", ""conv-26_session_4_D4:16"", ""conv-26_session_4_D4:15"", ""conv-26_session_19_D19:6""]"
conv-26_qa_5,2,cassandra-materialized,conv-26,conv-26_session_2_D2:1,1,419,1,2.5529,4.4605,69.4955,76.1074,4.9632,1.5434,82.614,1,1,"[""conv-26_session_2_D2:1"", ""conv-26_session_2_D2:2"", ""conv-26_session_7_D7:24"", ""conv-26_session_10_D10:6"", ""conv-26_session_14_D14:11"", ""conv-26_session_2_D2:3"", ""conv-26_session_19_D19:11"", ""conv-26_session_4_D4:16"", ""conv-26_session_4_D4:15"", ""conv-26_session_19_D19:6""]"
conv-26_qa_5,2,neo4j-native,conv-26,conv-26_session_2_D2:1,1,419,1,16.6709,24.3436,70.129,76.2553,27.1535,1.2902,104.699,1,1,"[""conv-26_session_2_D2:1"", ""conv-26_session_2_D2:2"", ""conv-26_session_7_D7:24"", ""conv-26_session_10_D10:6"", ""conv-26_session_14_D14:11"", ""conv-26_session_2_D2:3"", ""conv-26_session_19_D19:11"", ""conv-26_session_4_D4:16"", ""conv-26_session_4_D4:15"", ""conv-26_session_19_D19:6""]"
conv-26_qa_5,2,neo4j-materialized,conv-26,conv-26_session_2_D2:1,1,419,1,17.9727,54.1825,71.4244,77.5286,30.2548,1.0793,108.8627,1,1,"[""conv-26_session_2_D2:1"", ""conv-26_session_2_D2:2"", ""conv-26_session_7_D7:24"", ""conv-26_session_10_D10:6"", ""conv-26_session_14_D14:11"", ""conv-26_session_2_D2:3"", ""conv-26_session_19_D19:11"", ""conv-26_session_4_D4:16"", ""conv-26_session_4_D4:15"", ""conv-26_session_19_D19:6""]"
conv-26_qa_6,2,cassandra-base,conv-26,conv-26_session_2_D2:7,1,419,1,15.1099,54.5564,71.7431,75.9751,7.7375,2.9192,86.6318,1,1,"[""conv-26_session_2_D2:7"", ""conv-26_session_10_D10:12"", ""conv-26_session_18_D18:19"", ""conv-26_session_9_D9:1"", ""conv-26_session_6_D6:16"", ""conv-26_session_10_D10:14"", ""conv-26_session_4_D4:6"", ""conv-26_session_8_D8:32"", ""conv-26_session_10_D10:13"", ""conv-26_session_14_D14:32""]"
conv-26_qa_6,2,cassandra-materialized,conv-26,conv-26_session_2_D2:7,1,419,1,14.5877,31.7133,51.8842,74.7827,8.7888,1.7664,85.3379,1,1,"[""conv-26_session_2_D2:7"", ""conv-26_session_10_D10:12"", ""conv-26_session_18_D18:19"", ""conv-26_session_9_D9:1"", ""conv-26_session_6_D6:16"", ""conv-26_session_10_D10:14"", ""conv-26_session_4_D4:6"", ""conv-26_session_8_D8:32"", ""conv-26_session_10_D10:13"", ""conv-26_session_14_D14:32""]"
conv-26_qa_6,2,neo4j-native,conv-26,conv-26_session_2_D2:7,1,419,1,4.2933,5.4957,51.665,74.9175,30.2144,1.1824,106.3143,1,1,"[""conv-26_session_2_D2:7"", ""conv-26_session_10_D10:12"", ""conv-26_session_18_D18:19"", ""conv-26_session_9_D9:1"", ""conv-26_session_6_D6:16"", ""conv-26_session_10_D10:14"", ""conv-26_session_4_D4:6"", ""conv-26_session_8_D8:32"", ""conv-26_session_10_D10:13"", ""conv-26_session_14_D14:32""]"
conv-26_qa_6,2,neo4j-materialized,conv-26,conv-26_session_2_D2:7,1,419,1,5.258,19.3205,52.7178,75.8035,31.8309,1.0868,108.7212,1,1,"[""conv-26_session_2_D2:7"", ""conv-26_session_10_D10:12"", ""conv-26_session_18_D18:19"", ""conv-26_session_9_D9:1"", ""conv-26_session_6_D6:16"", ""conv-26_session_10_D10:14"", ""conv-26_session_4_D4:6"", ""conv-26_session_8_D8:32"", ""conv-26_session_10_D10:13"", ""conv-26_session_14_D14:32""]"
conv-26_qa_7,1,cassandra-base,conv-26,conv-26_session_3_D3:13,1,419,1,3.9014,21.9392,66.671,72.6651,9.6537,1.5668,83.8856,1,4,"[""conv-26_session_9_D9:7"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_3_D3:13"", ""conv-26_session_4_D4:1"", ""conv-26_session_13_D13:18"", ""conv-26_session_4_D4:10"", ""conv-26_session_8_D8:22"", ""conv-26_session_19_D19:8"", ""conv-26_session_15_D15:19""]"
conv-26_qa_7,1,cassandra-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,4.0031,5.8468,66.6485,72.4941,12.0501,1.3885,85.9327,1,4,"[""conv-26_session_9_D9:7"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_3_D3:13"", ""conv-26_session_4_D4:1"", ""conv-26_session_13_D13:18"", ""conv-26_session_4_D4:10"", ""conv-26_session_8_D8:22"", ""conv-26_session_19_D19:8"", ""conv-26_session_15_D15:19""]"
conv-26_qa_7,1,neo4j-native,conv-26,conv-26_session_3_D3:13,1,419,1,14.9576,35.5102,65.2441,72.605,32.2216,1.2679,106.0945,1,4,"[""conv-26_session_9_D9:7"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_3_D3:13"", ""conv-26_session_4_D4:1"", ""conv-26_session_13_D13:18"", ""conv-26_session_4_D4:10"", ""conv-26_session_8_D8:22"", ""conv-26_session_19_D19:8"", ""conv-26_session_15_D15:19""]"
conv-26_qa_7,1,neo4j-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,11.1837,50.0271,66.7471,72.7458,31.8066,3.3223,107.8747,1,4,"[""conv-26_session_9_D9:7"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_3_D3:13"", ""conv-26_session_4_D4:1"", ""conv-26_session_13_D13:18"", ""conv-26_session_4_D4:10"", ""conv-26_session_8_D8:22"", ""conv-26_session_19_D19:8"", ""conv-26_session_15_D15:19""]"
conv-26_qa_8,2,cassandra-base,conv-26,conv-26_session_3_D3:1,1,419,1,3.32,54.3718,73.6274,80.0461,10.9256,2.9753,93.947,1,1,"[""conv-26_session_3_D3:1"", ""conv-26_session_8_D8:19"", ""conv-26_session_10_D10:15"", ""conv-26_session_17_D17:21"", ""conv-26_session_8_D8:22"", ""conv-26_session_8_D8:14"", ""conv-26_session_15_D15:13"", ""conv-26_session_5_D5:14"", ""conv-26_session_8_D8:15"", ""conv-26_session_15_D15:11""]"
conv-26_qa_8,2,cassandra-materialized,conv-26,conv-26_session_3_D3:1,1,419,1,2.8288,22.8307,72.2343,79.4008,11.4691,1.4363,92.3062,1,1,"[""conv-26_session_3_D3:1"", ""conv-26_session_8_D8:19"", ""conv-26_session_10_D10:15"", ""conv-26_session_17_D17:21"", ""conv-26_session_8_D8:22"", ""conv-26_session_8_D8:14"", ""conv-26_session_15_D15:13"", ""conv-26_session_5_D5:14"", ""conv-26_session_8_D8:15"", ""conv-26_session_15_D15:11""]"
conv-26_qa_8,2,neo4j-native,conv-26,conv-26_session_3_D3:1,1,419,1,15.9834,36.9396,72.613,79.5757,30.6886,1.6807,111.945,1,1,"[""conv-26_session_3_D3:1"", ""conv-26_session_8_D8:19"", ""conv-26_session_10_D10:15"", ""conv-26_session_17_D17:21"", ""conv-26_session_8_D8:22"", ""conv-26_session_8_D8:14"", ""conv-26_session_15_D15:13"", ""conv-26_session_5_D5:14"", ""conv-26_session_8_D8:15"", ""conv-26_session_15_D15:11""]"
conv-26_qa_8,2,neo4j-materialized,conv-26,conv-26_session_3_D3:1,1,419,1,5.2702,6.8938,70.5611,79.8793,34.853,1.129,115.8613,1,1,"[""conv-26_session_3_D3:1"", ""conv-26_session_8_D8:19"", ""conv-26_session_10_D10:15"", ""conv-26_session_17_D17:21"", ""conv-26_session_8_D8:22"", ""conv-26_session_8_D8:14"", ""conv-26_session_15_D15:13"", ""conv-26_session_5_D5:14"", ""conv-26_session_8_D8:15"", ""conv-26_session_15_D15:11""]"
conv-26_qa_9,2,cassandra-base,conv-26,conv-26_session_3_D3:11,1,419,1,4.9158,60.1617,77.8674,84.0438,10.7071,1.8338,96.5847,1,1,"[""conv-26_session_3_D3:11"", ""conv-26_session_8_D8:19"", ""conv-26_session_9_D9:4"", ""conv-26_session_8_D8:23"", ""conv-26_session_16_D16:5"", ""conv-26_session_7_D7:2"", ""conv-26_session_9_D9:2"", ""conv-26_session_6_D6:11"", ""conv-26_session_8_D8:14"", ""conv-26_session_16_D16:15""]"
conv-26_qa_9,2,cassandra-materialized,conv-26,conv-26_session_3_D3:11,1,419,1,5.3581,41.5363,76.319,83.6571,11.7284,3.013,98.3985,1,1,"[""conv-26_session_3_D3:11"", ""conv-26_session_8_D8:19"", ""conv-26_session_9_D9:4"", ""conv-26_session_8_D8:23"", ""conv-26_session_16_D16:5"", ""conv-26_session_7_D7:2"", ""conv-26_session_9_D9:2"", ""conv-26_session_6_D6:11"", ""conv-26_session_8_D8:14"", ""conv-26_session_16_D16:15""]"
conv-26_qa_9,2,neo4j-native,conv-26,conv-26_session_3_D3:11,1,419,1,3.7158,14.958,76.47,83.5144,27.3523,1.4052,112.2719,1,1,"[""conv-26_session_3_D3:11"", ""conv-26_session_8_D8:19"", ""conv-26_session_9_D9:4"", ""conv-26_session_8_D8:23"", ""conv-26_session_16_D16:5"", ""conv-26_session_7_D7:2"", ""conv-26_session_9_D9:2"", ""conv-26_session_6_D6:11"", ""conv-26_session_8_D8:14"", ""conv-26_session_16_D16:15""]"
conv-26_qa_9,2,neo4j-materialized,conv-26,conv-26_session_3_D3:11,1,419,1,3.9431,5.4895,76.6597,83.3489,31.9809,1.1322,116.462,1,1,"[""conv-26_session_3_D3:11"", ""conv-26_session_8_D8:19"", ""conv-26_session_9_D9:4"", ""conv-26_session_8_D8:23"", ""conv-26_session_16_D16:5"", ""conv-26_session_7_D7:2"", ""conv-26_session_9_D9:2"", ""conv-26_session_6_D6:11"", ""conv-26_session_8_D8:14"", ""conv-26_session_16_D16:15""]"
conv-26_qa_10,2,cassandra-base,conv-26,conv-26_session_3_D3:13,1,419,1,18.3752,51.3998,68.5287,75.9173,12.1826,1.7156,89.8155,1,1,"[""conv-26_session_3_D3:13"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_8_D8:38"", ""conv-26_session_10_D10:6"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:11"", ""conv-26_session_6_D6:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_8_D8:27""]"
conv-26_qa_10,2,cassandra-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,19.0157,35.606,68.6823,75.6394,13.4086,2.7036,91.7516,1,1,"[""conv-26_session_3_D3:13"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_8_D8:38"", ""conv-26_session_10_D10:6"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:11"", ""conv-26_session_6_D6:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_8_D8:27""]"
conv-26_qa_10,2,neo4j-native,conv-26,conv-26_session_3_D3:13,1,419,1,3.3924,4.516,65.3833,75.1151,32.286,1.3194,108.7205,1,1,"[""conv-26_session_3_D3:13"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_8_D8:38"", ""conv-26_session_10_D10:6"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:11"", ""conv-26_session_6_D6:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_8_D8:27""]"
conv-26_qa_10,2,neo4j-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,15.3662,21.5829,68.6478,76.9087,32.9787,1.1738,111.0612,1,1,"[""conv-26_session_3_D3:13"", ""conv-26_session_12_D12:14"", ""conv-26_session_16_D16:15"", ""conv-26_session_8_D8:38"", ""conv-26_session_10_D10:6"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:11"", ""conv-26_session_6_D6:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_8_D8:27""]"
conv-26_qa_11,1,cassandra-base,conv-26,conv-26_session_3_D3:13,1,419,1,3.2172,50.5805,69.3358,76.2345,6.1318,1.716,84.0823,1,3,"[""conv-26_session_8_D8:29"", ""conv-26_session_15_D15:21"", ""conv-26_session_3_D3:13"", ""conv-26_session_8_D8:22"", ""conv-26_session_3_D3:16"", ""conv-26_session_17_D17:2"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:27"", ""conv-26_session_3_D3:1"", ""conv-26_session_4_D4:5""]"
conv-26_qa_11,1,cassandra-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,3.9574,33.0294,69.6917,76.802,6.2134,3.517,86.5324,1,3,"[""conv-26_session_8_D8:29"", ""conv-26_session_15_D15:21"", ""conv-26_session_3_D3:13"", ""conv-26_session_8_D8:22"", ""conv-26_session_3_D3:16"", ""conv-26_session_17_D17:2"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:27"", ""conv-26_session_3_D3:1"", ""conv-26_session_4_D4:5""]"
conv-26_qa_11,1,neo4j-native,conv-26,conv-26_session_3_D3:13,1,419,1,5.1899,19.5095,69.8472,76.8469,35.516,1.3115,113.6744,1,3,"[""conv-26_session_8_D8:29"", ""conv-26_session_15_D15:21"", ""conv-26_session_3_D3:13"", ""conv-26_session_8_D8:22"", ""conv-26_session_3_D3:16"", ""conv-26_session_17_D17:2"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:27"", ""conv-26_session_3_D3:1"", ""conv-26_session_4_D4:5""]"
conv-26_qa_11,1,neo4j-materialized,conv-26,conv-26_session_3_D3:13,1,419,1,3.9416,5.3498,68.7329,77.0665,31.0281,1.4846,109.5792,1,3,"[""conv-26_session_8_D8:29"", ""conv-26_session_15_D15:21"", ""conv-26_session_3_D3:13"", ""conv-26_session_8_D8:22"", ""conv-26_session_3_D3:16"", ""conv-26_session_17_D17:2"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:27"", ""conv-26_session_3_D3:1"", ""conv-26_session_4_D4:5""]"
conv-26_qa_12,2,cassandra-base,conv-26,conv-26_session_4_D4:5,1,419,1,7.0745,48.4184,71.6617,78.7981,63.7341,1.7505,144.2827,1,1,"[""conv-26_session_4_D4:5"", ""conv-26_session_11_D11:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_15_D15:21"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:16"", ""conv-26_session_16_D16:7"", ""conv-26_session_8_D8:27"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:14""]"
conv-26_qa_12,2,cassandra-materialized,conv-26,conv-26_session_4_D4:5,1,419,1,8.0075,22.1502,73.0458,80.5834,65.2641,1.3453,147.1928,1,1,"[""conv-26_session_4_D4:5"", ""conv-26_session_11_D11:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_15_D15:21"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:16"", ""conv-26_session_16_D16:7"", ""conv-26_session_8_D8:27"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:14""]"
conv-26_qa_12,2,neo4j-native,conv-26,conv-26_session_4_D4:5,1,419,1,5.2713,36.9844,71.6265,78.6208,39.5915,2.0247,120.237,1,1,"[""conv-26_session_4_D4:5"", ""conv-26_session_11_D11:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_15_D15:21"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:16"", ""conv-26_session_16_D16:7"", ""conv-26_session_8_D8:27"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:14""]"
conv-26_qa_12,2,neo4j-materialized,conv-26,conv-26_session_4_D4:5,1,419,1,6.0098,7.7927,70.9773,78.759,35.5913,2.091,116.4413,1,1,"[""conv-26_session_4_D4:5"", ""conv-26_session_11_D11:1"", ""conv-26_session_3_D3:15"", ""conv-26_session_15_D15:21"", ""conv-26_session_4_D4:1"", ""conv-26_session_3_D3:16"", ""conv-26_session_16_D16:7"", ""conv-26_session_8_D8:27"", ""conv-26_session_6_D6:2"", ""conv-26_session_8_D8:14""]"
conv-26_qa_13,1,cassandra-base,conv-26,conv-26_session_4_D4:13,1,419,1,16.9156,56.9728,77.7687,84.279,11.7816,1.7859,,0,,"[""conv-26_session_1_D1:9"", ""conv-26_session_4_D4:11"", ""conv-26_session_1_D1:10"", ""conv-26_session_7_D7:7"", ""conv-26_session_4_D4:12"", ""conv-26_session_1_D1:11"", ""conv-26_session_7_D7:5"", ""conv-26_session_6_D6:3"", ""conv-26_session_7_D7:11"", ""conv-26_session_16_D16:13""]"
