memory_id,triples
conv-26_session_3_D3:3,"(caroline, give, a_voice)"
conv-26_session_3_D3:4,"(melanie, talk, about_inclusivity_and_acceptance)"
conv-26_session_3_D3:5,"(caroline, share, experiences); (caroline, bless, with_a_lot_of_love_and_support); (caroline, aim, aim)"
conv-26_session_4_D4:10,"(melanie, value, family_time)"
conv-26_session_4_D4:11,"(caroline, consider, a_career_in_counseling_and_mental_health)"
conv-26_session_4_D4:13,"(caroline, attend, an_lgbtq+_counseling_workshop_focused_on_therapeutic_methods)"
conv-26_session_4_D4:15,"(caroline, pursue, counseling)"
conv-26_session_4_D4:3,"(caroline, receive, a_special_necklace)"
conv-26_session_4_D4:5,"(caroline, treasure, a_hand_painted_bowl_made_by_a_friend)"
conv-26_session_4_D4:8,"(melanie, go, last_week)"
conv-26_session_5_D5:1,"(caroline, attend, an_lgbtq+_pride_parade)"
conv-26_session_5_D5:10,"(melanie, express, her_emotions)"
conv-26_session_5_D5:13,"(caroline, attend, a_transgender_conference)"
conv-26_session_5_D5:3,"(caroline, consider, a_career_in_counseling_and_mental_health)"
conv-26_session_5_D5:4,"(melanie, sign, for_a_pottery_class)"
conv-26_session_5_D5:5,"(caroline, learn, the_piano)"
conv-26_session_5_D5:6,"(melanie, calm, calm)"
conv-26_session_5_D5:8,"(melanie, make, a_black_and_white_bowl)"
conv-26_session_6_D6:11,"(caroline, appreciate, the_importance_of_friendship_and_compassion_in_her)"
conv-26_session_6_D6:13,"(caroline, provide, love_,_guidance_,_and_acceptance)"
conv-26_session_6_D6:16,"(melanie, enjoy, camping)"
conv-26_session_6_D6:3,"(caroline, look, into_counseling_or_mental_health_work)"
conv-26_session_6_D6:4,"(melanie, take, her_kids); (melanie, spend, time)"
conv-26_session_6_D6:7,"(caroline, create, a_library)"
conv-26_session_6_D6:9,"(caroline, include, classics)"
conv-26_session_7_D7:1,"(caroline, attend, an_lgbtq_conference)"
conv-26_session_7_D7:11,"(caroline, give, her_hope_and_connection)"
conv-26_session_7_D7:13,"(caroline, accord, accord); (caroline, value, the_role_of_pets_in_bringing_joy_and)"
conv-26_session_7_D7:18,"(melanie, name, luna_and_a_cat_named_oliver)"
conv-26_session_7_D7:2,"(melanie, attend, to_be_reminding_of_the_strength_of_community)"
conv-26_session_7_D7:20,"(melanie, destress, destress)"
conv-26_session_7_D7:24,"(melanie, run, run)"
conv-26_session_7_D7:4,"(melanie, support, caroline_'s_drive)"
conv-26_session_7_D7:5,"(caroline, provide, support)"
conv-26_session_7_D7:8,"(melanie, remind, caroline)"
conv-26_session_8_D8:12,"(melanie, represent, growth_,_beauty_,_and_appreciating_small_moments)"
conv-26_session_8_D8:16,"(melanie, marry, her_partner)"
conv-26_session_8_D8:19,"(caroline, go, to_a_pride_parade)"
conv-26_session_8_D8:2,"(melanie, take, her_kids)"
conv-26_session_8_D8:21,"(caroline, accept, accept); (caroline, express, feeling_comforted_by_being_around_accepting_and_loving)"
conv-26_session_8_D8:25,"(caroline, mention, the_importance_of_finding_peace_and_mental_health); (caroline, express, pride_in_the_courage_to_transition)"
conv-26_session_8_D8:28,"(melanie, share, share)"
conv-26_session_8_D8:32,"(melanie, love, during_tough_times)"
conv-26_session_8_D8:6,"(melanie, enjoy, nature_inspired_painting_projects)"
conv-26_session_8_D8:9,"(caroline, attend, a_council_meeting_for_adoption)"
conv-26_session_9_D9:1,"(melanie, go, go); (melanie, enjoy, enjoy)"
conv-26_session_9_D9:12,"(caroline, plan, an_lgbtq_art_show_with_her_paintings)"
conv-26_session_9_D9:16,"(caroline, paint, a_piece_inspired_by_a_visit_to_an)"
conv-26_session_9_D9:17,"(melanie, finish, a_painting)"
conv-26_session_9_D9:2,"(caroline, join, a_mentorship_program_for_lgbtq_youth)"
conv-26_session_9_D9:6,"(caroline, work, work); (caroline, have, a_great_time)"
conv-30_session_10_D10:1,"(jon, show, that); (jon, consider, consider)"
conv-30_session_10_D10:10,"(jon, passionate, about_dance); (gina, encourage, jon)"
conv-30_session_10_D10:2,"(gina, start, her_own_online_clothing_store)"
conv-30_session_10_D10:4,"(gina, find, find)"
conv-30_session_10_D10:5,"(jon, seek, advice_on_staying_motivated)"
conv-30_session_10_D10:6,"(gina, advise, jon)"
conv-30_session_10_D10:7,"(jon, seek, advice_from_gina)"
conv-30_session_10_D10:8,"(gina, give, jon_tips_to_stay_confident_in_business_by)"
conv-30_session_11_D11:11,"(jon, hop, hop)"
conv-30_session_11_D11:14,"(gina, have, an_interview_for_a_design_internship)"
conv-30_session_11_D11:20,"(gina, has_memory, Gina_Jon_dance_studio_project)"
conv-30_session_11_D11:3,"(jon, lose, his_job)"
conv-30_session_11_D11:5,"(jon, has_memory, dance_Jon_stress_buster_childhood)"
conv-30_session_11_D11:6,"(gina, fix, fix)"
conv-30_session_11_D11:7,"(jon, see, see)"
conv-30_session_11_D11:8,"(gina, compare, it)"
conv-30_session_11_D11:9,"(jon, teach, others)"
conv-30_session_12_D12:1,"(gina, accept, for_a_fashion_internship_at_a_part___time_position_in_the_fashion_department_of_an_international_company)"
conv-30_session_12_D12:12,"(jon, work, on_a_business_plan)"
conv-30_session_12_D12:6,"(jon, read, the_book_""_the_lean_startup_"")"
conv-30_session_13_D13:1,"(gina, support, jon)"
conv-30_session_13_D13:11,"(jon, use, a_mentor_,_goal_setting_,_tracking_achievements)"
conv-30_session_13_D13:13,"(jon, use, a_whiteboard); (jon, use, the_system_of_goal_setting_,_tracking_achievements)"
conv-30_session_13_D13:15,"(jon, track, progress)"
conv-30_session_13_D13:20,"(gina, highlight, the_importance_of_staying_positive)"
conv-30_session_13_D13:22,"(gina, encourage, jon)"
conv-30_session_13_D13:3,"(jon, preppe, for_his_own_dance_studio)"
conv-30_session_13_D13:4,"(gina, develop, a_video_presentation)"
conv-30_session_13_D13:5,"(jon, want, want)"
conv-30_session_13_D13:7,"(jon, offer, one_on_one_mentoring_and_training)"
conv-30_session_13_D13:8,"(gina, value, mentorship)"
conv-30_session_13_D13:9,"(jon, shine, shine)"
conv-30_session_14_D14:1,"(jon, mentor, mentor)"
conv-30_session_14_D14:10,"(gina, advise, jon)"
conv-30_session_14_D14:12,"(gina, stay, stay)"
conv-30_session_14_D14:13,"(jon, go, go)"
conv-30_session_14_D14:14,"(gina, share, share)"
conv-30_session_14_D14:15,"(jon, perform, perform)"
conv-30_session_14_D14:16,"(gina, encourage, jon)"
conv-30_session_14_D14:2,"(gina, work, work)"
conv-30_session_14_D14:3,"(jon, work, work)"
conv-30_session_14_D14:5,"(jon, post, dance_videos)"
conv-30_session_14_D14:8,"(gina, lose, her_job)"
conv-30_session_15_D15:1,"(jon, take, a_short_trip_to_rome)"
conv-30_session_15_D15:16,"(gina, mention, mention)"
conv-30_session_15_D15:6,"(gina, support, jon_'s_opening_of_the_dance_studio)"
conv-30_session_16_D16:1,"(gina, acquire, new_unique_pieces)"
conv-30_session_16_D16:10,"(jon, write, all_his_plans_and_goals_to_stay_organized)"
conv-30_session_16_D16:12,"(jon, write, his_goals)"
conv-30_session_16_D16:3,"(gina, limit, limit)"
conv-30_session_16_D16:5,"(gina, remind, her)"
conv-30_session_16_D16:6,"(jon, attend, networking_events)"
conv-30_session_16_D16:8,"(jon, invest, his_time)"
conv-30_session_17_D17:1,"(gina, notice, last_week)"
conv-30_session_17_D17:10,"(jon, value, the_support_and_encouragement_from_gina_and_the)"
conv-30_session_17_D17:11,"(gina, encourage, him)"
conv-30_session_17_D17:15,"(gina, go, go)"
conv-30_session_17_D17:16,"(jon, stop, him); (jon, express, gratitude)"
conv-30_session_17_D17:3,"(gina, stumble, stumble)"
conv-30_session_17_D17:4,"(gina, support, support); (jon, mention, mention); (jon, start, start)"
conv-30_session_17_D17:6,"(jon, aspire, aspire)"
conv-30_session_17_D17:7,"(gina, consider, consider)"
conv-30_session_17_D17:8,"(jon, bring, people)"
conv-30_session_17_D17:9,"(gina, cheer, jon)"
conv-30_session_18_D18:1,"(gina, build, a_new_website)"
conv-30_session_18_D18:10,"(jon, network, network); (jon, work, on_an_online_platform)"
conv-30_session_18_D18:12,"(jon, express, a_need_for_marketing_strategies)"
conv-30_session_18_D18:13,"(gina, offer, offer)"
conv-30_session_18_D18:14,"(jon, plan, plan)"
conv-30_session_18_D18:17,"(gina, express, excitement_to_collaborate_with_jon_on_making_the)"
conv-30_session_18_D18:2,"(jon, stay, stay)"
conv-30_session_18_D18:22,"(jon, express, gratitude_for_gina_'s_support)"
conv-30_session_18_D18:5,"(gina, face, challenges_in_her_business); (gina, advise, jon)"
conv-30_session_18_D18:8,"(gina, meet, some_investors)"
conv-30_session_19_D19:1,"(jon, rehearse, rehearse); (jon, go, during_stressful_times)"
conv-30_session_19_D19:10,"(gina, open, a_dance_studio)"
conv-30_session_19_D19:6,"(gina, encourage, jon)"
conv-30_session_19_D19:7,"(jon, work, work)"
conv-30_session_1_D1:17,"(gina, use, use)"
conv-30_session_1_D1:2,"(jon, lose, his_job)"
conv-30_session_1_D1:24,"(jon, practice, various_dances_with_a_small_group_,_including)"
conv-30_session_1_D1:3,"(gina, lose, her_job)"
conv-30_session_1_D1:4,"(jon, start, his_own_dance_studio)"
conv-30_session_1_D1:8,"(jon, has_memory, Jon_dance_style)"
conv-30_session_1_D1:9,"(gina, has_memory, Gina_dance_style)"
conv-30_session_2_D2:1,"(gina, launch, an_ad_campaign_for_her_clothing_store); (gina, start, her_own_clothing_store)"
conv-30_session_2_D2:10,"(jon, set, his_dance_studio)"
conv-30_session_2_D2:11,"(gina, appreciate, jon_'s_determination_to_make_his_dance_studio)"
conv-30_session_2_D2:12,"(jon, believe, in_himself)"
conv-30_session_2_D2:3,"(gina, appreciate, appreciate)"
conv-30_session_2_D2:4,"(jon, consider, features_like_size_,_natural_light_,_and); (jon, visit, paris)"
conv-30_session_2_D2:5,"(gina, has_memory, Gina_Rome)"
conv-30_session_2_D2:7,"(gina, avoid, injuries)"
conv-30_session_2_D2:8,"(jon, floor, for_his_dance_studio)"
conv-30_session_3_D3:1,"(jon, follow, his_passion_for_dance)"
conv-30_session_3_D3:2,"(gina, expand, her_clothing_store)"
conv-30_session_3_D3:4,"(gina, design, her_clothing_store_space)"
conv-30_session_3_D3:6,"(gina, choose, furniture_and_decor)"
conv-30_session_3_D3:8,"(gina, create, a_comfortable_and_inviting_shopping_experience_for_her)"
conv-30_session_4_D4:10,"(gina, encourage, jon)"
conv-30_session_4_D4:11,"(jon, work, on_new_dance_routines); (jon, bring, joy_and_fulfillment)"
conv-30_session_4_D4:13,"(jon, prepare, for_a_dance_competition_near_him_next_month_to_showcase_his_skills)"
conv-30_session_4_D4:14,"(gina, compliment, jon_'s_talent)"
conv-30_session_4_D4:2,"(gina, do, do)"
conv-30_session_4_D4:3,"(jon, work, on_his_business)"
conv-30_session_4_D4:4,"(gina, encourage, jon)"
conv-30_session_4_D4:5,"(jon, reach, his_dreams)"
conv-30_session_4_D4:6,"(gina, support, jon); (gina, assure, him); (gina, express, full_support_for_jon)"
conv-30_session_4_D4:9,"(jon, search, for_a_dance_studio_location)"
conv-30_session_5_D5:1,"(gina, own, a_store_where_she_sells_fashion_pieces)"
conv-30_session_5_D5:10,"(jon, leave, his_secure_9_5_job)"
conv-30_session_5_D5:15,"(gina, stand, for_freedom)"
conv-30_session_5_D5:2,"(jon, find, joy_and_passion_in_dancing)"
conv-30_session_5_D5:20,"(jon, run, his_dance_studio)"
conv-30_session_5_D5:4,"(jon, run, his_own_dance_studio)"
conv-30_session_5_D5:5,"(gina, team, with_a_local_artist_for_some_cool_designs)"
conv-30_session_5_D5:8,"(jon, take, risks)"
conv-30_session_6_D6:1,"(jon, start, start)"
conv-30_session_6_D6:11,"(jon, start, his_own_business)"
conv-30_session_6_D6:12,"(gina, start, start)"
conv-30_session_6_D6:13,"(jon, inspire, her_determination_awesome)"
conv-30_session_6_D6:14,"(gina, inspire, inspire)"
conv-30_session_6_D6:15,"(jon, motivate, motivate)"
conv-30_session_6_D6:16,"(gina, see, jon)"
conv-30_session_6_D6:18,"(gina, value, value)"
conv-30_session_6_D6:19,"(jon, encourage, encourage)"
conv-30_session_6_D6:4,"(jon, lose, his_job); (gina, lose, her_job)"
conv-30_session_6_D6:6,"(gina, open, an_online_clothes_store_which_she_had_been)"
conv-30_session_6_D6:8,"(gina, blend, her_love_for_dance_and_fashion)"
conv-30_session_7_D7:4,"(gina, run, an_online_clothing_store)"
conv-30_session_7_D7:6,"(gina, build, relationships)"
conv-30_session_7_D7:7,"(jon, learn, learn)"
conv-30_session_8_D8:1,"(jon, shut, his_bank_account)"
conv-30_session_8_D8:12,"(gina, focus, focus); (gina, plan, plan)"
conv-30_session_8_D8:13,"(jon, expand, his_dance_studio_'s_social_media_presence); (jon, host, a_dance_competition)"
conv-30_session_8_D8:3,"(jon, handle, changes)"
conv-30_session_8_D8:4,"(gina, attract, new_customers)"
conv-30_session_8_D8:6,"(gina, fuel, her_creativity)"
conv-30_session_8_D8:8,"(gina, combine, her_passion_for_dance_and_fashion)"
conv-30_session_9_D9:1,"(jon, turn, his_passion_for_dance)"
conv-30_session_9_D9:10,"(gina, bring, bring)"
conv-30_session_9_D9:12,"(gina, encourage, jon)"
conv-30_session_9_D9:13,"(jon, push, push)"
conv-30_session_9_D9:2,"(gina, admire, jon)"
conv-30_session_9_D9:3,"(jon, fuel, fuel)"
conv-30_session_9_D9:4,"(gina, acknowledge, acknowledge)"
conv-30_session_9_D9:5,"(jon, express, himself)"
conv-30_session_9_D9:7,"(jon, use, use)"
conv-30_session_9_D9:8,"(gina, spend, time)"
conv-30_session_9_D9:9,"(jon, take, dance_lessons); (jon, value, value)"
conv-41_session_10_D10:1,"(john, start, a_weekend_yoga_class)"
conv-41_session_10_D10:10,"(maria, participate, in_a_5_k_charity_run_for_a_homeless_shelter)"
conv-41_session_10_D10:11,"(maria, energize, energize)"
conv-41_session_10_D10:12,"(maria, inspire, inspire)"
conv-41_session_10_D10:13,"(john, volunteer, at_a_career_fair)"
conv-41_session_10_D10:14,"(maria, impact, kids_'_dreams)"
conv-41_session_10_D10:15,"(john, highlight, the_importance_of_support_in_achieving_kids_')"
conv-41_session_10_D10:16,"(maria, motivate, john)"
conv-41_session_10_D10:18,"(maria, believe, believe)"
conv-41_session_10_D10:3,"(john, focus, on_proper_poses)"
conv-41_session_10_D10:5,"(john, relax, relax)"
conv-41_session_10_D10:7,"(john, improve, his_mind_and_body)"
conv-41_session_10_D10:9,"(john, consider, consider)"
conv-41_session_11_D11:1,"(john, break, on_his_way_to_work); (john, remain, remain)"
conv-41_session_11_D11:10,"(maria, give, talks); (maria, buy, a_cross_necklace)"
conv-41_session_11_D11:12,"(maria, consider, the_people_at_the_shelter_like_family)"
conv-41_session_11_D11:16,"(maria, organize, a_meal_for_shelter_residents)"
conv-41_session_11_D11:3,"(john, remind, him)"
conv-41_session_11_D11:5,"(john, explore, the_pacific_northwest_coast)"
conv-41_session_12_D12:1,"(john, blogge, about_politics_and_government_focusing_on_education_reform_and_infrastructure_development)"
conv-41_session_12_D12:11,"(john, inspire, inspire)"
conv-41_session_12_D12:15,"(john, give, john_renewed_energy_and_purpose)"
conv-41_session_12_D12:17,"(john, plan, a_trip_to_the_east_coast)"
conv-41_session_12_D12:18,"(maria, fulfil, fulfil)"
conv-41_session_12_D12:2,"(maria, agree, with_john)"
conv-41_session_12_D12:22,"(maria, believe, believe)"
conv-41_session_12_D12:3,"(john, raise, awareness)"
conv-41_session_12_D12:4,"(maria, start, conversations)"
conv-41_session_12_D12:9,"(john, attend, a_convention_with_colleagues_who_share_his_passion)"
conv-41_session_13_D13:15,"(john, provide, emotional_support)"
conv-41_session_13_D13:17,"(john, make, an_apple_pie_for_his_kids)"
conv-41_session_13_D13:18,"(maria, enjoy, a_variety_of_foods_like_salads_,_sandwiches); (maria, enjoy, which); (maria, find, joy)"
conv-41_session_13_D13:24,"(maria, take, a_solo_trip_to_spain_which_helped_her)"
conv-41_session_13_D13:3,"(john, start, start)"
conv-41_session_13_D13:30,"(maria, try, try)"
conv-41_session_13_D13:36,"(maria, push, boundaries)"
conv-41_session_13_D13:5,"(john, notice, increased_energy_,_strength_,_and_endurance); (john, motivate, each_other)"
conv-41_session_13_D13:7,"(john, work, three_times_a_week)"
conv-41_session_14_D14:1,"(john, decide, decide)"
conv-41_session_14_D14:10,"(maria, join, a_nearby_church)"
conv-41_session_14_D14:12,"(maria, take, time)"
conv-41_session_14_D14:13,"(john, experience, a_power_cut_in_the_area)"
conv-41_session_14_D14:15,"(john, believe, believe)"
conv-41_session_14_D14:17,"(john, consider, consider)"
conv-41_session_14_D14:18,"(maria, work, with_john)"
conv-41_session_14_D14:21,"(john, work, work)"
conv-41_session_14_D14:22,"(maria, work, with_john)"
conv-41_session_14_D14:3,"(john, motivate, motivate)"
conv-41_session_14_D14:8,"(maria, do, charity_work)"
conv-41_session_15_D15:1,"(john, work, on_a_project)"
conv-41_session_15_D15:10,"(maria, support, veterans)"
conv-41_session_15_D15:13,"(john, organize, a_small_party)"
conv-41_session_15_D15:18,"(maria, plan, a_ring_toss_tournament_for_a_homeless_shelter)"
conv-41_session_15_D15:3,"(john, decide, decide)"
conv-41_session_15_D15:9,"(john, support, support)"
conv-41_session_16_D16:1,"(john, work, on_a_petition); (john, go, on_a_hiking_trip_with_his_workmates_and_values_their_support)"
conv-41_session_16_D16:10,"(maria, work, with_passionate_people_like_john_motivating)"
conv-41_session_16_D16:11,"(john, share, a_picture_of_his_family)"
conv-41_session_16_D16:13,"(john, value, the_little_moments_in_life)"
conv-41_session_16_D16:14,"(maria, share, share)"
conv-41_session_16_D16:17,"(john, appreciate, reminders)"
conv-41_session_16_D16:18,"(maria, motivate, motivate)"
conv-41_session_16_D16:2,"(maria, prepare, prepare)"
conv-41_session_16_D16:3,"(john, help, maria)"
conv-41_session_16_D16:4,"(maria, share, a_poster_for_a_chili_cook_off_at)"
conv-41_session_16_D16:5,"(john, offer, offer); (maria, ask, john)"
conv-41_session_16_D16:7,"(john, express, willingness_to_assist_in_finding_volunteers_for_maria)"
conv-41_session_16_D16:8,"(maria, appreciate, john_'s_assistance_with_the_charity_fundraiser)"
conv-41_session_17_D17:1,"(john, have, have)"
conv-41_session_17_D17:11,"(john, consider, consider)"
conv-41_session_17_D17:12,"(maria, start, start)"
conv-41_session_17_D17:2,"(maria, offer, her_condolences_and_support)"
conv-41_session_17_D17:3,"(john, cope, with_the_loss_of_max)"
conv-41_session_17_D17:5,"(john, share, a_picture_of_max)"
conv-41_session_17_D17:7,"(john, value, the_lessons_that_max_taught_them_about_love)"
conv-41_session_18_D18:1,"(maria, go, go)"
conv-41_session_18_D18:11,"(maria, go, go)"
conv-41_session_18_D18:12,"(john, camp, plenty_of_times)"
conv-41_session_18_D18:15,"(maria, practice, aerial_yoga)"
conv-41_session_18_D18:17,"(maria, enjoy, yoga_poses_as_they_make_her_feel_free)"
conv-41_session_18_D18:2,"(john, go, on_a_mountaineering_trip_with_workmates_that_helped_clear_his_head)"
conv-41_session_18_D18:22,"(john, have, an_awesome_day)"
conv-41_session_18_D18:3,"(maria, go, on_a_road_trip_to_oregon)"
conv-41_session_18_D18:4,"(john, reach, the_summit)"
conv-41_session_18_D18:5,"(maria, describe, a_view_of_a_waterfall_and_bridge)"
conv-41_session_18_D18:7,"(maria, calm, calm)"
conv-41_session_18_D18:8,"(john, calm, us)"
conv-41_session_19_D19:1,"(maria, join, a_gym)"
conv-41_session_19_D19:10,"(john, symbolize, the_obstacles_he_overcame_on_his_journey_to)"
conv-41_session_19_D19:12,"(john, face, various_challenges_including_tech_issues_,_workplace_hurdles)"
