memory_id,entities,relations,keywords
conv-26_session_13_D13:10,"enjoy, melanie",enjoy,"caroline, enjoy, glad, grace, horses, like, love, melanie, paint, peaceful, special, thanks, yeah"
conv-26_session_13_D13:11,,,
conv-26_session_13_D13:12,,,
conv-26_session_13_D13:13,caroline,express,"caroline, definitely, empowered, explore, felt, helps, identity, liberated, mel, painting, thanks, therapeutic, true"
conv-26_session_13_D13:14,melanie,express,"art, awesome, caroline, else, getting, great, helps, melanie, really, showing, touch, us, wow"
conv-26_session_13_D13:15,"caroline, lgbtq, rights",promote,"around, art, authentically, caroline, freedom, gives, help, lgbtq, live, melanie, others, people, promoting, rights, sense, supportive, thanks, true, want"
conv-26_session_13_D13:16,,,
conv-26_session_13_D13:17,,,
conv-26_session_13_D13:18,,,
conv-26_session_13_D13:2,,,
conv-26_session_13_D13:3,"caroline, oscar",name,"big, caroline, exciting, great, guinea, kinda, mel, nerve, oscar, parenting, pets, pig, responsibility, thanks, wracking, yup"
conv-26_session_13_D13:4,"another, bailey, cat, melanie, named",include,"another, asking, bailey, big, cat, decision, excited, good, got, melanie, named, nervous, normal, oliver, one, oscar, pic, show, thanks, yeah"
conv-26_session_13_D13:5,,,
conv-26_session_13_D13:6,,,
conv-26_session_13_D13:7,"caroline, horses, use","love, use","always, caroline, dad, feeling, fields, funny, go, horseback, horses, kid, love, riding, special, use, used, wind"
conv-26_session_13_D13:8,"horse, melanie, painting, photo",share,"agree, awesome, great, horse, melanie, painting, photo, recently, sounds, wow"
conv-26_session_13_D13:9,,,
conv-26_session_14_D14:1,"caroline, last, week",go,"apologize, bad, bugged, caroline, going, got, hey, hiking, into, last, mel, people, really, something, spot, tell, tried, want, week, went"
conv-26_session_14_D14:10,"family, melanie",volunteer,"actually, art, connects, cool, day, difference, fam, family, feel, great, hard, helps, homeless, like, make, melanie, neglected, people, remembering, see"
conv-26_session_14_D14:11,,,
conv-26_session_14_D14:12,,,
conv-26_session_14_D14:13,"caroline, transition",transition,"accepted, caroline, community, difference, finding, get, going, huge, like, lot, loved, made, meant, mural, people, really, special, stuff, supported, transition"
conv-26_session_14_D14:14,,,
conv-26_session_14_D14:15,"caroline, courage, flag, mural, rainbow, strength, symbolizing",create,"caroline, community, courage, eagle, flag, freedom, important, mural, others, pride, rainbow, reflects, representing, resilience, strength, symbolizes, symbolizing, trans"
conv-26_session_14_D14:16,"caroline, courage, melanie, person, trans",admire,"any, art, awe, caroline, courage, lately, made, melanie, person, trans"
conv-26_session_14_D14:17,,,
conv-26_session_14_D14:18,,,
conv-26_session_14_D14:19,"caroline, stain",stain,"accept, caroline, change, changing, church, growth, journey, lives, local, made, show, shows, stain, thanks, time, transgender, woman"
conv-26_session_14_D14:2,,,
conv-26_session_14_D14:20,,,
conv-26_session_14_D14:21,,,
conv-26_session_14_D14:22,,,
conv-26_session_14_D14:23,caroline,remind,"acceptance, across, came, caroline, cool, even, everywhere, expect, least, love, month, neighborhood, picture, pride, rainbow, reminds, sidewalk, take, us, vibrant"
conv-26_session_14_D14:24,,,
conv-26_session_14_D14:25,,,
conv-26_session_14_D14:26,,,
conv-26_session_14_D14:27,,,
conv-26_session_14_D14:28,,,
conv-26_session_14_D14:29,,,
conv-26_session_14_D14:3,,,
conv-26_session_14_D14:30,"melanie, paint",paint,"amazing, favorite, landscapes, life, melanie, nature, paint, painting, recently, still"
conv-26_session_14_D14:31,,,
conv-26_session_14_D14:32,"autumn, inspired, melanie, painting",create,"any, art, autumn, coming, cool, feeling, got, inspired, melanie, painting, planning, projects"
conv-26_session_14_D14:33,"art, caroline, lgbtq, show",organize,"art, caroline, gonna, lgbtq, month, next, paintings, putting, show, stoked, super, together"
conv-26_session_14_D14:34,,,
conv-26_session_14_D14:35,,,
conv-26_session_14_D14:4,"melanie, relax",relax,"class, creative, love, made, melanie, pottery, relax, relaxing, tried, yeah, yesterday, yet"
conv-26_session_14_D14:5,,,
conv-26_session_14_D14:6,,,
conv-26_session_14_D14:7,"beach, caroline, inspired, sunset, visit, vivid",paint,"amazing, beach, calming, capture, caroline, colors, dip, feeling, horizon, inspired, last, melanie, painted, painting, seeing, sun, sunset, thanks, try, visit"
conv-26_session_14_D14:8,,,
conv-26_session_14_D14:9,,,
conv-26_session_15_D15:1,,,
conv-26_session_15_D15:10,,,
conv-26_session_15_D15:11,"caroline, involve",involve,"caroline, everyone, feel, forward, fun, involve, kids, looking, month, much, next, proud, putting, seeing, show, talent, talents, together"
conv-26_session_15_D15:12,,,
conv-26_session_15_D15:13,,,
conv-26_session_15_D15:14,,,
conv-26_session_15_D15:15,,,
conv-26_session_15_D15:16,,,
conv-26_session_15_D15:17,,,
conv-26_session_15_D15:18,,,
conv-26_session_15_D15:19,"caroline, mention",mention,"caroline, emotions, get, guitar, helps, mention, mostly, playing, thing"
conv-26_session_15_D15:2,"kids, melanie",take,"caroline, exploring, flies, fun, good, hey, huh, kids, last, melanie, new, nice, outdoors, park, playing, seeing, since, spoke, time, took"
conv-26_session_15_D15:20,,,
conv-26_session_15_D15:21,"caroline, start",start,"acoustic, ago, caroline, emotions, escape, express, five, great, guitar, into, playing, start, started, way, years"
conv-26_session_15_D15:22,,,
conv-26_session_15_D15:23,"caroline, determination, journey",resonate,"bareilles, brave, caroline, courageous, determination, fighting, hear, jam, journey, lot, made, paths, progress, right, sara, significance, taken, think, totally, whenever"
conv-26_session_15_D15:24,,,
conv-26_session_15_D15:25,,,
conv-26_session_15_D15:26,"clarinet, melanie",play,"clarinet, expression, great, melanie, play, relax, started, way, yeah, young"
conv-26_session_15_D15:27,,,
conv-26_session_15_D15:28,"bach, classical, like, melanie, mozart, music",enjoy,"bach, classical, ed, fan, like, melanie, modern, mozart, music, perfect, sheeran, well"
conv-26_session_15_D15:3,"caroline, center, lgbtq, youth",volunteer,"ambitions, caroline, center, chance, chasing, chat, enjoyable, essential, fun, gratifying, happened, kids, kind, last, lgbtq, lot, made, much, outdoors, park"
conv-26_session_15_D15:4,,,
conv-26_session_15_D15:5,"caroline, story",share,"alone, awesome, caroline, challenges, emotional, even, experience, face, felt, fulfilled, got, guiding, know, let, loved, people, powerful, see, sharing, story"
conv-26_session_15_D15:6,,,
conv-26_session_15_D15:7,,,
conv-26_session_15_D15:8,,,
conv-26_session_15_D15:9,"caroline, plan",plan,"believe, caroline, carrying, center, community, connections, definitely, difference, important, keep, life, made, making, part, people, plan, really, strong, supporting, volunteering"
conv-26_session_16_D16:1,"caroline, time",spend,"biking, caroline, chat, cool, day, eh, gang, hey, last, long, mel, pic, pretty, refreshing, saw, sending, stuff, stunning, time, weekend"
conv-26_session_16_D16:10,,,
conv-26_session_16_D16:11,,,
conv-26_session_16_D16:12,,,
conv-26_session_16_D16:13,"caroline, journey",represent,"authentic, binary, blue, caroline, colors, finally, gender, get, journey, love, made, means, melanie, mix, painting, path, proud, red, reminder, rigid"
conv-26_session_16_D16:14,,,
conv-26_session_16_D16:15,"caroline, change",change,"able, accept, around, caroline, change, changed, close, definitely, easy, feel, friends, genuine, handle, happier, kept, love, melanie, much, relationships, supporting"
conv-26_session_16_D16:16,,,
conv-26_session_16_D16:17,,,
conv-26_session_16_D16:18,,,
conv-26_session_16_D16:19,,,
conv-26_session_16_D16:2,"camping, exploring, forest, kids, melanie",enjoy,"ago, any, beautiful, biking, blast, camping, caroline, colors, coming, exploring, forest, get, good, great, hear, hey, hiking, kids, like, melanie"
conv-26_session_16_D16:20,,,
conv-26_session_16_D16:3,,,
conv-26_session_16_D16:4,"melanie, see",see,"around, awesome, best, campfire, caroline, excited, get, inspires, kids, learning, make, marshmallows, melanie, memories, moments, nature, new, parent, roasted, see"
conv-26_session_16_D16:5,"caroline, community, difference, lgbtq",make,"amazing, art, caroline, community, create, difference, family, friends, helping, inspired, inspires, keep, knowing, lgbtq, loving, make, making, mentors, really, seeing"
conv-26_session_16_D16:6,,,
conv-26_session_16_D16:7,"art, caroline",create,"17, amazing, art, caroline, cathartic, find, hard, into, long, put, show, since, soempowering, things, words"
conv-26_session_16_D16:8,"melanie, painting, passion, pottery","find, use","calming, check, creation, finally, found, melanie, muses, painting, passion, pic, pottery, real, satisfying, seven, years"
conv-26_session_16_D16:9,"art, caroline",use,"accept, amazing, art, bowls, caroline, chose, cool, creating, designs, drawing, explore, express, feelings, gender, grateful, helped, identity, important, love, melanie"
conv-26_session_17_D17:1,"caroline, mentor",contact,"adoption, advice, anything, caroline, contacted, exciting, family, feeling, going, great, hey, long, love, mel, mentor, mom, new, ready, see, share"
conv-26_session_17_D17:10,"continue, melanie",continue,"ago, book, busy, caroline, continue, keep, melanie, ok, painting, reading, recommended, thanks, tough"
conv-26_session_17_D17:11,,,
conv-26_session_17_D17:12,,,
conv-26_session_17_D17:13,"enjoy, melanie",enjoy,"abstract, canvas, chilled, colors, cool, enjoy, expression, feelings, form, freeing, kinda, like, love, made, mel, melanie, much, paint, plan, putting"
conv-26_session_17_D17:14,,,
conv-26_session_17_D17:15,,,
conv-26_session_17_D17:16,melanie,use,"blue, calms, colors, lots, melanie, painting, peaceful, serene, show, still, streaks, tranquility, vibe, vibrant, wanted"
conv-26_session_17_D17:17,,,
conv-26_session_17_D17:18,,,
conv-26_session_17_D17:19,"caroline, celebrated, empowering, event, expression, poetry, reading, self, transgender",go,"caroline, cause, celebrate, celebrated, empowering, event, expression, extra, hear, identities, others, people, place, poetry, reading, really, safe, self, share, shared"
conv-26_session_17_D17:2,,,
conv-26_session_17_D17:20,,,
conv-26_session_17_D17:21,,,
conv-26_session_17_D17:22,,,
conv-26_session_17_D17:23,"caroline, inspire",inspire,"always, caroline, drew, embrace, freedom, inspire, like, melanie, nudge, real, stands, stay, thanks, true, womanhood, yeah"
conv-26_session_17_D17:24,,,
conv-26_session_17_D17:25,,,
conv-26_session_17_D17:26,,,
conv-26_session_17_D17:3,"adoption, caroline",see,"adopt, adoption, any, anyone, caroline, chapter, dream, experience, gone, home, kids, know, loving, melanie, need, new, process, provide, safe, start"
conv-26_session_17_D17:4,,,
conv-26_session_17_D17:5,,,
conv-26_session_17_D17:6,,,
conv-26_session_17_D17:7,"caroline, recommend",recommend,"adoption, agency, caroline, checks, documents, emotionally, end, financial, find, forget, gather, hard, help, info, lawyer, like, medical, prepare, process, provide"
conv-26_session_17_D17:8,melanie,lead,"break, btw, caroline, emotionally, expression, got, hurt, last, makes, melanie, month, peace, pottery, readying, recently, research, self, sense, setback, take"
conv-26_session_17_D17:9,,,
conv-26_session_18_D18:1,"accident, family, into, involving, melanie, road, son, started, trip","get, go","accident, caroline, experience, family, freaked, got, hey, insane, into, involving, last, lucky, melanie, okay, past, real, road, roadtrip, scary, since"
conv-26_session_18_D18:10,"caroline, strength",give,"amazing, any, caroline, challenge, give, loved, ones, strength, tackle, us"
conv-26_session_18_D18:11,,,
conv-26_session_18_D18:12,"appreciate, caroline",appreciate,"appreciate, caroline, family, love, melanie, really, rock, see, sweet"
conv-26_session_18_D18:13,,,
conv-26_session_18_D18:14,,,
conv-26_session_18_D18:15,,,
conv-26_session_18_D18:16,,,
conv-26_session_18_D18:17,,,
conv-26_session_18_D18:18,"caroline, refresh",refresh,"caroline, drive, glad, got, huh, nature, refresh, seems, sure, us"
conv-26_session_18_D18:19,"melanie, nature, peace, serenity",find,"absolutely, brings, camping, cause, fam, helps, love, melanie, nature, peace, really, recharge, reset, serenity, trips"
conv-26_session_18_D18:2,"acknowledge, caroline",acknowledge,"accident, acknowledge, bout, caroline, coaster, goodness, guys, life, must, okay, oops, roller, son, sorry, sure, thank, traumatizing"
conv-26_session_18_D18:20,,,
conv-26_session_18_D18:21,"melanie, soul",refresh,"air, always, birds, bond, campfires, chance, fresh, melanie, nature, peaceful, present, refreshes, smell, soul, sound, stories, together, waking"
conv-26_session_18_D18:22,"calming, caroline, nature, peaceful, quality, spending",appreciate,"calming, caroline, family, get, great, melanie, nature, peaceful, picture, quality, spend, spending, time, tranquil, waking"
conv-26_session_18_D18:23,,,
conv-26_session_18_D18:24,,,
conv-26_session_18_D18:3,,,
conv-26_session_18_D18:4,,,
conv-26_session_18_D18:5,"canyon, grand, melanie",visit,"accident, canyon, caroline, enjoyed, especially, family, grand, important, lot, mean, melanie, much, need, right, super, thankful, thankfully, thought, world, yeah"
conv-26_session_18_D18:6,,,
conv-26_session_18_D18:7,,,
conv-26_session_18_D18:8,,,
conv-26_session_18_D18:9,,,
conv-26_session_19_D19:1,"adoption, agency, caroline, interviews",pass,"adoption, agency, big, caroline, excited, family, friday, goal, interviews, last, melanie, move, passed, thankful, towards, woohoo"
conv-26_session_19_D19:10,"caroline, finding, happiness, melanie, self, true",express,"caroline, finding, found, happiness, happy, helping, inspiring, melanie, others, self, true"
conv-26_session_19_D19:11,,,
conv-26_session_19_D19:12,,,
conv-26_session_19_D19:13,"melanie, mutual, provide, support",value,"agree, appreciate, caroline, close, encouragement, glad, made, melanie, mutual, provide, support"
conv-26_session_19_D19:14,,,
conv-26_session_19_D19:15,,,
conv-26_session_19_D19:2,"family, figurines, love, melanie, remind",buy,"adoption, awesome, bought, caroline, congrats, family, figurines, future, happy, love, melanie, remind, sounds, tell, vision, yesterday"
conv-26_session_19_D19:3,"caroline, include",include,"acceptance, adoption, back, beautiful, blood, brings, build, caroline, choose, families, family, giving, home, hope, include, kids, love, melanie, much, ones"
conv-26_session_19_D19:4,,,
conv-26_session_19_D19:5,,,
conv-26_session_19_D19:6,"caroline, helping, kids, melanie, passion",appreciate,"agree, awesome, caroline, deserves, everyone, helping, kids, melanie, passion, passionate, see, totally"
conv-26_session_19_D19:7,"acceptance, caroline, finding, love, process, self, support, tough","go, offer","acceptance, caroline, difference, empowering, finding, life, long, love, make, mel, need, offer, positive, process, ready, self, someone, support, thanks, tough"
conv-26_session_19_D19:8,"acceptance, caroline, finding, journey, melanie",respect,"acceptance, caroline, finding, helping, inspiring, journey, melanie, must, others, respect, strong, tough"
conv-26_session_19_D19:9,"caroline, comfort, help, invaluable, support","bring, receive","acceptance, anyone, boosted, bringing, brings, caroline, comfort, easy, either, family, find, friends, got, grow, help, helped, helping, invaluable, joy, looked"
conv-26_session_1_D1:1,,,
conv-26_session_1_D1:10,,,
conv-26_session_1_D1:11,,,
conv-26_session_1_D1:12,,,
conv-26_session_1_D1:13,,,
conv-26_session_1_D1:14,"lake, melanie, sunrise",paint,"lake, last, melanie, painted, special, sunrise, yeah, year"
conv-26_session_1_D1:15,,,
conv-26_session_1_D1:16,"feelings, melanie",express,"caroline, creative, day, express, feelings, fun, get, great, long, melanie, painting, relax, thanks, way"
conv-26_session_1_D1:17,,,
conv-26_session_1_D1:18,"go, melanie",go,"care, caroline, go, kids, melanie, soon, swimming, taking, talk, vital, yep"
conv-26_session_1_D1:2,"kids, melanie, work",manage,"anything, caroline, good, hey, kids, melanie, new, see, swamped, work"
conv-26_session_1_D1:3,"caroline, group, lgbtq, support",attend,"caroline, group, lgbtq, powerful, support, went, yesterday"
conv-26_session_1_D1:4,,,
conv-26_session_1_D1:5,,,
conv-26_session_1_D1:6,,,
conv-26_session_1_D1:7,"accept, caroline",accept,"accept, accepted, caroline, courage, embrace, feel, given, group, made, support"
conv-26_session_1_D1:8,,,
conv-26_session_1_D1:9,"caroline, plan",plan,"career, caroline, check, continue, edu, exciting, gonna, options, plan, pretty"
conv-26_session_2_D2:1,"charity, health, melanie, mental, race",run,"care, caroline, charity, chatted, happening, health, hey, last, lot, made, melanie, mental, minds, race, ran, really, rewarding, saturday, since, taking"
conv-26_session_2_D2:10,,,
conv-26_session_2_D2:11,,,
conv-26_session_2_D2:12,"adoption, agency, caroline, folks, helps, lgbtq",choose,"adoption, agency, caroline, cause, chose, folks, help, helps, inclusivity, lgbtq, really, spoke, support"
conv-26_session_2_D2:13,,,
conv-26_session_2_D2:14,"caroline, family, kids, need, one",create,"caroline, challenge, family, kids, make, need, one, parent, single, thrilled, tough"
conv-26_session_2_D2:15,,,
conv-26_session_2_D2:16,,,
conv-26_session_2_D2:17,,,
conv-26_session_2_D2:2,,,
conv-26_session_2_D2:3,"care, impact, importance, melanie, self",realize,"able, better, care, caroline, event, family, impact, importance, important, journey, look, melanie, provoking, realize, really, self, starting, thanks, thought"
conv-26_session_2_D2:4,,,
conv-26_session_2_D2:5,melanie,carve,"carving, day, fam, helps, melanie, playing, present, reading, refreshes, running, stay, time, tough, violin, yeah"
conv-26_session_2_D2:6,,,
conv-26_session_2_D2:7,"consider, melanie",consider,"any, best, break, camping, caroline, consider, excited, fun, going, kids, melanie, month, next, plans, progress, still, summer, thanks, thinking, work"
conv-26_session_2_D2:8,"adoption, agencies, caroline",research,"adoption, agencies, caroline, dream, family, give, home, kids, loving, need, researching"
conv-26_session_2_D2:9,,,
conv-26_session_3_D3:1,"caroline, start, talk","give, start","ago, awesome, caroline, come, community, encouraged, event, far, get, going, great, hey, involved, journey, last, lgbtq, made, melanie, reactions, reflect"
conv-26_session_3_D3:10,,,
conv-26_session_3_D3:11,caroline,motivate,"caroline, family, friends, give, last, mel, mentors, met, motivate, pic, push, rocks, strength, thanks, week"
conv-26_session_3_D3:12,,,
conv-26_session_3_D3:13,"caroline, country, home",move,"breakup, caroline, country, especially, everything, friends, help, home, important, known, love, lucky, mel, moved, really, since, super, supports, thankful, tough"
conv-26_session_3_D3:14,"husband, keep, kids, melanie, motivated",,"husband, keep, kids, lucky, melanie, motivated"
conv-26_session_3_D3:15,,,
conv-26_session_3_D3:16,"melanie, years",marry,"already, caroline, dress, feels, flies, like, melanie, put, thanks, time, years, yesterday"
conv-26_session_3_D3:17,,,
conv-26_session_3_D3:18,,,
conv-26_session_3_D3:19,,,
conv-26_session_3_D3:2,"awareness, melanie",spread,"amazing, awareness, caroline, come, community, courage, event, getting, great, hear, hey, inspiring, involved, keep, lgbtq, like, long, melanie, others, people"
conv-26_session_3_D3:20,"family, melanie, moments",value,"ate, awesome, family, food, fun, games, good, hung, life, make, melanie, moments, played, together"
conv-26_session_3_D3:21,,,
conv-26_session_3_D3:22,"melanie, time",cherish,"absolutely, alive, caroline, cherish, family, feel, happy, melanie, really, time"
conv-26_session_3_D3:23,,,
conv-26_session_3_D3:3,"caroline, voice",give,"able, allies, audience, backing, better, caroline, coming, community, conversations, developed, felt, gender, give, giving, identity, inclusion, inspired, journey, lot, means"
conv-26_session_3_D3:4,"acceptance, inclusivity, melanie",talk,"acceptance, affecting, awesome, brave, caroline, community, crucial, great, inclusivity, inspiring, job, journey, keep, many, melanie, others, part, positively, see, speak"
conv-26_session_3_D3:5,"aim, caroline, experiences, lot, love, support","aim, bless, share","acceptance, aim, always, blessed, build, caroline, community, easy, experiences, feel, help, hope, important, journey, kind, loads, lot, love, mean, mel"
conv-26_session_3_D3:6,,,
conv-26_session_3_D3:7,,,
conv-26_session_3_D3:8,,,
conv-26_session_3_D3:9,,,
conv-26_session_4_D4:1,,,
conv-26_session_4_D4:10,"family, melanie, time",value,"caroline, family, lately, matters, melanie, thanks, time"
conv-26_session_4_D4:11,"career, caroline, counseling, health, mental",consider,"career, caroline, counseling, gone, health, help, into, lately, looking, mental, people, things, want"
conv-26_session_4_D4:12,,,
conv-26_session_4_D4:13,"caroline, counseling, focused, lgbtq, methods, therapeutic, workshop",attend,"accept, amazing, best, caroline, counseling, details, different, enlightening, figuring, focused, friday, health, helping, last, lgbtq, like, making, mental, methods, passionate"
conv-26_session_4_D4:14,,,
conv-26_session_4_D4:15,"caroline, counseling",pursue,"caring, caroline, counseling, creating, difference, go, got, groups, grow, health, help, huge, improved, inviting, journey, life, made, mattered, melanie, mental"
conv-26_session_4_D4:16,,,
conv-26_session_4_D4:17,,,
conv-26_session_4_D4:18,,,
conv-26_session_4_D4:2,,,
conv-26_session_4_D4:3,"caroline, necklace, special",receive,"caroline, country, faith, family, gave, get, gift, grandma, home, like, love, melanie, necklace, reminder, roots, special, stands, strength, super, support"
conv-26_session_4_D4:4,,,
conv-26_session_4_D4:5,"bowl, caroline, friend, hand, made, painted",treasure,"18th, ago, art, awesome, birthday, bowl, caroline, colors, expression, friend, got, hand, like, made, melanie, painted, pattern, reminds, self, sentimental"
conv-26_session_4_D4:6,,,
conv-26_session_4_D4:7,,,
conv-26_session_4_D4:8,"last, melanie, week",go,"amazing, around, awesome, campfire, caroline, even, explored, family, forget, hike, kids, last, love, marshmallows, melanie, moments, nature, never, roasted, special"
conv-26_session_4_D4:9,,,
conv-26_session_5_D5:1,"caroline, lgbtq, parade, pride",attend,"amazing, belonged, big, caroline, community, everyone, feel, grown, happened, happy, last, lgbtq, like, made, much, parade, pride, showed, since, spoke"
conv-26_session_5_D5:10,"emotions, melanie",express,"brings, caroline, clay, emotions, express, helps, hobby, huge, incredible, joy, kind, life, lot, mean, melanie, much, part, pottery, thanks, words"
conv-26_session_5_D5:11,,,
conv-26_session_5_D5:12,,,
conv-26_session_5_D5:13,"caroline, conference, transgender",attend,"advocacy, caroline, community, conference, excited, going, gonna, great, learn, meet, mel, month, people, thanks, transgender"
conv-26_session_5_D5:14,,,
conv-26_session_5_D5:15,,,
conv-26_session_5_D5:16,,,
conv-26_session_5_D5:2,,,
conv-26_session_5_D5:3,"career, caroline, counseling, health, mental",consider,"back, career, caroline, community, counseling, excited, give, go, health, help, made, mel, mental, motivated, others, really, still, story, super, sure"
conv-26_session_5_D5:4,"class, melanie, pottery",sign,"activities, any, caroline, class, creative, express, feel, found, get, great, letting, like, make, melanie, pottery, signed, therapy, way, wow, yesterday"
conv-26_session_5_D5:5,"caroline, piano",learn,"caroline, creative, getting, learning, made, melanie, piano, pottery, try, wow"
conv-26_session_5_D5:6,"calm, melanie",calm,"awesome, big, calm, calming, creativity, fan, look, making, melanie, plus, pottery, skill"
conv-26_session_5_D5:7,,,
conv-26_session_5_D5:8,"black, bowl, melanie, white",make,"black, bowl, caroline, class, made, melanie, pretty, proud, thanks, took, white, work, yeah"
conv-26_session_5_D5:9,,,
conv-26_session_6_D6:1,,,
conv-26_session_6_D6:10,,,
