qa_id,evidence_id,memory_id,sample_id
conv-26_qa_27,D7:9,conv-26_session_7_D7:9,conv-26
conv-26_qa_28,D8:9,conv-26_session_8_D8:9,conv-26
conv-26_qa_29,D8:2,conv-26_session_8_D8:2,conv-26
conv-26_qa_31,D4:8,conv-26_session_4_D4:8,conv-26
conv-26_qa_32,D5:1,conv-26_session_5_D5:1,conv-26
conv-26_qa_32,D8:17,conv-26_session_8_D8:17,conv-26
conv-26_qa_32,D3:1,conv-26_session_3_D3:1,conv-26
conv-26_qa_32,D1:3,conv-26_session_1_D1:3,conv-26
conv-26_qa_33,D5:1,conv-26_session_5_D5:1,conv-26
conv-26_qa_34,D9:2,conv-26_session_9_D9:2,conv-26
conv-26_qa_34,D3:3,conv-26_session_3_D3:3,conv-26
conv-26_qa_35,D9:1,conv-26_session_9_D9:1,conv-26
conv-26_qa_36,D9:2,conv-26_session_9_D9:2,conv-26
conv-26_qa_37,D8:6; D9:17,conv-26_unknown_D8:6; D9:17,conv-26
conv-26_qa_38,D8:4,conv-26_session_8_D8:4,conv-26
conv-26_qa_38,D8:6,conv-26_session_8_D8:6,conv-26
conv-26_qa_38,D9:1,conv-26_session_9_D9:1,conv-26
conv-26_qa_38,D6:4,conv-26_session_6_D6:4,conv-26
conv-26_qa_38,D1:18,conv-26_session_1_D1:18,conv-26
conv-26_qa_38,D3:14,conv-26_session_3_D3:14,conv-26
conv-26_qa_39,D10:3,conv-26_session_10_D10:3,conv-26
conv-26_qa_39,D5:1,conv-26_session_5_D5:1,conv-26
conv-26_qa_39,D9:12,conv-26_session_9_D9:12,conv-26
conv-26_qa_39,D9:2,conv-26_session_9_D9:2,conv-26
conv-26_qa_40,D10:8,conv-26_session_10_D10:8,conv-26
conv-26_qa_40,D6:16,conv-26_session_6_D6:16,conv-26
conv-26_qa_41,D10:3,conv-26_session_10_D10:3,conv-26
conv-26_qa_42,D10:12,conv-26_session_10_D10:12,conv-26
conv-26_qa_42,D10:14,conv-26_session_10_D10:14,conv-26
conv-26_qa_43,D11:12,conv-26_session_11_D11:12,conv-26
conv-26_qa_43,D11:8,conv-26_session_11_D11:8,conv-26
conv-26_qa_43,D9:14,conv-26_session_9_D9:14,conv-26
conv-26_qa_44,D11:1,conv-26_session_11_D11:1,conv-26
conv-26_qa_45,D11:4,conv-26_session_11_D11:4,conv-26
conv-26_qa_47,D12:1,conv-26_session_12_D12:1,conv-26
conv-26_qa_47,D3:11,conv-26_session_3_D3:11,conv-26
conv-26_qa_48,D12:14,conv-26_session_12_D12:14,conv-26
conv-26_qa_48,D8:4,conv-26_session_8_D8:4,conv-26
conv-26_qa_48,D5:6,conv-26_session_5_D5:6,conv-26
conv-26_qa_49,D12:15,conv-26_session_12_D12:15,conv-26
conv-26_qa_50,D12:1,conv-26_session_12_D12:1,conv-26
conv-26_qa_51,D13:8,conv-26_session_13_D13:8,conv-26
conv-26_qa_51,D8:6,conv-26_session_8_D8:6,conv-26
conv-26_qa_51,D1:12,conv-26_session_1_D1:12,conv-26
conv-26_qa_52,D13:4,conv-26_session_13_D13:4,conv-26
conv-26_qa_52,D7:18,conv-26_session_7_D7:18,conv-26
conv-26_qa_53,D13:1,conv-26_session_13_D13:1,conv-26
conv-26_qa_54,D13:11,conv-26_session_13_D13:11,conv-26
conv-26_qa_55,D14:5,conv-26_session_14_D14:5,conv-26
conv-26_qa_55,D8:6,conv-26_session_8_D8:6,conv-26
conv-26_qa_56,D14:15,conv-26_session_14_D14:15,conv-26
conv-26_qa_56,D4:1,conv-26_session_4_D4:1,conv-26
conv-26_qa_57,D14:1,conv-26_session_14_D14:1,conv-26
conv-26_qa_58,D14:4,conv-26_session_14_D14:4,conv-26
conv-26_qa_59,D14:19,conv-26_session_14_D14:19,conv-26
conv-26_qa_59,D12:1,conv-26_session_12_D12:1,conv-26
conv-26_qa_60,D15:26,conv-26_session_15_D15:26,conv-26
conv-26_qa_60,D2:5,conv-26_session_2_D2:5,conv-26
conv-26_qa_61,D15:16,conv-26_session_15_D15:16,conv-26
conv-26_qa_61,D11:3,conv-26_session_11_D11:3,conv-26
conv-26_qa_62,D15:2,conv-26_session_15_D15:2,conv-26
conv-26_qa_63,D15:11,conv-26_session_15_D15:11,conv-26
conv-26_qa_64,D15:28,conv-26_session_15_D15:28,conv-26
conv-26_qa_65,D16:15,conv-26_session_16_D16:15,conv-26
conv-26_qa_65,D11:14,conv-26_session_11_D11:14,conv-26
conv-26_qa_66,D16:4,conv-26_session_16_D16:4,conv-26
conv-26_qa_66,D10:12,conv-26_session_10_D10:12,conv-26
conv-26_qa_67,D16:1,conv-26_session_16_D16:1,conv-26
conv-26_qa_68,D16:8,conv-26_session_16_D16:8,conv-26
conv-26_qa_69,D16:18,conv-26_session_16_D16:18,conv-26
conv-26_qa_69,D13:16,conv-26_session_13_D13:16,conv-26
conv-26_qa_69,D7:4,conv-26_session_7_D7:4,conv-26
conv-26_qa_70,D17:19,conv-26_session_17_D17:19,conv-26
conv-26_qa_70,D15:13,conv-26_session_15_D15:13,conv-26
conv-26_qa_71,D7:11,conv-26_session_7_D7:11,conv-26
conv-26_qa_71,D17:10,conv-26_session_17_D17:10,conv-26
conv-26_qa_72,D17:3,conv-26_session_17_D17:3,conv-26
conv-26_qa_73,D17:8,conv-26_session_17_D17:8,conv-26
conv-26_qa_74,D18:1,conv-26_session_18_D18:1,conv-26
conv-26_qa_75,D18:1,conv-26_session_18_D18:1,conv-26
conv-26_qa_75,D18:7,conv-26_session_18_D18:7,conv-26
conv-26_qa_76,D18:17,conv-26_session_18_D18:17,conv-26
conv-26_qa_77,D18:3,conv-26_session_18_D18:3,conv-26
conv-26_qa_77,D18:1,conv-26_session_18_D18:1,conv-26
conv-26_qa_78,D19:2,conv-26_session_19_D19:2,conv-26
conv-26_qa_78,D7:18,conv-26_session_7_D7:18,conv-26
conv-26_qa_79,D19:1,conv-26_session_19_D19:1,conv-26
conv-26_qa_80,D19:2,conv-26_session_19_D19:2,conv-26
conv-26_qa_81,D19:1,conv-26_session_19_D19:1,conv-26
conv-26_qa_81,D19:3,conv-26_session_19_D19:3,conv-26
conv-26_qa_82,D2:2,conv-26_session_2_D2:2,conv-26
conv-26_qa_83,D2:3,conv-26_session_2_D2:3,conv-26
conv-26_qa_84,D2:5,conv-26_session_2_D2:5,conv-26
conv-26_qa_85,D2:8,conv-26_session_2_D2:8,conv-26
conv-26_qa_86,D2:12,conv-26_session_2_D2:12,conv-26
conv-26_qa_87,D2:12,conv-26_session_2_D2:12,conv-26
conv-26_qa_88,D2:14,conv-26_session_2_D2:14,conv-26
conv-26_qa_89,D2:15,conv-26_session_2_D2:15,conv-26
conv-26_qa_90,D3:16,conv-26_session_3_D3:16,conv-26
conv-26_qa_91,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_92,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_93,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_94,D4:5,conv-26_session_4_D4:5,conv-26
conv-26_qa_95,D4:8,conv-26_session_4_D4:8,conv-26
conv-26_qa_96,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_97,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_98,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_99,D4:15,conv-26_session_4_D4:15,conv-26
conv-26_qa_100,D4:15,conv-26_session_4_D4:15,conv-26
conv-26_qa_101,D5:8,conv-26_session_5_D5:8,conv-26
conv-26_qa_102,D6:9,conv-26_session_6_D6:9,conv-26
conv-26_qa_103,D6:10,conv-26_session_6_D6:10,conv-26
conv-26_qa_104,D7:11,conv-26_session_7_D7:11,conv-26
conv-26_qa_105,D7:13,conv-26_session_7_D7:13,conv-26
conv-26_qa_106,D7:19,conv-26_session_7_D7:19,conv-26
conv-26_qa_107,D7:21,conv-26_session_7_D7:21,conv-26
conv-26_qa_108,D7:24,conv-26_session_7_D7:24,conv-26
conv-26_qa_109,D8:2,conv-26_session_8_D8:2,conv-26
conv-26_qa_110,D8:4,conv-26_session_8_D8:4,conv-26
conv-26_qa_111,D8:5,conv-26_session_8_D8:5,conv-26
conv-26_qa_112,D8:6,conv-26_session_8_D8:6,conv-26
conv-26_qa_113,D8:9,conv-26_session_8_D8:9,conv-26
conv-26_qa_114,D8:11,conv-26_session_8_D8:11,conv-26
conv-26_qa_115,D8:12,conv-26_session_8_D8:12,conv-26
conv-26_qa_116,D9:16,conv-26_session_9_D9:16,conv-26
conv-26_qa_117,D10:10,conv-26_session_10_D10:10,conv-26
conv-26_qa_118,D10:14,conv-26_session_10_D10:14,conv-26
conv-26_qa_119,D10:18,conv-26_session_10_D10:18,conv-26
conv-26_qa_120,D11:1,conv-26_session_11_D11:1,conv-26
conv-26_qa_121,D11:3,conv-26_session_11_D11:3,conv-26
conv-26_qa_122,D12:6,conv-26_session_12_D12:6,conv-26
conv-26_qa_123,D13:3,conv-26_session_13_D13:3,conv-26
conv-26_qa_124,D13:4,conv-26_session_13_D13:4,conv-26
conv-26_qa_125,D13:6,conv-26_session_13_D13:6,conv-26
conv-26_qa_126,D13:7,conv-26_session_13_D13:7,conv-26
conv-26_qa_127,D14:17,conv-26_session_14_D14:17,conv-26
conv-26_qa_128,D14:23,conv-26_session_14_D14:23,conv-26
conv-26_qa_129,D15:23,conv-26_session_15_D15:23,conv-26
conv-26_qa_130,D15:28,conv-26_session_15_D15:28,conv-26
conv-26_qa_131,D15:28,conv-26_session_15_D15:28,conv-26
conv-26_qa_132,D16:7,conv-26_session_16_D16:7,conv-26
conv-26_qa_133,D16:16,conv-26_session_16_D16:16,conv-26
conv-26_qa_134,D17:7,conv-26_session_17_D17:7,conv-26
conv-26_qa_135,D17:8,conv-26_session_17_D17:8,conv-26
conv-26_qa_136,D17:10,conv-26_session_17_D17:10,conv-26
conv-26_qa_137,D17:12,conv-26_session_17_D17:12,conv-26
conv-26_qa_138,D17:14,conv-26_session_17_D17:14,conv-26
conv-26_qa_139,D17:18,conv-26_session_17_D17:18,conv-26
conv-26_qa_140,D17:19,conv-26_session_17_D17:19,conv-26
conv-26_qa_141,D17:23,conv-26_session_17_D17:23,conv-26
conv-26_qa_142,D17:25,conv-26_session_17_D17:25,conv-26
conv-26_qa_143,D18:1,conv-26_session_18_D18:1,conv-26
conv-26_qa_144,D18:6,conv-26_session_18_D18:6,conv-26
conv-26_qa_144,D18:7,conv-26_session_18_D18:7,conv-26
conv-26_qa_145,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_146,D18:7,conv-26_session_18_D18:7,conv-26
conv-26_qa_147,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_148,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_149,D18:9,conv-26_session_18_D18:9,conv-26
conv-26_qa_150,D18:13,conv-26_session_18_D18:13,conv-26
conv-26_qa_151,D18:17,conv-26_session_18_D18:17,conv-26
conv-26_qa_152,D2:3,conv-26_session_2_D2:3,conv-26
conv-26_qa_153,D2:8,conv-26_session_2_D2:8,conv-26
conv-26_qa_154,D2:12,conv-26_session_2_D2:12,conv-26
conv-26_qa_155,D2:12,conv-26_session_2_D2:12,conv-26
conv-26_qa_156,D2:14,conv-26_session_2_D2:14,conv-26
conv-26_qa_157,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_158,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_159,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_160,D4:3,conv-26_session_4_D4:3,conv-26
conv-26_qa_161,D4:5,conv-26_session_4_D4:5,conv-26
conv-26_qa_162,D4:8,conv-26_session_4_D4:8,conv-26
conv-26_qa_163,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_164,D4:13,conv-26_session_4_D4:13,conv-26
conv-26_qa_165,D4:15,conv-26_session_4_D4:15,conv-26
conv-26_qa_166,D4:15,conv-26_session_4_D4:15,conv-26
conv-26_qa_167,D5:8,conv-26_session_5_D5:8,conv-26
conv-26_qa_168,D7:19,conv-26_session_7_D7:19,conv-26
conv-26_qa_169,D7:21,conv-26_session_7_D7:21,conv-26
conv-26_qa_170,D7:24,conv-26_session_7_D7:24,conv-26
conv-26_qa_171,D8:9,conv-26_session_8_D8:9,conv-26
conv-26_qa_172,D9:16,conv-26_session_9_D9:16,conv-26
conv-26_qa_173,D9:16,conv-26_session_9_D9:16,conv-26
conv-26_qa_174,D10:10,conv-26_session_10_D10:10,conv-26
conv-26_qa_175,D10:14,conv-26_session_10_D10:14,conv-26
conv-26_qa_176,D10:18,conv-26_session_10_D10:18,conv-26
conv-26_qa_177,D12:6,conv-26_session_12_D12:6,conv-26
conv-26_qa_178,D13:3,conv-26_session_13_D13:3,conv-26
conv-26_qa_179,D13:6,conv-26_session_13_D13:6,conv-26
conv-26_qa_180,D13:7,conv-26_session_13_D13:7,conv-26
conv-26_qa_181,D14:17,conv-26_session_14_D14:17,conv-26
conv-26_qa_182,D14:23,conv-26_session_14_D14:23,conv-26
conv-26_qa_183,D15:23,conv-26_session_15_D15:23,conv-26
conv-26_qa_184,D15:26,conv-26_session_15_D15:26,conv-26
conv-26_qa_185,D15:28,conv-26_session_15_D15:28,conv-26
conv-26_qa_186,D15:28,conv-26_session_15_D15:28,conv-26
conv-26_qa_187,D16:16,conv-26_session_16_D16:16,conv-26
conv-26_qa_188,D17:8,conv-26_session_17_D17:8,conv-26
conv-26_qa_189,D17:10,conv-26_session_17_D17:10,conv-26
conv-26_qa_190,D17:18,conv-26_session_17_D17:18,conv-26
conv-26_qa_191,D18:1,conv-26_session_18_D18:1,conv-26
conv-26_qa_192,D18:6,conv-26_session_18_D18:6,conv-26
conv-26_qa_192,D18:7,conv-26_session_18_D18:7,conv-26
conv-26_qa_193,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_194,D18:7,conv-26_session_18_D18:7,conv-26
conv-26_qa_195,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_196,D18:5,conv-26_session_18_D18:5,conv-26
conv-26_qa_197,D18:17,conv-26_session_18_D18:17,conv-26
conv-26_qa_198,D18:21,conv-26_session_18_D18:21,conv-26
conv-30_qa_0,D1:2,conv-30_session_1_D1:2,conv-30
conv-30_qa_1,D1:3,conv-30_session_1_D1:3,conv-30
conv-30_qa_2,D1:7,conv-30_session_1_D1:7,conv-30
conv-30_qa_2,D1:6,conv-30_session_1_D1:6,conv-30
conv-30_qa_3,D1:2,conv-30_session_1_D1:2,conv-30
conv-30_qa_3,D1:3,conv-30_session_1_D1:3,conv-30
conv-30_qa_3,D1:4,conv-30_session_1_D1:4,conv-30
conv-30_qa_3,D2:1,conv-30_session_2_D2:1,conv-30
conv-30_qa_4,D1:2,conv-30_session_1_D1:2,conv-30
conv-30_qa_4,D1:4,conv-30_session_1_D1:4,conv-30
conv-30_qa_5,D1:20,conv-30_session_1_D1:20,conv-30
conv-30_qa_5,D2:4,conv-30_session_2_D2:4,conv-30
conv-30_qa_5,D2:8,conv-30_session_2_D2:8,conv-30
conv-30_qa_6,D1:24,conv-30_session_1_D1:24,conv-30
conv-30_qa_7,D2:1,conv-30_session_2_D2:1,conv-30
conv-30_qa_8,D2:4,conv-30_session_2_D2:4,conv-30
conv-30_qa_9,D2:5,conv-30_session_2_D2:5,conv-30
conv-30_qa_9,D15:1,conv-30_session_15_D15:1,conv-30
conv-30_qa_10,D5:5,conv-30_session_5_D5:5,conv-30
conv-30_qa_11,D5:15,conv-30_session_5_D5:15,conv-30
conv-30_qa_12,D6:1,conv-30_session_6_D6:1,conv-30
conv-30_qa_13,D6:6,conv-30_session_6_D6:6,conv-30
conv-30_qa_14,D8:13,conv-30_session_8_D8:13,conv-30
conv-30_qa_15,D8:13,conv-30_session_8_D8:13,conv-30
conv-30_qa_16,D10:1,conv-30_session_10_D10:1,conv-30
conv-30_qa_17,D6:8,conv-30_session_6_D6:8,conv-30
conv-30_qa_17,D1:3,conv-30_session_1_D1:3,conv-30
conv-30_qa_18,D1:4,conv-30_session_1_D1:4,conv-30
conv-30_qa_18,D6:8,conv-30_session_6_D6:8,conv-30
conv-30_qa_19,D11:14,conv-30_session_11_D11:14,conv-30
conv-30_qa_20,D12:1,conv-30_session_12_D12:1,conv-30
conv-30_qa_21,D12:6,conv-30_session_12_D12:6,conv-30
conv-30_qa_22,D13:4,conv-30_session_13_D13:4,conv-30
conv-30_qa_23,D5:5,conv-30_session_5_D5:5,conv-30
conv-30_qa_23,D16:3,conv-30_session_16_D16:3,conv-30
conv-30_qa_23,D8:4,conv-30_session_8_D8:4,conv-30
conv-30_qa_23,D13:4,conv-30_session_13_D13:4,conv-30
conv-30_qa_24,D10:1,conv-30_session_10_D10:1,conv-30
conv-30_qa_24,D16:6,conv-30_session_16_D16:6,conv-30
conv-30_qa_24,D8:4,conv-30_session_8_D8:4,conv-30
conv-30_qa_25,D13:7,conv-30_session_13_D13:7,conv-30
conv-30_qa_25,D8:13,conv-30_session_8_D8:13,conv-30
conv-30_qa_26,D14:1,conv-30_session_14_D14:1,conv-30
conv-30_qa_27,D1:14,conv-30_session_1_D1:14,conv-30
conv-30_qa_27,D14:14,conv-30_session_14_D14:14,conv-30
conv-30_qa_27,D1:16,conv-30_session_1_D1:16,conv-30
conv-30_qa_27,D1:17,conv-30_session_1_D1:17,conv-30
conv-30_qa_27,D9:10,conv-30_session_9_D9:10,conv-30
conv-30_qa_28,D15:1,conv-30_session_15_D15:1,conv-30
conv-30_qa_29,D2:4,conv-30_session_2_D2:4,conv-30
conv-30_qa_29,D15:1,conv-30_session_15_D15:1,conv-30
conv-30_qa_30,D15:5,conv-30_session_15_D15:5,conv-30
conv-30_qa_31,D1:2,conv-30_session_1_D1:2,conv-30
conv-30_qa_31,D15:13,conv-30_session_15_D15:13,conv-30
conv-30_qa_32,D16:3,conv-30_session_16_D16:3,conv-30
conv-30_qa_33,D16:6,conv-30_session_16_D16:6,conv-30
conv-30_qa_34,D17:1,conv-30_session_17_D17:1,conv-30
conv-30_qa_35,D17:4,conv-30_session_17_D17:4,conv-30
conv-30_qa_36,D18:18,conv-30_session_18_D18:18,conv-30
conv-30_qa_37,D19:4,conv-30_session_19_D19:4,conv-30
conv-30_qa_38,D19:6,conv-30_session_19_D19:6,conv-30
conv-30_qa_39,D1:9,conv-30_session_1_D1:9,conv-30
conv-30_qa_40,D1:8,conv-30_session_1_D1:8,conv-30
conv-30_qa_41,D1:17,conv-30_session_1_D1:17,conv-30
conv-30_qa_42,D1:19,conv-30_session_1_D1:19,conv-30
conv-30_qa_43,D1:25,conv-30_session_1_D1:25,conv-30
conv-30_qa_44,D1:26,conv-30_session_1_D1:26,conv-30
conv-30_qa_45,D1:28,conv-30_session_1_D1:28,conv-30
conv-30_qa_46,D2:8,conv-30_session_2_D2:8,conv-30
conv-30_qa_47,D3:2,conv-30_session_3_D3:2,conv-30
conv-30_qa_48,D3:4,conv-30_session_3_D3:4,conv-30
conv-30_qa_49,D3:6,conv-30_session_3_D3:6,conv-30
conv-30_qa_49,D3:8,conv-30_session_3_D3:8,conv-30
conv-30_qa_50,D3:3,conv-30_session_3_D3:3,conv-30
conv-30_qa_51,D3:6,conv-30_session_3_D3:6,conv-30
conv-30_qa_52,D3:9,conv-30_session_3_D3:9,conv-30
conv-30_qa_53,D3:8,conv-30_session_3_D3:8,conv-30
conv-30_qa_54,D4:2,conv-30_session_4_D4:2,conv-30
conv-30_qa_55,D5:15,conv-30_session_5_D5:15,conv-30
conv-30_qa_56,D6:15,conv-30_session_6_D6:15,conv-30
conv-30_qa_56,D6:16,conv-30_session_6_D6:16,conv-30
conv-30_qa_57,D7:5,conv-30_session_7_D7:5,conv-30
conv-30_qa_58,D8:1,conv-30_session_8_D8:1,conv-30
conv-30_qa_59,D8:8,conv-30_session_8_D8:8,conv-30
conv-30_qa_60,D9:5,conv-30_session_9_D9:5,conv-30
conv-30_qa_61,D9:10,conv-30_session_9_D9:10,conv-30
conv-30_qa_62,D10:8,conv-30_session_10_D10:8,conv-30
conv-30_qa_63,D12:1,conv-30_session_12_D12:1,conv-30
conv-30_qa_64,D12:3,conv-30_session_12_D12:3,conv-30
conv-30_qa_65,D12:6,conv-30_session_12_D12:6,conv-30
conv-30_qa_66,D13:7,conv-30_session_13_D13:7,conv-30
conv-30_qa_67,D13:11,conv-30_session_13_D13:11,conv-30
conv-30_qa_68,D14:17,conv-30_session_14_D14:17,conv-30
conv-30_qa_69,D15:1,conv-30_session_15_D15:1,conv-30
conv-30_qa_70,D15:3,conv-30_session_15_D15:3,conv-30
conv-30_qa_71,D15:6,conv-30_session_15_D15:6,conv-30
conv-30_qa_72,D15:7,conv-30_session_15_D15:7,conv-30
conv-30_qa_73,D15:8,conv-30_session_15_D15:8,conv-30
conv-30_qa_74,D15:9,conv-30_session_15_D15:9,conv-30
conv-30_qa_75,D15:12,conv-30_session_15_D15:12,conv-30
conv-30_qa_76,D15:18,conv-30_session_15_D15:18,conv-30
conv-30_qa_76,D15:19,conv-30_session_15_D15:19,conv-30
conv-30_qa_77,D16:3,conv-30_session_16_D16:3,conv-30
conv-30_qa_78,D17:7,conv-30_session_17_D17:7,conv-30
conv-30_qa_79,D18:2,conv-30_session_18_D18:2,conv-30
conv-30_qa_80,D18:10,conv-30_session_18_D18:10,conv-30
conv-30_qa_81,D18:13,conv-30_session_18_D18:13,conv-30
conv-30_qa_82,D1:8,conv-30_session_1_D1:8,conv-30
conv-30_qa_83,D1:17,conv-30_session_1_D1:17,conv-30
conv-30_qa_84,D1:19,conv-30_session_1_D1:19,conv-30
conv-30_qa_85,D1:28,conv-30_session_1_D1:28,conv-30
conv-30_qa_86,D2:8,conv-30_session_2_D2:8,conv-30
conv-30_qa_87,D3:2,conv-30_session_3_D3:2,conv-30
conv-30_qa_88,D3:4,conv-30_session_3_D3:4,conv-30
conv-30_qa_89,D3:6,conv-30_session_3_D3:6,conv-30
conv-30_qa_89,D3:8,conv-30_session_3_D3:8,conv-30
conv-30_qa_90,D3:6,conv-30_session_3_D3:6,conv-30
conv-30_qa_91,D4:2,conv-30_session_4_D4:2,conv-30
conv-30_qa_92,D5:15,conv-30_session_5_D5:15,conv-30
conv-30_qa_93,D8:1,conv-30_session_8_D8:1,conv-30
conv-30_qa_94,D8:8,conv-30_session_8_D8:8,conv-30
conv-30_qa_95,D9:10,conv-30_session_9_D9:10,conv-30
conv-30_qa_96,D12:1,conv-30_session_12_D12:1,conv-30
conv-30_qa_97,D12:3,conv-30_session_12_D12:3,conv-30
conv-30_qa_98,D12:3,conv-30_session_12_D12:3,conv-30
conv-30_qa_99,D12:6,conv-30_session_12_D12:6,conv-30
conv-30_qa_100,D13:11,conv-30_session_13_D13:11,conv-30
conv-30_qa_101,D15:1,conv-30_session_15_D15:1,conv-30
conv-30_qa_102,D16:3,conv-30_session_16_D16:3,conv-30
conv-30_qa_103,D18:2,conv-30_session_18_D18:2,conv-30
conv-30_qa_104,D18:10,conv-30_session_18_D18:10,conv-30
conv-41_qa_0,D13:16,conv-41_session_13_D13:16,conv-41
conv-41_qa_1,D2:1,conv-41_session_2_D2:1,conv-41
conv-41_qa_2,D2:28,conv-41_session_2_D2:28,conv-41
conv-41_qa_2,D1:4,conv-41_session_1_D1:4,conv-41
conv-41_qa_3,D3:5,conv-41_session_3_D3:5,conv-41
conv-41_qa_3,D2:1,conv-41_session_2_D2:1,conv-41
conv-41_qa_4,D3:1,conv-41_session_3_D3:1,conv-41
conv-41_qa_5,D3:15,conv-41_session_3_D3:15,conv-41
conv-41_qa_6,D4:1,conv-41_session_4_D4:1,conv-41
conv-41_qa_6,D2:1,conv-41_session_2_D2:1,conv-41
conv-41_qa_6,D19:1,conv-41_session_19_D19:1,conv-41
conv-41_qa_6,D14:10,conv-41_session_14_D14:10,conv-41
conv-41_qa_7,D5:13,conv-41_session_5_D5:13,conv-41
conv-41_qa_7,D3:15,conv-41_session_3_D3:15,conv-41
conv-41_qa_8,D5:5,conv-41_session_5_D5:5,conv-41
conv-41_qa_9,D6:9,conv-41_session_6_D6:9,conv-41
conv-41_qa_9,D5:8,conv-41_session_5_D5:8,conv-41
conv-41_qa_10,D7:1,conv-41_session_7_D7:1,conv-41
conv-41_qa_11,D7:5,conv-41_session_7_D7:5,conv-41
conv-41_qa_11,D6:5,conv-41_session_6_D6:5,conv-41
conv-41_qa_11,D27:8,conv-41_session_27_D27:8,conv-41
conv-41_qa_11,D21:19,conv-41_session_21_D21:19,conv-41
conv-41_qa_12,D8:18,conv-41_session_8_D8:18,conv-41
conv-41_qa_12,D3:11,conv-41_session_3_D3:11,conv-41
conv-41_qa_13,D8:1,conv-41_session_8_D8:1,conv-41
conv-41_qa_14,D8:18,conv-41_session_8_D8:18,conv-41
conv-41_qa_14,D8:20,conv-41_session_8_D8:20,conv-41
conv-41_qa_15,D9:1,conv-41_session_9_D9:1,conv-41
conv-41_qa_15,D7:1,conv-41_session_7_D7:1,conv-41
