memory_id,conversation_id,representation,token_count
conv-26_session_11_D11:8,conv-26,"Entities: art, caroline, diversity, inclusivity
Relations: represent
Keywords: acceptance, art, caroline, community, cool, diversity, important, inclusivity, lgbtq, painting, pic, push, recent, representing, speak, use",24
conv-26_session_11_D11:9,conv-26,,0
conv-26_session_11_D11:10,conv-26,"Entities: caroline, focus
Relations: focus
Keywords: art, caroline, community, experience, expressing, focus, helping, people, showing, story, trans, understand, way",19
conv-26_session_11_D11:11,conv-26,,0
conv-26_session_11_D11:12,conv-26,"Entities: caroline, paint
Relations: paint
Keywords: acceptance, aim, caroline, comfort, embracing, finding, identity, journey, love, melanie, one, paint, painting, self, show, stands, thanks, warmth, woman",25
conv-26_session_11_D11:13,conv-26,"Entities: art, caroline, melanie
Relations: admire
Keywords: acceptance, art, caroline, discovery, gorgeous, help, journey, love, melanie, self, theme, wow",19
conv-26_session_11_D11:14,conv-26,"Entities: caroline, heal
Relations: heal
Keywords: accept, allowed, art, beauty, body, caroline, changing, explore, going, great, heal, imperfections, love, stuff, teaches, transition, way, work",24
conv-26_session_11_D11:15,conv-26,,0
conv-26_session_11_D11:16,conv-26,"Entities: art, caroline, experiences
Relations: share
Keywords: art, caroline, experiences, lot, means, melanie, share, thanks",15
conv-26_session_11_D11:17,conv-26,,0
conv-26_session_12_D12:1,conv-26,"Entities: accept, caroline, conservatives, group, into, religious, upset
Relations: accept, run
Keywords: accept, around, caroline, conservatives, doin, experience, great, group, helpful, hey, hike, into, know, lgbtq, made, mel, much, ok, people, ran",32
conv-26_session_12_D12:2,conv-26,"Entities: another, melanie, pottery, project
Relations: finish
Keywords: another, caroline, closed, finished, fyi, helps, hey, hike, melanie, minded, people, pic, pottery, project, really, see, sorry, strong, sucks, support",28
conv-26_session_12_D12:3,conv-26,,0
conv-26_session_12_D12:4,conv-26,,0
conv-26_session_12_D12:5,conv-26,,0
conv-26_session_12_D12:6,conv-26,,0
conv-26_session_12_D12:7,conv-26,,0
conv-26_session_12_D12:8,conv-26,"Entities: happiness, melanie, pottery, project, source
Relations: consider, memory
Keywords: always, art, brings, caroline, comfort, connection, experience, felt, fulfillment, glad, happiness, huge, learning, lot, mean, melanie, much, pottery, project, really",30
conv-26_session_12_D12:9,conv-26,"Entities: caroline, express
Relations: express
Keywords: anything, bring, caroline, else, express, found, glad, happy, important, joy, life, makes, short, something, surrounding, things, us",23
conv-26_session_12_D12:10,conv-26,,0
conv-26_session_12_D12:11,conv-26,"Entities: caroline, go
Relations: go
Keywords: caroline, clinging, definitely, even, finding, go, going, happy, hard, keeps, key, life, like, lucky, mel, moments, people, remind, us",25
conv-26_session_12_D12:12,conv-26,,0
conv-26_session_12_D12:13,conv-26,"Entities: appreciation, caroline, friendship, melanie
Relations: express
Keywords: appreciate, appreciation, caroline, corner, friendship, lot, means, melanie, thanks",17
conv-26_session_12_D12:14,conv-26,"Entities: melanie, value
Relations: value
Keywords: always, appreciate, caroline, friendship, melanie, value",12
conv-26_session_12_D12:15,conv-26,"Entities: caroline, friends, supportive
Relations: value
Keywords: always, blast, caroline, definitely, everything, fest, friends, last, make, mel, pride, supportive, worth, year",21
conv-26_session_12_D12:16,conv-26,"Entities: melanie, suggest
Relations: suggest
Keywords: blast, family, fun, gang, melanie, much, outing, suggest, summer, wanna, whole",17
conv-26_session_12_D12:17,conv-26,,0
conv-26_session_12_D12:18,conv-26,,0
conv-26_session_12_D12:19,conv-26,,0
conv-26_session_12_D12:20,conv-26,,0
conv-26_session_12_D12:21,conv-26,,0
conv-26_session_13_D13:1,conv-26,"Entities: adoption, advice, assistance, becoming, caroline, first, group, help, mom, step, towards
Relations: attend, take
Keywords: adoption, advice, agencies, applied, assistance, attended, becoming, big, caroline, child, decision, first, give, good, got, great, group, guess, help, hi",36
conv-26_session_13_D13:2,conv-26,,0
conv-26_session_13_D13:3,conv-26,"Entities: caroline, oscar
Relations: name
Keywords: big, caroline, exciting, great, guinea, kinda, mel, nerve, oscar, parenting, pets, pig, responsibility, thanks, wracking, yup",22
conv-26_session_13_D13:4,conv-26,"Entities: another, bailey, cat, melanie, named
Relations: include
Keywords: another, asking, bailey, big, cat, decision, excited, good, got, melanie, named, nervous, normal, oliver, one, oscar, pic, show, thanks, yeah",29
conv-26_session_13_D13:5,conv-26,,0
conv-26_session_13_D13:6,conv-26,,0
conv-26_session_13_D13:7,conv-26,"Entities: caroline, horses, use
Relations: love, use
Keywords: always, caroline, dad, feeling, fields, funny, go, horseback, horses, kid, love, riding, special, use, used, wind",24
conv-26_session_13_D13:8,conv-26,"Entities: horse, melanie, painting, photo
Relations: share
Keywords: agree, awesome, great, horse, melanie, painting, photo, recently, sounds, wow",18
conv-26_session_13_D13:9,conv-26,,0
conv-26_session_13_D13:10,conv-26,"Entities: enjoy, melanie
Relations: enjoy
Keywords: caroline, enjoy, glad, grace, horses, like, love, melanie, paint, peaceful, special, thanks, yeah",19
conv-26_session_13_D13:11,conv-26,,0
conv-26_session_13_D13:12,conv-26,,0
conv-26_session_13_D13:13,conv-26,"Entities: caroline
Relations: express
Keywords: caroline, definitely, empowered, explore, felt, helps, identity, liberated, mel, painting, thanks, therapeutic, true",18
conv-26_session_13_D13:14,conv-26,"Entities: melanie
Relations: express
Keywords: art, awesome, caroline, else, getting, great, helps, melanie, really, showing, touch, us, wow",18
conv-26_session_13_D13:15,conv-26,"Entities: caroline, lgbtq, rights
Relations: promote
Keywords: around, art, authentically, caroline, freedom, gives, help, lgbtq, live, melanie, others, people, promoting, rights, sense, supportive, thanks, true, want",26
conv-26_session_13_D13:16,conv-26,,0
conv-26_session_13_D13:17,conv-26,,0
conv-26_session_13_D13:18,conv-26,,0
conv-26_session_14_D14:1,conv-26,"Entities: caroline, last, week
Relations: go
Keywords: apologize, bad, bugged, caroline, going, got, hey, hiking, into, last, mel, people, really, something, spot, tell, tried, want, week, went",27
conv-26_session_14_D14:2,conv-26,,0
conv-26_session_14_D14:3,conv-26,,0
conv-26_session_14_D14:4,conv-26,"Entities: melanie, relax
Relations: relax
Keywords: class, creative, love, made, melanie, pottery, relax, relaxing, tried, yeah, yesterday, yet",18
conv-26_session_14_D14:5,conv-26,,0
conv-26_session_14_D14:6,conv-26,,0
conv-26_session_14_D14:7,conv-26,"Entities: beach, caroline, inspired, sunset, visit, vivid
Relations: paint
Keywords: amazing, beach, calming, capture, caroline, colors, dip, feeling, horizon, inspired, last, melanie, painted, painting, seeing, sun, sunset, thanks, try, visit",30
conv-26_session_14_D14:8,conv-26,,0
conv-26_session_14_D14:9,conv-26,,0
conv-26_session_14_D14:10,conv-26,"Entities: family, melanie
Relations: volunteer
Keywords: actually, art, connects, cool, day, difference, fam, family, feel, great, hard, helps, homeless, like, make, melanie, neglected, people, remembering, see",26
conv-26_session_14_D14:11,conv-26,,0
conv-26_session_14_D14:12,conv-26,,0
conv-26_session_14_D14:13,conv-26,"Entities: caroline, transition
Relations: transition
Keywords: accepted, caroline, community, difference, finding, get, going, huge, like, lot, loved, made, meant, mural, people, really, special, stuff, supported, transition",26
conv-26_session_14_D14:14,conv-26,,0
conv-26_session_14_D14:15,conv-26,"Entities: caroline, courage, flag, mural, rainbow, strength, symbolizing
Relations: create
Keywords: caroline, community, courage, eagle, flag, freedom, important, mural, others, pride, rainbow, reflects, representing, resilience, strength, symbolizes, symbolizing, trans",29
conv-26_session_14_D14:16,conv-26,"Entities: caroline, courage, melanie, person, trans
Relations: admire
Keywords: any, art, awe, caroline, courage, lately, made, melanie, person, trans",19
conv-26_session_14_D14:17,conv-26,,0
conv-26_session_14_D14:18,conv-26,,0
conv-26_session_14_D14:19,conv-26,"Entities: caroline, stain
Relations: stain
Keywords: accept, caroline, change, changing, church, growth, journey, lives, local, made, show, shows, stain, thanks, time, transgender, woman",23
conv-26_session_14_D14:20,conv-26,,0
conv-26_session_14_D14:21,conv-26,,0
conv-26_session_14_D14:22,conv-26,,0
conv-26_session_14_D14:23,conv-26,"Entities: caroline
Relations: remind
Keywords: acceptance, across, came, caroline, cool, even, everywhere, expect, least, love, month, neighborhood, picture, pride, rainbow, reminds, sidewalk, take, us, vibrant",25
conv-26_session_14_D14:24,conv-26,,0
conv-26_session_14_D14:25,conv-26,,0
conv-26_session_14_D14:26,conv-26,,0
conv-26_session_14_D14:27,conv-26,,0
conv-26_session_14_D14:28,conv-26,,0
conv-26_session_14_D14:29,conv-26,,0
conv-26_session_14_D14:30,conv-26,"Entities: melanie, paint
Relations: paint
Keywords: amazing, favorite, landscapes, life, melanie, nature, paint, painting, recently, still",16
conv-26_session_14_D14:31,conv-26,,0
conv-26_session_14_D14:32,conv-26,"Entities: autumn, inspired, melanie, painting
Relations: create
Keywords: any, art, autumn, coming, cool, feeling, got, inspired, melanie, painting, planning, projects",20
conv-26_session_14_D14:33,conv-26,"Entities: art, caroline, lgbtq, show
Relations: organize
Keywords: art, caroline, gonna, lgbtq, month, next, paintings, putting, show, stoked, super, together",20
conv-26_session_14_D14:34,conv-26,,0
conv-26_session_14_D14:35,conv-26,,0
conv-26_session_15_D15:1,conv-26,,0
conv-26_session_15_D15:2,conv-26,"Entities: kids, melanie
Relations: take
Keywords: caroline, exploring, flies, fun, good, hey, huh, kids, last, melanie, new, nice, outdoors, park, playing, seeing, since, spoke, time, took",26
conv-26_session_15_D15:3,conv-26,"Entities: caroline, center, lgbtq, youth
Relations: volunteer
Keywords: ambitions, caroline, center, chance, chasing, chat, enjoyable, essential, fun, gratifying, happened, kids, kind, last, lgbtq, lot, made, much, outdoors, park",28
conv-26_session_15_D15:4,conv-26,,0
conv-26_session_15_D15:5,conv-26,"Entities: caroline, story
Relations: share
Keywords: alone, awesome, caroline, challenges, emotional, even, experience, face, felt, fulfilled, got, guiding, know, let, loved, people, powerful, see, sharing, story",26
conv-26_session_15_D15:6,conv-26,,0
conv-26_session_15_D15:7,conv-26,,0
conv-26_session_15_D15:8,conv-26,,0
conv-26_session_15_D15:9,conv-26,"Entities: caroline, plan
Relations: plan
Keywords: believe, caroline, carrying, center, community, connections, definitely, difference, important, keep, life, made, making, part, people, plan, really, strong, supporting, volunteering",26
conv-26_session_15_D15:10,conv-26,,0
conv-26_session_15_D15:11,conv-26,"Entities: caroline, involve
Relations: involve
Keywords: caroline, everyone, feel, forward, fun, involve, kids, looking, month, much, next, proud, putting, seeing, show, talent, talents, together",24
conv-26_session_15_D15:12,conv-26,,0
conv-26_session_15_D15:13,conv-26,,0
conv-26_session_15_D15:14,conv-26,,0
conv-26_session_15_D15:15,conv-26,,0
conv-26_session_15_D15:16,conv-26,,0
conv-26_session_15_D15:17,conv-26,,0
conv-26_session_15_D15:18,conv-26,,0
conv-26_session_15_D15:19,conv-26,"Entities: caroline, mention
Relations: mention
Keywords: caroline, emotions, get, guitar, helps, mention, mostly, playing, thing",15
conv-26_session_15_D15:20,conv-26,,0
conv-26_session_15_D15:21,conv-26,"Entities: caroline, start
Relations: start
Keywords: acoustic, ago, caroline, emotions, escape, express, five, great, guitar, into, playing, start, started, way, years",21
conv-26_session_15_D15:22,conv-26,,0
conv-26_session_15_D15:23,conv-26,"Entities: caroline, determination, journey
Relations: resonate
Keywords: bareilles, brave, caroline, courageous, determination, fighting, hear, jam, journey, lot, made, paths, progress, right, sara, significance, taken, think, totally, whenever",27
conv-26_session_15_D15:24,conv-26,,0
conv-26_session_15_D15:25,conv-26,,0
conv-26_session_15_D15:26,conv-26,"Entities: clarinet, melanie
Relations: play
Keywords: clarinet, expression, great, melanie, play, relax, started, way, yeah, young",16
conv-26_session_15_D15:27,conv-26,,0
conv-26_session_15_D15:28,conv-26,"Entities: bach, classical, like, melanie, mozart, music
Relations: enjoy
Keywords: bach, classical, ed, fan, like, melanie, modern, mozart, music, perfect, sheeran, well",22
conv-26_session_16_D16:1,conv-26,"Entities: caroline, time
Relations: spend
Keywords: biking, caroline, chat, cool, day, eh, gang, hey, last, long, mel, pic, pretty, refreshing, saw, sending, stuff, stunning, time, weekend",26
conv-26_session_16_D16:2,conv-26,"Entities: camping, exploring, forest, kids, melanie
Relations: enjoy
Keywords: ago, any, beautiful, biking, blast, camping, caroline, colors, coming, exploring, forest, get, good, great, hear, hey, hiking, kids, like, melanie",29
conv-26_session_16_D16:3,conv-26,,0
conv-26_session_16_D16:4,conv-26,"Entities: melanie, see
Relations: see
Keywords: around, awesome, best, campfire, caroline, excited, get, inspires, kids, learning, make, marshmallows, melanie, memories, moments, nature, new, parent, roasted, see",26
conv-26_session_16_D16:5,conv-26,"Entities: caroline, community, difference, lgbtq
Relations: make
Keywords: amazing, art, caroline, community, create, difference, family, friends, helping, inspired, inspires, keep, knowing, lgbtq, loving, make, making, mentors, really, seeing",28
conv-26_session_16_D16:6,conv-26,,0
conv-26_session_16_D16:7,conv-26,"Entities: art, caroline
Relations: create
Keywords: 17, amazing, art, caroline, cathartic, find, hard, into, long, put, show, since, soempowering, things, words",21
conv-26_session_16_D16:8,conv-26,"Entities: melanie, painting, passion, pottery
Relations: find, use
Keywords: calming, check, creation, finally, found, melanie, muses, painting, passion, pic, pottery, real, satisfying, seven, years",24
conv-26_session_16_D16:9,conv-26,"Entities: art, caroline
Relations: use
Keywords: accept, amazing, art, bowls, caroline, chose, cool, creating, designs, drawing, explore, express, feelings, gender, grateful, helped, identity, important, love, melanie",26
conv-26_session_16_D16:10,conv-26,,0
conv-26_session_16_D16:11,conv-26,,0
conv-26_session_16_D16:12,conv-26,,0
conv-26_session_16_D16:13,conv-26,"Entities: caroline, journey
Relations: represent
Keywords: authentic, binary, blue, caroline, colors, finally, gender, get, journey, love, made, means, melanie, mix, painting, path, proud, red, reminder, rigid",26
conv-26_session_16_D16:14,conv-26,,0
conv-26_session_16_D16:15,conv-26,"Entities: caroline, change
Relations: change
Keywords: able, accept, around, caroline, change, changed, close, definitely, easy, feel, friends, genuine, handle, happier, kept, love, melanie, much, relationships, supporting",26
conv-26_session_16_D16:16,conv-26,,0
conv-26_session_16_D16:17,conv-26,,0
conv-26_session_16_D16:18,conv-26,,0
conv-26_session_16_D16:19,conv-26,,0
conv-26_session_16_D16:20,conv-26,,0
conv-26_session_17_D17:1,conv-26,"Entities: caroline, mentor
Relations: contact
Keywords: adoption, advice, anything, caroline, contacted, exciting, family, feeling, going, great, hey, long, love, mel, mentor, mom, new, ready, see, share",26
conv-26_session_17_D17:2,conv-26,,0
conv-26_session_17_D17:3,conv-26,"Entities: adoption, caroline
Relations: see
Keywords: adopt, adoption, any, anyone, caroline, chapter, dream, experience, gone, home, kids, know, loving, melanie, need, new, process, provide, safe, start",26
conv-26_session_17_D17:4,conv-26,,0
conv-26_session_17_D17:5,conv-26,,0
conv-26_session_17_D17:6,conv-26,,0
conv-26_session_17_D17:7,conv-26,"Entities: caroline, recommend
Relations: recommend
Keywords: adoption, agency, caroline, checks, documents, emotionally, end, financial, find, forget, gather, hard, help, info, lawyer, like, medical, prepare, process, provide",26
conv-26_session_17_D17:8,conv-26,"Entities: melanie
Relations: lead
Keywords: break, btw, caroline, emotionally, expression, got, hurt, last, makes, melanie, month, peace, pottery, readying, recently, research, self, sense, setback, take",25
conv-26_session_17_D17:9,conv-26,,0
conv-26_session_17_D17:10,conv-26,"Entities: continue, melanie
Relations: continue
Keywords: ago, book, busy, caroline, continue, keep, melanie, ok, painting, reading, recommended, thanks, tough",19
conv-26_session_17_D17:11,conv-26,,0
conv-26_session_17_D17:12,conv-26,,0
conv-26_session_17_D17:13,conv-26,"Entities: enjoy, melanie
Relations: enjoy
Keywords: abstract, canvas, chilled, colors, cool, enjoy, expression, feelings, form, freeing, kinda, like, love, made, mel, melanie, much, paint, plan, putting",26
conv-26_session_17_D17:14,conv-26,,0
conv-26_session_17_D17:15,conv-26,,0
conv-26_session_17_D17:16,conv-26,"Entities: melanie
Relations: use
Keywords: blue, calms, colors, lots, melanie, painting, peaceful, serene, show, still, streaks, tranquility, vibe, vibrant, wanted",20
conv-26_session_17_D17:17,conv-26,,0
conv-26_session_17_D17:18,conv-26,,0
conv-26_session_17_D17:19,conv-26,"Entities: caroline, celebrated, empowering, event, expression, poetry, reading, self, transgender
Relations: go
Keywords: caroline, cause, celebrate, celebrated, empowering, event, expression, extra, hear, identities, others, people, place, poetry, reading, really, safe, self, share, shared",33
conv-26_session_17_D17:20,conv-26,,0
conv-26_session_17_D17:21,conv-26,,0
conv-26_session_17_D17:22,conv-26,,0
conv-26_session_17_D17:23,conv-26,"Entities: caroline, inspire
Relations: inspire
Keywords: always, caroline, drew, embrace, freedom, inspire, like, melanie, nudge, real, stands, stay, thanks, true, womanhood, yeah",22
conv-26_session_17_D17:24,conv-26,,0
conv-26_session_17_D17:25,conv-26,,0
conv-26_session_17_D17:26,conv-26,,0
conv-26_session_18_D18:1,conv-26,"Entities: accident, family, into, involving, melanie, road, son, started, trip
Relations: get, go
Keywords: accident, caroline, experience, family, freaked, got, hey, insane, into, involving, last, lucky, melanie, okay, past, real, road, roadtrip, scary, since",34
conv-26_session_18_D18:2,conv-26,"Entities: acknowledge, caroline
Relations: acknowledge
Keywords: accident, acknowledge, bout, caroline, coaster, goodness, guys, life, must, okay, oops, roller, son, sorry, sure, thank, traumatizing",23
conv-26_session_18_D18:3,conv-26,,0
conv-26_session_18_D18:4,conv-26,,0
conv-26_session_18_D18:5,conv-26,"Entities: canyon, grand, melanie
Relations: visit
Keywords: accident, canyon, caroline, enjoyed, especially, family, grand, important, lot, mean, melanie, much, need, right, super, thankful, thankfully, thought, world, yeah",27
conv-26_session_18_D18:6,conv-26,,0
conv-26_session_18_D18:7,conv-26,,0
conv-26_session_18_D18:8,conv-26,,0
conv-26_session_18_D18:9,conv-26,,0
conv-26_session_18_D18:10,conv-26,"Entities: caroline, strength
Relations: give
Keywords: amazing, any, caroline, challenge, give, loved, ones, strength, tackle, us",16
conv-26_session_18_D18:11,conv-26,,0
conv-26_session_18_D18:12,conv-26,"Entities: appreciate, caroline
Relations: appreciate
Keywords: appreciate, caroline, family, love, melanie, really, rock, see, sweet",15
conv-26_session_18_D18:13,conv-26,,0
conv-26_session_18_D18:14,conv-26,,0
conv-26_session_18_D18:15,conv-26,,0
conv-26_session_18_D18:16,conv-26,,0
conv-26_session_18_D18:17,conv-26,,0
conv-26_session_18_D18:18,conv-26,"Entities: caroline, refresh
Relations: refresh
Keywords: caroline, drive, glad, got, huh, nature, refresh, seems, sure, us",16
conv-26_session_18_D18:19,conv-26,"Entities: melanie, nature, peace, serenity
Relations: find
Keywords: absolutely, brings, camping, cause, fam, helps, love, melanie, nature, peace, really, recharge, reset, serenity, trips",23
conv-26_session_18_D18:20,conv-26,,0
conv-26_session_18_D18:21,conv-26,"Entities: melanie, soul
Relations: refresh
Keywords: air, always, birds, bond, campfires, chance, fresh, melanie, nature, peaceful, present, refreshes, smell, soul, sound, stories, together, waking",24
conv-26_session_18_D18:22,conv-26,"Entities: calming, caroline, nature, peaceful, quality, spending
Relations: appreciate
Keywords: calming, caroline, family, get, great, melanie, nature, peaceful, picture, quality, spend, spending, time, tranquil, waking",25
conv-26_session_18_D18:23,conv-26,,0
conv-26_session_18_D18:24,conv-26,,0
conv-26_session_19_D19:1,conv-26,"Entities: adoption, agency, caroline, interviews
Relations: pass
Keywords: adoption, agency, big, caroline, excited, family, friday, goal, interviews, last, melanie, move, passed, thankful, towards, woohoo",24
conv-26_session_19_D19:2,conv-26,"Entities: family, figurines, love, melanie, remind
Relations: buy
Keywords: adoption, awesome, bought, caroline, congrats, family, figurines, future, happy, love, melanie, remind, sounds, tell, vision, yesterday",25
conv-26_session_19_D19:3,conv-26,"Entities: caroline, include
Relations: include
Keywords: acceptance, adoption, back, beautiful, blood, brings, build, caroline, choose, families, family, giving, home, hope, include, kids, love, melanie, much, ones",26
conv-26_session_19_D19:4,conv-26,,0
conv-26_session_19_D19:5,conv-26,,0
conv-26_session_19_D19:6,conv-26,"Entities: caroline, helping, kids, melanie, passion
Relations: appreciate
Keywords: agree, awesome, caroline, deserves, everyone, helping, kids, melanie, passion, passionate, see, totally",21
conv-26_session_19_D19:7,conv-26,"Entities: acceptance, caroline, finding, love, process, self, support, tough
Relations: go, offer
Keywords: acceptance, caroline, difference, empowering, finding, life, long, love, make, mel, need, offer, positive, process, ready, self, someone, support, thanks, tough",33
conv-26_session_19_D19:8,conv-26,"Entities: acceptance, caroline, finding, journey, melanie
Relations: respect
Keywords: acceptance, caroline, finding, helping, inspiring, journey, melanie, must, others, respect, strong, tough",21
conv-26_session_19_D19:9,conv-26,"Entities: caroline, comfort, help, invaluable, support
Relations: bring, receive
Keywords: acceptance, anyone, boosted, bringing, brings, caroline, comfort, easy, either, family, find, friends, got, grow, help, helped, helping, invaluable, joy, looked",30
conv-26_session_19_D19:10,conv-26,"Entities: caroline, finding, happiness, melanie, self, true
Relations: express
Keywords: caroline, finding, found, happiness, happy, helping, inspiring, melanie, others, self, true",21
conv-26_session_19_D19:11,conv-26,,0
conv-26_session_19_D19:12,conv-26,,0
conv-26_session_19_D19:13,conv-26,"Entities: melanie, mutual, provide, support
Relations: value
Keywords: agree, appreciate, caroline, close, encouragement, glad, made, melanie, mutual, provide, support",19
conv-26_session_19_D19:14,conv-26,,0
conv-26_session_19_D19:15,conv-26,,0
conv-26_session_2_D2:1,conv-26,"Entities: charity, health, melanie, mental, race
Relations: run
Keywords: care, caroline, charity, chatted, happening, health, hey, last, lot, made, melanie, mental, minds, race, ran, really, rewarding, saturday, since, taking",29
conv-26_session_2_D2:2,conv-26,,0
conv-26_session_2_D2:3,conv-26,"Entities: care, impact, importance, melanie, self
Relations: realize
Keywords: able, better, care, caroline, event, family, impact, importance, important, journey, look, melanie, provoking, realize, really, self, starting, thanks, thought",28
conv-26_session_2_D2:4,conv-26,,0
conv-26_session_2_D2:5,conv-26,"Entities: melanie
Relations: carve
Keywords: carving, day, fam, helps, melanie, playing, present, reading, refreshes, running, stay, time, tough, violin, yeah",20
conv-26_session_2_D2:6,conv-26,,0
conv-26_session_2_D2:7,conv-26,"Entities: consider, melanie
Relations: consider
Keywords: any, best, break, camping, caroline, consider, excited, fun, going, kids, melanie, month, next, plans, progress, still, summer, thanks, thinking, work",26
conv-26_session_2_D2:8,conv-26,"Entities: adoption, agencies, caroline
Relations: research
Keywords: adoption, agencies, caroline, dream, family, give, home, kids, loving, need, researching",18
conv-26_session_2_D2:9,conv-26,,0
conv-26_session_2_D2:10,conv-26,,0
conv-26_session_2_D2:11,conv-26,,0
conv-26_session_2_D2:12,conv-26,"Entities: adoption, agency, caroline, folks, helps, lgbtq
Relations: choose
Keywords: adoption, agency, caroline, cause, chose, folks, help, helps, inclusivity, lgbtq, really, spoke, support",23
conv-26_session_2_D2:13,conv-26,,0
conv-26_session_2_D2:14,conv-26,"Entities: caroline, family, kids, need, one
Relations: create
Keywords: caroline, challenge, family, kids, make, need, one, parent, single, thrilled, tough",20
conv-26_session_2_D2:15,conv-26,,0
conv-26_session_2_D2:16,conv-26,,0
conv-26_session_2_D2:17,conv-26,,0
