qa_id,cell,scope_id,full_candidate_parity,full_top10_parity,probe_relation,relation_candidate_count,relation_candidate_parity,relation_top10_parity
conv-26_qa_45,cassandra-materialized,conv-26,1,1,attend,9,1,1
conv-26_qa_45,neo4j-native,conv-26,1,1,attend,9,1,1
conv-26_qa_45,neo4j-materialized,conv-26,1,1,attend,9,1,1
conv-26_qa_47,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_47,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_47,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_47,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_48,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_48,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_48,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_48,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_49,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_49,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_49,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_49,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_50,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_50,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_50,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_50,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_51,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_51,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_51,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_51,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_52,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_52,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_52,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_52,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_53,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_53,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_53,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_53,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_54,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_54,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_54,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_54,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_55,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_55,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_55,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_55,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_56,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_56,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_56,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_56,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_57,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_57,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_57,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_57,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_58,cassandra-base,conv-26,1,1,make,2,1,1
conv-26_qa_58,cassandra-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_58,neo4j-native,conv-26,1,1,make,2,1,1
conv-26_qa_58,neo4j-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_59,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_59,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_59,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_59,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_60,cassandra-base,conv-26,1,1,play,1,1,1
conv-26_qa_60,cassandra-materialized,conv-26,1,1,play,1,1,1
conv-26_qa_60,neo4j-native,conv-26,1,1,play,1,1,1
conv-26_qa_60,neo4j-materialized,conv-26,1,1,play,1,1,1
conv-26_qa_61,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_61,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_61,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_61,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_62,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_62,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_62,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_62,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_63,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_63,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_63,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_63,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_64,cassandra-base,conv-26,1,1,enjoy,8,1,1
conv-26_qa_64,cassandra-materialized,conv-26,1,1,enjoy,8,1,1
conv-26_qa_64,neo4j-native,conv-26,1,1,enjoy,8,1,1
conv-26_qa_64,neo4j-materialized,conv-26,1,1,enjoy,8,1,1
conv-26_qa_65,cassandra-base,conv-26,1,1,transition,1,1,1
conv-26_qa_65,cassandra-materialized,conv-26,1,1,transition,1,1,1
conv-26_qa_65,neo4j-native,conv-26,1,1,transition,1,1,1
conv-26_qa_65,neo4j-materialized,conv-26,1,1,transition,1,1,1
conv-26_qa_66,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_66,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_66,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_66,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_67,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_67,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_67,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_67,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_68,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_68,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_68,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_68,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_69,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_69,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_69,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_69,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_70,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_70,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_70,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_70,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_71,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_71,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_71,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_71,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_72,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_72,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_72,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_72,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_73,cassandra-base,conv-26,1,1,get,1,1,1
conv-26_qa_73,cassandra-materialized,conv-26,1,1,get,1,1,1
conv-26_qa_73,neo4j-native,conv-26,1,1,get,1,1,1
conv-26_qa_73,neo4j-materialized,conv-26,1,1,get,1,1,1
conv-26_qa_74,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_74,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_74,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_74,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_75,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_75,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_75,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_75,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_76,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_76,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_76,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_76,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_77,cassandra-base,conv-26,1,1,go,9,1,1
conv-26_qa_77,cassandra-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_77,neo4j-native,conv-26,1,1,go,9,1,1
conv-26_qa_77,neo4j-materialized,conv-26,1,1,go,9,1,1
conv-26_qa_78,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_78,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_78,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_78,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_79,cassandra-base,conv-26,1,1,pass,1,1,1
conv-26_qa_79,cassandra-materialized,conv-26,1,1,pass,1,1,1
conv-26_qa_79,neo4j-native,conv-26,1,1,pass,1,1,1
conv-26_qa_79,neo4j-materialized,conv-26,1,1,pass,1,1,1
conv-26_qa_80,cassandra-base,conv-26,1,1,buy,1,1,1
conv-26_qa_80,cassandra-materialized,conv-26,1,1,buy,1,1,1
conv-26_qa_80,neo4j-native,conv-26,1,1,buy,1,1,1
conv-26_qa_80,neo4j-materialized,conv-26,1,1,buy,1,1,1
conv-26_qa_81,cassandra-base,conv-26,1,1,move,1,1,1
conv-26_qa_81,cassandra-materialized,conv-26,1,1,move,1,1,1
conv-26_qa_81,neo4j-native,conv-26,1,1,move,1,1,1
conv-26_qa_81,neo4j-materialized,conv-26,1,1,move,1,1,1
conv-26_qa_82,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_82,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_82,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_82,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_83,cassandra-base,conv-26,1,1,realize,1,1,1
conv-26_qa_83,cassandra-materialized,conv-26,1,1,realize,1,1,1
conv-26_qa_83,neo4j-native,conv-26,1,1,realize,1,1,1
conv-26_qa_83,neo4j-materialized,conv-26,1,1,realize,1,1,1
conv-26_qa_84,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_84,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_84,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_84,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_85,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_85,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_85,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_85,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_86,cassandra-base,conv-26,1,1,support,2,1,1
conv-26_qa_86,cassandra-materialized,conv-26,1,1,support,2,1,1
conv-26_qa_86,neo4j-native,conv-26,1,1,support,2,1,1
conv-26_qa_86,neo4j-materialized,conv-26,1,1,support,2,1,1
conv-26_qa_87,cassandra-base,conv-26,1,1,choose,1,1,1
conv-26_qa_87,cassandra-materialized,conv-26,1,1,choose,1,1,1
conv-26_qa_87,neo4j-native,conv-26,1,1,choose,1,1,1
conv-26_qa_87,neo4j-materialized,conv-26,1,1,choose,1,1,1
conv-26_qa_88,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_88,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_88,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_88,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_89,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_89,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_89,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_89,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_90,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_90,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_90,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_90,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_91,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_91,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_91,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_91,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_92,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_92,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_92,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_92,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_93,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_93,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_93,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_93,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_94,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_94,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_94,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_94,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_95,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_95,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_95,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_95,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_96,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_96,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_96,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_96,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_97,cassandra-base,conv-26,1,1,attend,9,1,1
conv-26_qa_97,cassandra-materialized,conv-26,1,1,attend,9,1,1
conv-26_qa_97,neo4j-native,conv-26,1,1,attend,9,1,1
conv-26_qa_97,neo4j-materialized,conv-26,1,1,attend,9,1,1
conv-26_qa_98,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_98,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_98,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_98,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_99,cassandra-base,conv-26,1,1,pursue,1,1,1
conv-26_qa_99,cassandra-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_99,neo4j-native,conv-26,1,1,pursue,1,1,1
conv-26_qa_99,neo4j-materialized,conv-26,1,1,pursue,1,1,1
conv-26_qa_100,cassandra-base,conv-26,1,1,create,5,1,1
conv-26_qa_100,cassandra-materialized,conv-26,1,1,create,5,1,1
conv-26_qa_100,neo4j-native,conv-26,1,1,create,5,1,1
conv-26_qa_100,neo4j-materialized,conv-26,1,1,create,5,1,1
conv-26_qa_101,cassandra-base,conv-26,1,1,make,2,1,1
conv-26_qa_101,cassandra-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_101,neo4j-native,conv-26,1,1,make,2,1,1
conv-26_qa_101,neo4j-materialized,conv-26,1,1,make,2,1,1
conv-26_qa_102,cassandra-base,conv-26,1,1,have,2,1,1
conv-26_qa_102,cassandra-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_102,neo4j-native,conv-26,1,1,have,2,1,1
conv-26_qa_102,neo4j-materialized,conv-26,1,1,have,2,1,1
conv-26_qa_103,cassandra-base,conv-26,1,1,,0,,
conv-26_qa_103,cassandra-materialized,conv-26,1,1,,0,,
conv-26_qa_103,neo4j-native,conv-26,1,1,,0,,
conv-26_qa_103,neo4j-materialized,conv-26,1,1,,0,,
conv-26_qa_104,cassandra-base,conv-26,1,1,recommend,1,1,1
conv-26_qa_104,cassandra-materialized,conv-26,1,1,recommend,1,1,1
